gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,oocyte,71.93,H2AC20:VGNC:83605,clustered,71.93
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,cumulus cell,69.39,H2AC20:VGNC:83605,clustered,69.39
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,leukocyte,73.32,H2AC20:VGNC:83605,clustered,73.32
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,neutrophil,22.06,H2AC20:VGNC:83605,clustered,22.06
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,lymph node,43.09,H2AC20:VGNC:83605,clustered,43.09
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,longissimus muscle,97.56,H2AC20:VGNC:83605,clustered,97.56
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,multicellular organism,22.44,H2AC20:VGNC:83605,clustered,22.44
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,testis,45.78,H2AC20:VGNC:83605,clustered,48.7625
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,testis,47.56,H2AC20:VGNC:83605,clustered,48.7625
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,testis,62.58,H2AC20:VGNC:83605,clustered,48.7625
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,testis,39.13,H2AC20:VGNC:83605,clustered,48.7625
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,caecum,23.2,H2AC20:VGNC:83605,clustered,23.2
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,descending colon,40.61,H2AC20:VGNC:83605,clustered,40.61
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,duodenum,24.15,H2AC20:VGNC:83605,clustered,24.15
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,jejunum,20.04,H2AC20:VGNC:83605,clustered,20.04
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,ileum,18.91,H2AC20:VGNC:83605,clustered,18.91
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,subcutaneous adipose tissue,69.89,H2AC20:VGNC:83605,clustered,69.89
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,mesenteric lymph node,47.49,H2AC20:VGNC:83605,clustered,47.475
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,mesenteric lymph node,47.46,H2AC20:VGNC:83605,clustered,47.475
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,rumen,22.26,H2AC20:VGNC:83605,clustered,22.26
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,isthmus of fallopian tube,42.29,H2AC20:VGNC:83605,clustered,42.239999999999995
H2AC20,bos_taurus,Bos taurus,ENSBTAG00000040098,isthmus of fallopian tube,42.19,H2AC20:VGNC:83605,clustered,42.239999999999995
H2AC20,equus_caballus,Equus caballus,ENSECAG00000042897,leukocyte,56.72,H2AC20:VGNC:95395,clustered,56.72
H2AC20,equus_caballus,Equus caballus,ENSECAG00000042897,zone of skin,55.69,H2AC20:VGNC:95395,clustered,57.955
H2AC20,equus_caballus,Equus caballus,ENSECAG00000042897,zone of skin,60.22,H2AC20:VGNC:95395,clustered,57.955
H2AC20,equus_caballus,Equus caballus,ENSECAG00000042897,adult mammalian kidney,38.28,H2AC20:VGNC:95395,clustered,38.28
H2AC20,equus_caballus,Equus caballus,ENSECAG00000042897,inner cell mass,91.73,H2AC20:VGNC:95395,clustered,91.46000000000001
H2AC20,equus_caballus,Equus caballus,ENSECAG00000042897,inner cell mass,91.19,H2AC20:VGNC:95395,clustered,91.46000000000001
