tissue,bos_taurus,equus_caballus,felis_catus,human,macaca_mulatta
triceps brachii,,69.75,,,
trophectoderm,,91.68,,,
trophoblast,,66.97000000000001,,,
upper lobe of left lung,,,,63.37125,
urinary bladder,,,,66.06833333333333,
uterine cervix,,,,75.66,
uterus,,,32.33,,
vagina,,,,66.766,
ventricular zone,,,,55.165,
vermiform appendix,,,,43.81,
