species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	selected_values_csv	n_species	mean_score	std_score	min_score	max_score	range_score	error_bar_low	error_bar_high	plot_order
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AZ2	adult mammalian kidney	H2AZ2:adult mammalian kidney	variant	H2AZ2:HGNC:20664	4	A	4:A	94.768667,95.587500,95.993333,96.545000,96.343333,89.150000,94.182500	7	94.65290476190476	2.5698389196117644	89.14999999999999	96.545	7.39500000000001	92.083065842293	97.22274368151653	16
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AZ2	liver	H2AZ2:liver	variant	H2AZ2:HGNC:20664	4	B	4:B	94.340000,92.403750,91.805714,91.500000,92.295714,86.473333,89.568333	7	91.19812074829933	2.515610688683661	86.47333333333334	94.34	7.86666666666666	88.68251005961567	93.713731436983	17
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AZ2	prefrontal cortex	H2AZ2:prefrontal cortex	variant	H2AZ2:HGNC:20664	4	C	4:C	96.373000,91.610000,87.750000,94.840000,94.697500,87.191818,83.660000	7	90.8746168831169	4.769497484507418	83.66	96.373	12.713000000000008	86.10511939860949	95.64411436762431	18
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AZ2	spleen	H2AZ2:spleen	variant	H2AZ2:HGNC:20664	4	D	4:D	96.385000,98.328000,94.050000,98.910000,95.165000,84.400000,93.672857	7	94.41583673469388	4.846720800698368	84.4	98.91	14.509999999999991	89.56911593399552	99.26255753539225	19
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	H2AZ2	testis	H2AZ2:testis	variant	H2AZ2:HGNC:20664	4	E	4:E	95.857692,94.785000,96.764000,97.026667,97.193333,89.840000,87.113333	7	94.0828608058608	3.9947621327744143	87.11333333333334	97.19333333333331	10.07999999999997	90.08809867308639	98.07762293863522	20
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	MACROH2A1	adult mammalian kidney	MACROH2A1:adult mammalian kidney	variant	MACROH2A1:HGNC:4740	5	A	5:A	94.455385,92.452500,95.153333,93.045000,96.183333,89.970000,93.842500	7	93.58600732600732	2.028022654841988	89.96999999999998	96.18333333333334	6.2133333333333525	91.55798467116533	95.61402998084931	21
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	MACROH2A1	liver	MACROH2A1:liver	variant	MACROH2A1:HGNC:4740	5	B	5:B	94.205652,83.904375,94.011429,88.825000,91.898571,89.473333,91.135000	7	90.49333721532092	3.5539378048220303	83.904375	94.20565217391304	10.301277173913036	86.9393994104989	94.04727502014295	22
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	MACROH2A1	prefrontal cortex	MACROH2A1:prefrontal cortex	variant	MACROH2A1:HGNC:4740	5	C	5:C	96.130000,86.410000,93.900000,92.500000,96.282500,94.028182,95.180000	7	93.4900974025974	3.395781595180768	86.41	96.2825	9.872500000000002	90.09431580741663	96.88587899777816	23
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	MACROH2A1	spleen	MACROH2A1:spleen	variant	MACROH2A1:HGNC:4740	5	D	5:D	97.690000,90.380000,94.783333,94.770000,97.815000,85.240000,95.621429	7	93.75710884353741	4.498794170407259	85.24	97.815	12.575000000000003	89.25831467313014	98.25590301394467	24
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	MACROH2A1	testis	MACROH2A1:testis	variant	MACROH2A1:HGNC:4740	5	E	5:E	94.397692,72.018333,88.313000,79.100000,80.363333,84.885000,83.940000	7	83.28819413919415	7.126824991965879	72.01833333333333	94.39769230769232	22.379358974358993	76.16136914722827	90.41501913116002	25
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	MACROH2A2	adult mammalian kidney	MACROH2A2:adult mammalian kidney	variant	MACROH2A2:HGNC:14453	6	A	6:A	83.384167,49.720000,80.086667,54.325000,64.683333,55.380000,58.323333	7	63.700357142857136	13.155595607963347	49.72	83.38416666666667	33.664166666666674	50.54476153489379	76.85595275082048	26
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	MACROH2A2	liver	MACROH2A2:liver	variant	MACROH2A2:HGNC:14453	6	B	6:B	82.710000,47.188000,45.950000,68.080000,0.000000,56.083333,52.740000	7	50.39304761904763	25.705296093180785	0.0	82.71000000000001	82.71000000000001	24.687751525866844	76.09834371222841	27
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	MACROH2A2	prefrontal cortex	MACROH2A2:prefrontal cortex	variant	MACROH2A2:HGNC:14453	6	C	6:C	82.552500,65.470000,59.640000,55.100000,72.565000,66.337273,64.080000	7	66.53496753246753	8.929555814979464	55.1	82.55250000000001	27.452500000000008	57.60541171748807	75.464523347447	28
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	MACROH2A2	spleen	MACROH2A2:spleen	variant	MACROH2A2:HGNC:14453	6	D	6:D	71.566667,50.048000,46.216667,39.840000,0.000000,0.000000,52.495000	7	37.16661904761905	27.190739797891005	0.0	71.56666666666666	71.56666666666666	9.975879249728045	64.35735884551005	29
7	human,bos_taurus,canis_lupus_familiaris,felis_catus,macaca_mulatta,pan_troglodytes,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Felis catus,Macaca mulatta,Pan troglodytes,Sus scrofa	MACROH2A2	testis	MACROH2A2:testis	variant	MACROH2A2:HGNC:14453	6	E	6:E	79.302308,59.833333,78.120000,32.730000,55.383333,70.970000,55.303333	7	61.66318681318682	16.273413984606293	32.73	79.30230769230769	46.572307692307696	45.389772828580526	77.93660079779312	30
