gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,blood,89.6,MACROH2A1:VGNC:83608,variant,89.61
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,renal medulla,90.44,MACROH2A1:VGNC:83608,variant,91.75999999999999
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,renal medulla,93.08,MACROH2A1:VGNC:83608,variant,91.75999999999999
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,tongue muscle,88.85,MACROH2A1:VGNC:83608,variant,88.84
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,tongue muscle,88.83,MACROH2A1:VGNC:83608,variant,88.84
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus muscle,84.55,MACROH2A1:VGNC:83608,variant,84.66000000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus muscle,83.29,MACROH2A1:VGNC:83608,variant,84.66000000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,longissimus muscle,86.14,MACROH2A1:VGNC:83608,variant,84.66000000000001
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,prefrontal cortex,86.41,MACROH2A1:VGNC:83608,variant,86.41
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,multicellular organism,89.53,MACROH2A1:VGNC:83608,variant,89.53
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,testis,69.01,MACROH2A1:VGNC:83608,variant,72.01833333333333
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,testis,81.69,MACROH2A1:VGNC:83608,variant,72.01833333333333
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,testis,74.74,MACROH2A1:VGNC:83608,variant,72.01833333333333
MACROH2A1,bos_taurus,Bos taurus,ENSBTAG00000016105,testis,70.4,MACROH2A1:VGNC:83608,variant,72.01833333333333
