tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa
tonsil,,,,,98.69,,,95.05
trachea,89.545,,,,97.94,,,
urethra,92.39500000000001,,,,97.73333333333333,,,
uterine cervix,88.07,,,,97.63000000000001,,,
Brodmann (1909) area 23,,,,,96.29166666666667,,,
Brodmann (1909) area 46,,,,,95.86,,,
Brodmann (1909) area 9,,,,,96.512,,,
C1 segment of cervical spinal cord,,,,,95.86777777777777,,,
CA1 field of hippocampus,,,,,93.03999999999999,,,
abdominal lymph node,88.09,,,,,,,
abomasum,90.08666666666666,,,,,,,
adipose tissue of abdominal region,,,,,97.04166666666667,,,
adrenal tissue,,,,,95.99333333333334,,,
adult organism,,,,,97.74,,,
amniotic fluid,,,,,98.55000000000001,,,
ampulla of uterine tube,91.62,,,,,,,
anatomical system,,,,,96.67,,,
anterior cingulate cortex,,,,,96.00272727272727,,,
anterior segment of eyeball,92.45,,,,,,,
apex of heart,,,,,96.15,,,
artery,,,,,96.13,,,
articular cartilage of joint,,,90.52,,,,,
ascending aorta,,,,,95.624,,,
ascending colon,89.765,,,,,,,
biceps brachii,,,,,94.5,,,
biceps femoris,88.08500000000001,,,,,,,
blood vessel layer,,,,,95.47,,,
body of pancreas,,,,,94.547,,,
body of stomach,,,,,96.6309090909091,,,
body of tongue,,,,,98.40333333333332,,,
body of uterus,,,,,96.474,,,
bone element,,,,,98.975,,,
bone marrow cell,,,,,99.03500000000001,,,
bronchial epithelial cell,,,,,98.6495238095238,,,
bronchus,,,,,98.51,,,
buccal mucosa cell,,,,,99.01,,,
calcaneal tendon,,,,,92.676,,,
cardia of stomach,,,,,97.62333333333333,,,
cardiac muscle of left ventricle,,86.37,,,,,,
cardiac muscle of right atrium,,,,,85.32625,,,
cauda epididymis,,,,,96.58333333333333,,,
caudate nucleus,,,,,96.0057894736842,,,
central nervous system,,,,,96.33,,,
cerebellar hemisphere,,,,,97.43363636363637,,,
cerebellar vermis,,,,,86.00666666666666,,,
cervix epithelium,,,,,98.09833333333334,,,
cervix squamous epithelium,,,,,97.39,,,
chorionic villus,,,94.48,,,,,
choroid plexus,82.58,,,,,,,
choroid plexus epithelium,,,,,97.63,,,
cingulate cortex,,,,,92.87,,,
colonic epithelium,,,,,97.78,,,
colonic mucosa,,,,,98.85000000000001,,,
