species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	species_order	species_dir	species_name	cell_mean_score	cell_std_score	cell_n	cell_status	expression_score	plot_order
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	cerebral cortex	H2AC11:cerebral cortex	clustered	H2AC11:HGNC:4737	1	D	1:D	3	canis_lupus_familiaris	Canis lupus familiaris	43.025	1.8879751057680831	2	present_gold	43.025	4
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	cerebral cortex	H2AC11:cerebral cortex	clustered	H2AC11:HGNC:4737	1	D	1:D	4	macaca_mulatta	Macaca mulatta	45.7	0.0	1	present_gold	45.7	4
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	cerebral cortex	H2AC11:cerebral cortex	clustered	H2AC11:HGNC:4737	1	D	1:D	5	sus_scrofa	Sus scrofa	44.97	0.0	1	present_gold	44.97	4
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	colon	H2AC11:colon	clustered	H2AC11:HGNC:4737	1	E	1:E	1	human	Homo sapiens	59.79764705882353	14.828200130752451	17	present_gold	59.79764705882353	5
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	colon	H2AC11:colon	clustered	H2AC11:HGNC:4737	1	E	1:E	2	bos_taurus	Bos taurus	28.98	0.0	1	present_gold	28.98	5
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	colon	H2AC11:colon	clustered	H2AC11:HGNC:4737	1	E	1:E	3	canis_lupus_familiaris	Canis lupus familiaris	35.21	0.0	1	present_gold	35.21	5
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	colon	H2AC11:colon	clustered	H2AC11:HGNC:4737	1	E	1:E	4	macaca_mulatta	Macaca mulatta	45.92	0.0	1	present_gold	45.92	5
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	colon	H2AC11:colon	clustered	H2AC11:HGNC:4737	1	E	1:E	5	sus_scrofa	Sus scrofa	58.925	13.696658351583425	2	present_gold	58.925	5
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	frontal cortex	H2AC11:frontal cortex	clustered	H2AC11:HGNC:4737	1	F	1:F	1	human	Homo sapiens	43.68833333333333	1.4533191895336215	6	present_gold	43.68833333333333	6
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AC11	frontal cortex	H2AC11:frontal cortex	clustered	H2AC11:HGNC:4737	1	F	1:F	2	bos_taurus	Bos taurus	0.0	0.0	0	observed_zero	0.0	6
