Gene ID	Gene name	Anatomical entity name	Expression	Call quality	Expression score
ENSBTAG00000001163	MACROH2A2	vas deferens	present	gold quality	84.59
ENSBTAG00000001163	MACROH2A2	adipose tissue	present	gold quality	67.3
ENSBTAG00000001163	MACROH2A2	adipose tissue	present	gold quality	53.33
ENSBTAG00000001163	MACROH2A2	adipose tissue	present	gold quality	63.46
ENSBTAG00000001163	MACROH2A2	adipose tissue	present	gold quality	57.92
ENSBTAG00000001163	MACROH2A2	adipose tissue	present	gold quality	63.37
ENSBTAG00000001163	MACROH2A2	adipose tissue	present	gold quality	68.37
ENSBTAG00000001163	MACROH2A2	esophagus	present	gold quality	62.19
ENSBTAG00000001163	MACROH2A2	esophagus	present	gold quality	62.07
ENSBTAG00000001163	MACROH2A2	saliva-secreting gland	present	gold quality	68.56
ENSBTAG00000001163	MACROH2A2	saliva-secreting gland	present	gold quality	68.56
ENSBTAG00000001163	MACROH2A2	diaphragm	present	gold quality	74.85
ENSBTAG00000001163	MACROH2A2	diaphragm	present	gold quality	74.85
ENSBTAG00000001163	MACROH2A2	intercostal muscle	present	gold quality	55.38
ENSBTAG00000001163	MACROH2A2	skeletal muscle tissue	present	gold quality	89.49
ENSBTAG00000001163	MACROH2A2	skeletal muscle tissue	present	gold quality	52.36
ENSBTAG00000001163	MACROH2A2	skeletal muscle tissue	present	gold quality	58.51
ENSBTAG00000001163	MACROH2A2	skeletal muscle tissue	present	gold quality	89.56
ENSBTAG00000001163	MACROH2A2	caecum	present	gold quality	61.57
ENSBTAG00000001163	MACROH2A2	caecum	present	gold quality	51.89
ENSBTAG00000001163	MACROH2A2	caecum	present	gold quality	61.61
ENSBTAG00000001163	MACROH2A2	colon	present	gold quality	55.64
ENSBTAG00000001163	MACROH2A2	ascending colon	present	gold quality	58.3
ENSBTAG00000001163	MACROH2A2	ascending colon	present	gold quality	58.3
ENSBTAG00000001163	MACROH2A2	descending colon	present	gold quality	55.27
ENSBTAG00000001163	MACROH2A2	descending colon	present	gold quality	48.24
ENSBTAG00000001163	MACROH2A2	descending colon	present	gold quality	55.27
ENSBTAG00000001163	MACROH2A2	cortex of kidney	present	gold quality	55.48
ENSBTAG00000001163	MACROH2A2	urinary bladder	present	gold quality	53.22
ENSBTAG00000001163	MACROH2A2	urinary bladder	present	gold quality	53.22
ENSBTAG00000001163	MACROH2A2	endometrium	present	gold quality	75.69
ENSBTAG00000001163	MACROH2A2	endometrium	present	gold quality	79.77
ENSBTAG00000001163	MACROH2A2	endometrium	present	gold quality	62.58
ENSBTAG00000001163	MACROH2A2	endometrium	present	gold quality	67.19
ENSBTAG00000001163	MACROH2A2	endometrium	present	gold quality	79.68
ENSBTAG00000001163	MACROH2A2	endometrium	present	gold quality	80.61
ENSBTAG00000001163	MACROH2A2	myometrium	present	gold quality	89.58
ENSBTAG00000001163	MACROH2A2	myometrium	present	gold quality	89.64
ENSBTAG00000001163	MACROH2A2	gluteus medius	present	gold quality	59.28
ENSBTAG00000001163	MACROH2A2	gluteus medius	present	gold quality	59.24
ENSBTAG00000001163	MACROH2A2	biceps femoris	present	gold quality	60.35
ENSBTAG00000001163	MACROH2A2	biceps femoris	present	gold quality	60.34
ENSBTAG00000001163	MACROH2A2	semitendinosus	present	gold quality	49.26
ENSBTAG00000001163	MACROH2A2	semitendinosus	present	gold quality	50.21
ENSBTAG00000001163	MACROH2A2	semitendinosus	present	gold quality	53.21
ENSBTAG00000001163	MACROH2A2	rectus femoris	present	gold quality	53.26
ENSBTAG00000001163	MACROH2A2	rectus femoris	present	gold quality	53.24
ENSBTAG00000001163	MACROH2A2	semimembranosus muscle	present	gold quality	54.53
ENSBTAG00000001163	MACROH2A2	semimembranosus muscle	present	gold quality	54.49
ENSBTAG00000001163	MACROH2A2	semimembranosus muscle	present	gold quality	46.09
ENSBTAG00000001163	MACROH2A2	longissimus thoracis muscle	present	gold quality	53.99
ENSBTAG00000001163	MACROH2A2	longissimus thoracis muscle	present	gold quality	46.69
ENSBTAG00000001163	MACROH2A2	longissimus thoracis muscle	present	gold quality	52.37
ENSBTAG00000001163	MACROH2A2	longissimus thoracis muscle	present	gold quality	52.44
ENSBTAG00000001163	MACROH2A2	longissimus thoracis muscle	present	gold quality	48.96
ENSBTAG00000001163	MACROH2A2	longissimus thoracis muscle	present	gold quality	49.38
ENSBTAG00000001163	MACROH2A2	longissimus thoracis muscle	present	gold quality	56.69
ENSBTAG00000001163	MACROH2A2	longissimus thoracis muscle	present	gold quality	55.35
ENSBTAG00000001163	MACROH2A2	infraspinatus muscle	present	gold quality	56.73
ENSBTAG00000001163	MACROH2A2	infraspinatus muscle	present	gold quality	56.72
ENSBTAG00000001163	MACROH2A2	tongue	present	gold quality	58.14
ENSBTAG00000001163	MACROH2A2	tongue	present	gold quality	58.16
ENSBTAG00000001163	MACROH2A2	tongue	present	gold quality	51.83
ENSBTAG00000001163	MACROH2A2	nasopharynx	present	gold quality	48.34
ENSBTAG00000001163	MACROH2A2	pharyngeal tonsil	present	gold quality	45.7
ENSBTAG00000001163	MACROH2A2	laryngeal cartilage	present	gold quality	66.16
ENSBTAG00000001163	MACROH2A2	laryngeal cartilage	present	gold quality	66.17
ENSBTAG00000001163	MACROH2A2	anterior segment of eyeball	present	gold quality	69.46
ENSBTAG00000001163	MACROH2A2	nasal cavity mucosa	present	gold quality	67.75
ENSBTAG00000001163	MACROH2A2	nasal cavity mucosa	present	gold quality	67.75
ENSBTAG00000001163	MACROH2A2	frontal cortex	present	gold quality	68.68
ENSBTAG00000001163	MACROH2A2	frontal cortex	present	gold quality	71.74
ENSBTAG00000001163	MACROH2A2	frontal cortex	present	gold quality	64.41
ENSBTAG00000001163	MACROH2A2	midbrain	present	gold quality	70.86
ENSBTAG00000001163	MACROH2A2	hypothalamus	present	gold quality	57.05
ENSBTAG00000001163	MACROH2A2	hypothalamus	present	gold quality	66.02
ENSBTAG00000001163	MACROH2A2	hypothalamus	present	gold quality	67.16
ENSBTAG00000001163	MACROH2A2	mammary gland	present	gold quality	75.26
ENSBTAG00000001163	MACROH2A2	mammary gland	present	gold quality	60.73
ENSBTAG00000001163	MACROH2A2	mammary gland	present	gold quality	74.67
ENSBTAG00000001163	MACROH2A2	mammary gland	present	gold quality	51.99
ENSBTAG00000001163	MACROH2A2	milk	present	gold quality	49.14
ENSBTAG00000001163	MACROH2A2	milk	present	gold quality	56.26
ENSBTAG00000001163	MACROH2A2	Ammon's horn	present	gold quality	82.28
ENSBTAG00000001163	MACROH2A2	placenta	present	gold quality	48.39
ENSBTAG00000001163	MACROH2A2	placenta	present	gold quality	46.67
ENSBTAG00000001163	MACROH2A2	gluteal muscle	present	gold quality	52.7
ENSBTAG00000001163	MACROH2A2	occipital lobe	present	gold quality	64.13
ENSBTAG00000001163	MACROH2A2	cerebellum	present	gold quality	70.62
