gene_order	gene_number	tissue_order	tissue_letter	canonical_gene_name	ensembl_gene_id	bgee_gene_label	compare_tissue_key	hpa_tissue_label	bgee_tissue_label	match_type	is_underlined	cell_mean_score
2	2	20	T	H2AC4	ENSG00000278463	H2AC4	small intestine	small intestine	small intestine	exact	False	28.695
2	2	21	U	H2AC4	ENSG00000278463	H2AC4	spinal cord	spinal cord	spinal cord	exact	False	29.6
2	2	22	V	H2AC4	ENSG00000278463	H2AC4	spleen	spleen	spleen	exact	False	40.47571428571428
2	2	23	W	H2AC4	ENSG00000278463	H2AC4	stomach	stomach	stomach	exact	False	58.10583333333333
2	2	24	X	H2AC4	ENSG00000278463	H2AC4	substantia nigra	substantia nigra	substantia nigra	exact	False	30.4275
2	2	25	Y	H2AC4	ENSG00000278463	H2AC4	testis	testis	testis	exact	False	46.26222222222222
2	2	26	Z	H2AC4	ENSG00000278463	H2AC4	thyroid gland	thyroid gland	thyroid gland	exact	False	0.0
2	2	27	AA	H2AC4	ENSG00000278463	H2AC4	urinary bladder	urinary bladder	urinary bladder	exact	False	0.0
2	2	28	AB	H2AC4	ENSG00000278463	H2AC4	vagina	vagina	vagina	exact	False	51.72
2	2	29	AC	H2AC4	ENSG00000278463	H2AC4	mammary gland	breast	mammary gland	safe_synonym	True	
2	2	30	AD	H2AC4	ENSG00000278463	H2AC4	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	29.42
2	2	31	AE	H2AC4	ENSG00000278463	H2AC4	uterine cervix	cervix	uterine cervix	safe_synonym	True	39.11
2	2	32	AF	H2AC4	ENSG00000278463	H2AC4	myocardium	heart muscle	myocardium	safe_synonym	True	0.0
2	2	33	AG	H2AC4	ENSG00000278463	H2AC4	prostate gland	prostate	prostate gland	safe_synonym	True	0.0
2	2	34	AH	H2AC4	ENSG00000278463	H2AC4	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.0
2	2	35	AI	H2AC4	ENSG00000278463	H2AC4	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.0
3	3	1	A	H2AC6	ENSG00000180573	H2AC6	adipose tissue	adipose tissue	adipose tissue	exact	False	84.59705882352942
3	3	2	B	H2AC6	ENSG00000180573	H2AC6	adrenal gland	adrenal gland	adrenal gland	exact	False	84.4875
3	3	3	C	H2AC6	ENSG00000180573	H2AC6	amygdala	amygdala	amygdala	exact	False	82.92090909090909
3	3	4	D	H2AC6	ENSG00000180573	H2AC6	cerebellum	cerebellum	cerebellum	exact	False	75.08500000000001
3	3	5	E	H2AC6	ENSG00000180573	H2AC6	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	78.676
3	3	6	F	H2AC6	ENSG00000180573	H2AC6	colon	colon	colon	exact	False	88.48333333333333
3	3	7	G	H2AC6	ENSG00000180573	H2AC6	endometrium	endometrium	endometrium	exact	False	90.00466666666667
3	3	8	H	H2AC6	ENSG00000180573	H2AC6	esophagus	esophagus	esophagus	exact	False	87.89285714285714
3	3	9	I	H2AC6	ENSG00000180573	H2AC6	fallopian tube	fallopian tube	fallopian tube	exact	False	87.38499999999999
3	3	10	J	H2AC6	ENSG00000180573	H2AC6	hypothalamus	hypothalamus	hypothalamus	exact	False	85.02600000000001
3	3	11	K	H2AC6	ENSG00000180573	H2AC6	kidney	kidney	kidney	exact	False	89.57166666666666
3	3	12	L	H2AC6	ENSG00000180573	H2AC6	liver	liver	liver	exact	False	90.51190476190476
3	3	13	M	H2AC6	ENSG00000180573	H2AC6	lung	lung	lung	exact	False	85.08947368421053
3	3	14	N	H2AC6	ENSG00000180573	H2AC6	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	82.89461538461539
3	3	15	O	H2AC6	ENSG00000180573	H2AC6	ovary	ovary	ovary	exact	False	86.89
3	3	16	P	H2AC6	ENSG00000180573	H2AC6	pancreas	pancreas	pancreas	exact	False	83.45500000000001
3	3	17	Q	H2AC6	ENSG00000180573	H2AC6	pituitary gland	pituitary gland	pituitary gland	exact	False	87.45357142857144
3	3	18	R	H2AC6	ENSG00000180573	H2AC6	putamen	putamen	putamen	exact	False	84.70928571428571
3	3	19	S	H2AC6	ENSG00000180573	H2AC6	retina	retina	retina	exact	False	73.98
3	3	20	T	H2AC6	ENSG00000180573	H2AC6	small intestine	small intestine	small intestine	exact	False	86.075
3	3	21	U	H2AC6	ENSG00000180573	H2AC6	spinal cord	spinal cord	spinal cord	exact	False	88.273
3	3	22	V	H2AC6	ENSG00000180573	H2AC6	spleen	spleen	spleen	exact	False	90.17416666666666
3	3	23	W	H2AC6	ENSG00000180573	H2AC6	stomach	stomach	stomach	exact	False	88.92
3	3	24	X	H2AC6	ENSG00000180573	H2AC6	substantia nigra	substantia nigra	substantia nigra	exact	False	87.208
3	3	25	Y	H2AC6	ENSG00000180573	H2AC6	testis	testis	testis	exact	False	81.27
3	3	26	Z	H2AC6	ENSG00000180573	H2AC6	thyroid gland	thyroid gland	thyroid gland	exact	False	86.93235294117646
3	3	27	AA	H2AC6	ENSG00000180573	H2AC6	urinary bladder	urinary bladder	urinary bladder	exact	False	81.1525
3	3	28	AB	H2AC6	ENSG00000180573	H2AC6	vagina	vagina	vagina	exact	False	95.305
3	3	29	AC	H2AC6	ENSG00000180573	H2AC6	mammary gland	breast	mammary gland	safe_synonym	True	83.35499999999999
3	3	30	AD	H2AC6	ENSG00000180573	H2AC6	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	84.35470588235295
3	3	31	AE	H2AC6	ENSG00000180573	H2AC6	uterine cervix	cervix	uterine cervix	safe_synonym	True	84.4
3	3	32	AF	H2AC6	ENSG00000180573	H2AC6	myocardium	heart muscle	myocardium	safe_synonym	True	83.56
3	3	33	AG	H2AC6	ENSG00000180573	H2AC6	prostate gland	prostate	prostate gland	safe_synonym	True	91.685
3	3	34	AH	H2AC6	ENSG00000180573	H2AC6	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	78.862
3	3	35	AI	H2AC6	ENSG00000180573	H2AC6	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	81.73333333333333
4	4	1	A	H2AC7	ENSG00000196866	H2AC7	adipose tissue	adipose tissue	adipose tissue	exact	False	40.02
4	4	2	B	H2AC7	ENSG00000196866	H2AC7	adrenal gland	adrenal gland	adrenal gland	exact	False	42.080000000000005
4	4	3	C	H2AC7	ENSG00000196866	H2AC7	amygdala	amygdala	amygdala	exact	False	30.68
4	4	4	D	H2AC7	ENSG00000196866	H2AC7	cerebellum	cerebellum	cerebellum	exact	False	0.0
4	4	5	E	H2AC7	ENSG00000196866	H2AC7	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	29.26
4	4	6	F	H2AC7	ENSG00000196866	H2AC7	colon	colon	colon	exact	False	59.18333333333333
4	4	7	G	H2AC7	ENSG00000196866	H2AC7	endometrium	endometrium	endometrium	exact	False	31.16
4	4	8	H	H2AC7	ENSG00000196866	H2AC7	esophagus	esophagus	esophagus	exact	False	44.975
4	4	9	I	H2AC7	ENSG00000196866	H2AC7	fallopian tube	fallopian tube	fallopian tube	exact	False	26.66
4	4	10	J	H2AC7	ENSG00000196866	H2AC7	hypothalamus	hypothalamus	hypothalamus	exact	False	36.92
4	4	11	K	H2AC7	ENSG00000196866	H2AC7	kidney	kidney	kidney	exact	False	84.3325
4	4	12	L	H2AC7	ENSG00000196866	H2AC7	liver	liver	liver	exact	False	49.57125
4	4	13	M	H2AC7	ENSG00000196866	H2AC7	lung	lung	lung	exact	False	64.38714285714285
4	4	14	N	H2AC7	ENSG00000196866	H2AC7	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	28.763333333333332
4	4	15	O	H2AC7	ENSG00000196866	H2AC7	ovary	ovary	ovary	exact	False	38.10333333333333
4	4	16	P	H2AC7	ENSG00000196866	H2AC7	pancreas	pancreas	pancreas	exact	False	31.26
4	4	17	Q	H2AC7	ENSG00000196866	H2AC7	pituitary gland	pituitary gland	pituitary gland	exact	False	38.04375
4	4	18	R	H2AC7	ENSG00000196866	H2AC7	putamen	putamen	putamen	exact	False	37.53666666666666
4	4	19	S	H2AC7	ENSG00000196866	H2AC7	retina	retina	retina	exact	False	
4	4	20	T	H2AC7	ENSG00000196866	H2AC7	small intestine	small intestine	small intestine	exact	False	39.725
4	4	21	U	H2AC7	ENSG00000196866	H2AC7	spinal cord	spinal cord	spinal cord	exact	False	
4	4	22	V	H2AC7	ENSG00000196866	H2AC7	spleen	spleen	spleen	exact	False	48.408181818181816
4	4	23	W	H2AC7	ENSG00000196866	H2AC7	stomach	stomach	stomach	exact	False	66.8625
4	4	24	X	H2AC7	ENSG00000196866	H2AC7	substantia nigra	substantia nigra	substantia nigra	exact	False	41.16571428571428
4	4	25	Y	H2AC7	ENSG00000196866	H2AC7	testis	testis	testis	exact	False	32.8
4	4	26	Z	H2AC7	ENSG00000196866	H2AC7	thyroid gland	thyroid gland	thyroid gland	exact	False	35.367777777777775
4	4	27	AA	H2AC7	ENSG00000196866	H2AC7	urinary bladder	urinary bladder	urinary bladder	exact	False	41.42
4	4	28	AB	H2AC7	ENSG00000196866	H2AC7	vagina	vagina	vagina	exact	False	61.592
4	4	29	AC	H2AC7	ENSG00000196866	H2AC7	mammary gland	breast	mammary gland	safe_synonym	True	
4	4	30	AD	H2AC7	ENSG00000196866	H2AC7	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	34.02
4	4	31	AE	H2AC7	ENSG00000196866	H2AC7	uterine cervix	cervix	uterine cervix	safe_synonym	True	53.7
4	4	32	AF	H2AC7	ENSG00000196866	H2AC7	myocardium	heart muscle	myocardium	safe_synonym	True	
4	4	33	AG	H2AC7	ENSG00000196866	H2AC7	prostate gland	prostate	prostate gland	safe_synonym	True	50.80125
4	4	34	AH	H2AC7	ENSG00000196866	H2AC7	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	44.55
4	4	35	AI	H2AC7	ENSG00000196866	H2AC7	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.0
5	5	1	A	H2AC8	ENSG00000277075	H2AC8	adipose tissue	adipose tissue	adipose tissue	exact	False	52.031000000000006
5	5	2	B	H2AC8	ENSG00000277075	H2AC8	adrenal gland	adrenal gland	adrenal gland	exact	False	74.29249999999999
5	5	3	C	H2AC8	ENSG00000277075	H2AC8	amygdala	amygdala	amygdala	exact	False	57.315
5	5	4	D	H2AC8	ENSG00000277075	H2AC8	cerebellum	cerebellum	cerebellum	exact	False	57.72166666666666
5	5	5	E	H2AC8	ENSG00000277075	H2AC8	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	54.215555555555554
5	5	6	F	H2AC8	ENSG00000277075	H2AC8	colon	colon	colon	exact	False	73.280625
5	5	7	G	H2AC8	ENSG00000277075	H2AC8	endometrium	endometrium	endometrium	exact	False	57.74400000000001
5	5	8	H	H2AC8	ENSG00000277075	H2AC8	esophagus	esophagus	esophagus	exact	False	66.75428571428571
5	5	9	I	H2AC8	ENSG00000277075	H2AC8	fallopian tube	fallopian tube	fallopian tube	exact	False	64.695
5	5	10	J	H2AC8	ENSG00000277075	H2AC8	hypothalamus	hypothalamus	hypothalamus	exact	False	61.2375
5	5	11	K	H2AC8	ENSG00000277075	H2AC8	kidney	kidney	kidney	exact	False	70.64333333333333
5	5	12	L	H2AC8	ENSG00000277075	H2AC8	liver	liver	liver	exact	False	65.455
5	5	13	M	H2AC8	ENSG00000277075	H2AC8	lung	lung	lung	exact	False	67.78714285714285
5	5	14	N	H2AC8	ENSG00000277075	H2AC8	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	57.64545454545455
5	5	15	O	H2AC8	ENSG00000277075	H2AC8	ovary	ovary	ovary	exact	False	71.80636363636364
5	5	16	P	H2AC8	ENSG00000277075	H2AC8	pancreas	pancreas	pancreas	exact	False	51.075
5	5	17	Q	H2AC8	ENSG00000277075	H2AC8	pituitary gland	pituitary gland	pituitary gland	exact	False	63.474545454545456
5	5	18	R	H2AC8	ENSG00000277075	H2AC8	putamen	putamen	putamen	exact	False	58.475
5	5	19	S	H2AC8	ENSG00000277075	H2AC8	retina	retina	retina	exact	False	
5	5	20	T	H2AC8	ENSG00000277075	H2AC8	small intestine	small intestine	small intestine	exact	False	69.31
5	5	21	U	H2AC8	ENSG00000277075	H2AC8	spinal cord	spinal cord	spinal cord	exact	False	70.505
5	5	22	V	H2AC8	ENSG00000277075	H2AC8	spleen	spleen	spleen	exact	False	71.3575
5	5	23	W	H2AC8	ENSG00000277075	H2AC8	stomach	stomach	stomach	exact	False	80.13666666666667
5	5	24	X	H2AC8	ENSG00000277075	H2AC8	substantia nigra	substantia nigra	substantia nigra	exact	False	62.596
5	5	25	Y	H2AC8	ENSG00000277075	H2AC8	testis	testis	testis	exact	False	67.59538461538462
5	5	26	Z	H2AC8	ENSG00000277075	H2AC8	thyroid gland	thyroid gland	thyroid gland	exact	False	70.20058823529412
5	5	27	AA	H2AC8	ENSG00000277075	H2AC8	urinary bladder	urinary bladder	urinary bladder	exact	False	59.75625
5	5	28	AB	H2AC8	ENSG00000277075	H2AC8	vagina	vagina	vagina	exact	False	72.46916666666667
5	5	29	AC	H2AC8	ENSG00000277075	H2AC8	mammary gland	breast	mammary gland	safe_synonym	True	46.98
5	5	30	AD	H2AC8	ENSG00000277075	H2AC8	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	60.42
5	5	31	AE	H2AC8	ENSG00000277075	H2AC8	uterine cervix	cervix	uterine cervix	safe_synonym	True	62.782
5	5	32	AF	H2AC8	ENSG00000277075	H2AC8	myocardium	heart muscle	myocardium	safe_synonym	True	0.0
5	5	33	AG	H2AC8	ENSG00000277075	H2AC8	prostate gland	prostate	prostate gland	safe_synonym	True	81.388125
5	5	34	AH	H2AC8	ENSG00000277075	H2AC8	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	63.612
5	5	35	AI	H2AC8	ENSG00000277075	H2AC8	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.0
6	6	1	A	H2AC11	ENSG00000196787	H2AC11	adipose tissue	adipose tissue	adipose tissue	exact	False	42.38375
6	6	2	B	H2AC11	ENSG00000196787	H2AC11	adrenal gland	adrenal gland	adrenal gland	exact	False	51.1
6	6	3	C	H2AC11	ENSG00000196787	H2AC11	amygdala	amygdala	amygdala	exact	False	40.27
6	6	4	D	H2AC11	ENSG00000196787	H2AC11	cerebellum	cerebellum	cerebellum	exact	False	0.0
6	6	5	E	H2AC11	ENSG00000196787	H2AC11	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	50.21333333333334
6	6	6	F	H2AC11	ENSG00000196787	H2AC11	colon	colon	colon	exact	False	59.79764705882353
6	6	7	G	H2AC11	ENSG00000196787	H2AC11	endometrium	endometrium	endometrium	exact	False	56.905
6	6	8	H	H2AC11	ENSG00000196787	H2AC11	esophagus	esophagus	esophagus	exact	False	51.70857142857143
6	6	9	I	H2AC11	ENSG00000196787	H2AC11	fallopian tube	fallopian tube	fallopian tube	exact	False	46.23
6	6	10	J	H2AC11	ENSG00000196787	H2AC11	hypothalamus	hypothalamus	hypothalamus	exact	False	44.334
6	6	11	K	H2AC11	ENSG00000196787	H2AC11	kidney	kidney	kidney	exact	False	63.52
6	6	12	L	H2AC11	ENSG00000196787	H2AC11	liver	liver	liver	exact	False	57.458
6	6	13	M	H2AC11	ENSG00000196787	H2AC11	lung	lung	lung	exact	False	61.1390909090909
6	6	14	N	H2AC11	ENSG00000196787	H2AC11	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	40.295
6	6	15	O	H2AC11	ENSG00000196787	H2AC11	ovary	ovary	ovary	exact	False	75.20599999999999
6	6	16	P	H2AC11	ENSG00000196787	H2AC11	pancreas	pancreas	pancreas	exact	False	41.935
6	6	17	Q	H2AC11	ENSG00000196787	H2AC11	pituitary gland	pituitary gland	pituitary gland	exact	False	34.19
6	6	18	R	H2AC11	ENSG00000196787	H2AC11	putamen	putamen	putamen	exact	False	43.94
6	6	19	S	H2AC11	ENSG00000196787	H2AC11	retina	retina	retina	exact	False	
6	6	20	T	H2AC11	ENSG00000196787	H2AC11	small intestine	small intestine	small intestine	exact	False	51.445
6	6	21	U	H2AC11	ENSG00000196787	H2AC11	spinal cord	spinal cord	spinal cord	exact	False	48.915
6	6	22	V	H2AC11	ENSG00000196787	H2AC11	spleen	spleen	spleen	exact	False	54.814166666666665
6	6	23	W	H2AC11	ENSG00000196787	H2AC11	stomach	stomach	stomach	exact	False	66.73583333333333
6	6	24	X	H2AC11	ENSG00000196787	H2AC11	substantia nigra	substantia nigra	substantia nigra	exact	False	49.35545454545454
6	6	25	Y	H2AC11	ENSG00000196787	H2AC11	testis	testis	testis	exact	False	66.72461538461538
6	6	26	Z	H2AC11	ENSG00000196787	H2AC11	thyroid gland	thyroid gland	thyroid gland	exact	False	45.45066666666666
6	6	27	AA	H2AC11	ENSG00000196787	H2AC11	urinary bladder	urinary bladder	urinary bladder	exact	False	46.5025
6	6	28	AB	H2AC11	ENSG00000196787	H2AC11	vagina	vagina	vagina	exact	False	59.892727272727264
6	6	29	AC	H2AC11	ENSG00000196787	H2AC11	mammary gland	breast	mammary gland	safe_synonym	True	42.82
6	6	30	AD	H2AC11	ENSG00000196787	H2AC11	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	39.72
6	6	31	AE	H2AC11	ENSG00000196787	H2AC11	uterine cervix	cervix	uterine cervix	safe_synonym	True	51.93
6	6	32	AF	H2AC11	ENSG00000196787	H2AC11	myocardium	heart muscle	myocardium	safe_synonym	True	0.0
6	6	33	AG	H2AC11	ENSG00000196787	H2AC11	prostate gland	prostate	prostate gland	safe_synonym	True	49.52125
6	6	34	AH	H2AC11	ENSG00000196787	H2AC11	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.0
6	6	35	AI	H2AC11	ENSG00000196787	H2AC11	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.0
7	7	1	A	H2AC12	ENSG00000274997	H2AC12	adipose tissue	adipose tissue	adipose tissue	exact	False	34.585
7	7	2	B	H2AC12	ENSG00000274997	H2AC12	adrenal gland	adrenal gland	adrenal gland	exact	False	43.06
7	7	3	C	H2AC12	ENSG00000274997	H2AC12	amygdala	amygdala	amygdala	exact	False	0.0
7	7	4	D	H2AC12	ENSG00000274997	H2AC12	cerebellum	cerebellum	cerebellum	exact	False	0.0
7	7	5	E	H2AC12	ENSG00000274997	H2AC12	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	24.97
7	7	6	F	H2AC12	ENSG00000274997	H2AC12	colon	colon	colon	exact	False	62.0488888888889
7	7	7	G	H2AC12	ENSG00000274997	H2AC12	endometrium	endometrium	endometrium	exact	False	0.0
7	7	8	H	H2AC12	ENSG00000274997	H2AC12	esophagus	esophagus	esophagus	exact	False	36.89
7	7	9	I	H2AC12	ENSG00000274997	H2AC12	fallopian tube	fallopian tube	fallopian tube	exact	False	29.0
7	7	10	J	H2AC12	ENSG00000274997	H2AC12	hypothalamus	hypothalamus	hypothalamus	exact	False	36.465
7	7	11	K	H2AC12	ENSG00000274997	H2AC12	kidney	kidney	kidney	exact	False	79.3925
7	7	12	L	H2AC12	ENSG00000274997	H2AC12	liver	liver	liver	exact	False	36.705
7	7	13	M	H2AC12	ENSG00000274997	H2AC12	lung	lung	lung	exact	False	63.09666666666666
7	7	14	N	H2AC12	ENSG00000274997	H2AC12	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.0
7	7	15	O	H2AC12	ENSG00000274997	H2AC12	ovary	ovary	ovary	exact	False	31.425
7	7	16	P	H2AC12	ENSG00000274997	H2AC12	pancreas	pancreas	pancreas	exact	False	28.975
7	7	17	Q	H2AC12	ENSG00000274997	H2AC12	pituitary gland	pituitary gland	pituitary gland	exact	False	48.86
7	7	18	R	H2AC12	ENSG00000274997	H2AC12	putamen	putamen	putamen	exact	False	27.48
7	7	19	S	H2AC12	ENSG00000274997	H2AC12	retina	retina	retina	exact	False	
7	7	20	T	H2AC12	ENSG00000274997	H2AC12	small intestine	small intestine	small intestine	exact	False	43.370000000000005
7	7	21	U	H2AC12	ENSG00000274997	H2AC12	spinal cord	spinal cord	spinal cord	exact	False	
7	7	22	V	H2AC12	ENSG00000274997	H2AC12	spleen	spleen	spleen	exact	False	47.16375
7	7	23	W	H2AC12	ENSG00000274997	H2AC12	stomach	stomach	stomach	exact	False	62.51916666666667
7	7	24	X	H2AC12	ENSG00000274997	H2AC12	substantia nigra	substantia nigra	substantia nigra	exact	False	36.97
7	7	25	Y	H2AC12	ENSG00000274997	H2AC12	testis	testis	testis	exact	False	53.8325
7	7	26	Z	H2AC12	ENSG00000274997	H2AC12	thyroid gland	thyroid gland	thyroid gland	exact	False	30.406666666666663
7	7	27	AA	H2AC12	ENSG00000274997	H2AC12	urinary bladder	urinary bladder	urinary bladder	exact	False	49.11666666666667
7	7	28	AB	H2AC12	ENSG00000274997	H2AC12	vagina	vagina	vagina	exact	False	35.95333333333333
7	7	29	AC	H2AC12	ENSG00000274997	H2AC12	mammary gland	breast	mammary gland	safe_synonym	True	
7	7	30	AD	H2AC12	ENSG00000274997	H2AC12	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	28.57
7	7	31	AE	H2AC12	ENSG00000274997	H2AC12	uterine cervix	cervix	uterine cervix	safe_synonym	True	45.39
7	7	32	AF	H2AC12	ENSG00000274997	H2AC12	myocardium	heart muscle	myocardium	safe_synonym	True	
