Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count
ENSECAG00000016692	H2AZ2	zone of skin	98.27	0.08485281374238891	2	present_gold	98.27	0.08485281374238891	2	2	2
ENSECAG00000019223	MACROH2A2	adult mammalian kidney	53.74	0.0	1	present_gold	53.74	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	articular cartilage of joint	68.32	0.0	1	present_gold	68.32	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	blood	40.2775	6.281827626840245	4	present_gold	40.2775	6.281827626840245	4	6	4
ENSECAG00000019223	MACROH2A2	bone marrow	55.45	0.0	1	present_gold	55.45	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	brainstem	61.64	1.9091883092036803	2	present_gold	61.64	1.9091883092036803	2	2	2
ENSECAG00000019223	MACROH2A2	cerebellum	78.674	6.339257054261171	5	present_gold	78.674	6.339257054261171	5	5	5
ENSECAG00000019223	MACROH2A2	chorionic villus	52.05	0.0	1	present_gold	52.05	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	embryo	97.31	0.0	1	present_gold	97.31	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	endometrium	71.65	0.0	1	present_gold	71.65	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	epithelium of bronchus	54.39	1.0889444430272825	2	present_gold	54.39	1.0889444430272825	2	2	2
ENSECAG00000019223	MACROH2A2	gluteus medius	53.905	2.9505875121179974	4	present_gold	53.905	2.9505875121179974	4	4	4
ENSECAG00000019223	MACROH2A2	inner cell mass	63.334999999999994	1.4778531726798816	2	present_gold	63.334999999999994	1.4778531726798816	2	2	2
ENSECAG00000019223	MACROH2A2	leukocyte	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSECAG00000019223	MACROH2A2	liver	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSECAG00000019223	MACROH2A2	multicellular organism	54.82	0.0	1	present_gold	54.82	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	muscle tissue	44.774	3.8514062366881006	5	present_gold	44.774	3.8514062366881006	5	5	5
ENSECAG00000019223	MACROH2A2	oviduct epithelium	49.16	0.0	1	present_gold	49.16	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	prefrontal cortex	63.0	0.0	1	present_gold	63.0	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	retina	68.08	0.0	1	present_gold	68.08	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	spinal cord	58.9325	3.3331098734622353	8	present_gold	58.9325	3.3331098734622353	8	8	8
ENSECAG00000019223	MACROH2A2	synovial membrane of synovial joint	64.47	0.0	1	present_gold	64.47	0.0	1	1	1
ENSECAG00000019223	MACROH2A2	testis	48.739999999999995	16.801650712554007	4	present_gold	48.739999999999995	16.801650712554007	4	4	4
ENSECAG00000019223	MACROH2A2	triceps brachii	45.18	1.046518036156093	2	present_gold	45.18	1.046518036156093	2	2	2
ENSECAG00000019223	MACROH2A2	trophectoderm	58.715	2.1566756826189732	2	present_gold	58.715	2.1566756826189732	2	2	2
ENSECAG00000019223	MACROH2A2	trophoblast	70.3	0.22605309110914565	3	present_gold	70.3	0.22605309110914565	3	3	3
ENSECAG00000019223	MACROH2A2	zone of skin	65.74000000000001	0.014142135623728137	2	present_gold	65.74000000000001	0.014142135623728137	2	2	2
ENSECAG00000023732	H2AZ1	adult mammalian kidney	93.17	0.0	1	present_gold	93.17	0.0	1	1	1
ENSECAG00000023732	H2AZ1	articular cartilage of joint	83.77	0.0	1	present_gold	83.77	0.0	1	1	1
ENSECAG00000023732	H2AZ1	blood	95.69666666666666	3.1574082198326323	6	present_gold	95.69666666666666	3.1574082198326323	6	6	6
ENSECAG00000023732	H2AZ1	bone marrow	99.08	0.0	1	present_gold	99.08	0.0	1	1	1
ENSECAG00000023732	H2AZ1	brainstem	62.51	2.7718585822512676	2	present_gold	62.51	2.7718585822512676	2	2	2
ENSECAG00000023732	H2AZ1	cerebellum	85.92	7.021520490606003	5	present_gold	85.92	7.021520490606003	5	5	5
ENSECAG00000023732	H2AZ1	chorionic villus	94.0	0.0	1	present_gold	94.0	0.0	1	1	1
ENSECAG00000023732	H2AZ1	embryo	98.13	0.0	1	present_gold	98.13	0.0	1	1	1
ENSECAG00000023732	H2AZ1	endometrium	94.42	0.0	1	present_gold	94.42	0.0	1	1	1
ENSECAG00000023732	H2AZ1	epithelium of bronchus	93.765	0.10606601717798615	2	present_gold	93.765	0.10606601717798615	2	2	2
ENSECAG00000023732	H2AZ1	gluteus medius	96.2575	0.24703238654070692	4	present_gold	96.2575	0.24703238654070692	4	4	4
ENSECAG00000023732	H2AZ1	inner cell mass	99.5	0.04242640687119446	2	present_gold	99.5	0.04242640687119446	2	2	2
ENSECAG00000023732	H2AZ1	leukocyte	96.02	0.0	1	present_gold	96.02	0.0	1	1	1
ENSECAG00000023732	H2AZ1	liver	87.92	0.0	1	present_gold	87.92	0.0	1	1	1
ENSECAG00000023732	H2AZ1	multicellular organism	93.64	0.0	1	present_gold	93.64	0.0	1	1	1
ENSECAG00000023732	H2AZ1	muscle tissue	93.862	1.1956462687601188	5	present_gold	93.862	1.1956462687601188	5	5	5
ENSECAG00000023732	H2AZ1	oviduct epithelium	79.27	0.0	1	present_gold	79.27	0.0	1	1	1
ENSECAG00000023732	H2AZ1	prefrontal cortex	93.91	0.0	1	present_gold	93.91	0.0	1	1	1
ENSECAG00000023732	H2AZ1	retina	94.4	0.0	1	present_gold	94.4	0.0	1	1	1
ENSECAG00000023732	H2AZ1	spinal cord	74.39375	2.4609344189323115	8	present_gold	74.39375	2.4609344189323115	8	8	8
ENSECAG00000023732	H2AZ1	synovial membrane of synovial joint	93.75	0.0	1	present_gold	93.75	0.0	1	1	1
ENSECAG00000023732	H2AZ1	testis	98.2475	0.9359976851823226	4	present_gold	98.2475	0.9359976851823226	4	4	4
ENSECAG00000023732	H2AZ1	triceps brachii	94.875	0.4879036790187162	2	present_gold	94.875	0.4879036790187162	2	2	2
ENSECAG00000023732	H2AZ1	trophectoderm	99.53999999999999	0.056568542494922595	2	present_gold	99.53999999999999	0.056568542494922595	2	2	2
ENSECAG00000023732	H2AZ1	trophoblast	97.40666666666668	0.28571547618799986	3	present_gold	97.40666666666668	0.28571547618799986	3	3	3
ENSECAG00000023732	H2AZ1	zone of skin	97.24	0.3959797974644682	2	present_gold	97.24	0.3959797974644682	2	2	2
ENSECAG00000029766	H2AX	adult mammalian kidney	72.55	0.0	1	present_gold	72.55	0.0	1	1	1
ENSECAG00000029766	H2AX	articular cartilage of joint	59.4	0.0	1	present_gold	59.4	0.0	1	1	1
ENSECAG00000029766	H2AX	blood	75.53166666666667	6.275104514401863	6	present_gold	75.53166666666667	6.275104514401863	6	6	6
ENSECAG00000029766	H2AX	bone marrow	97.23	0.0	1	present_gold	97.23	0.0	1	1	1
ENSECAG00000029766	H2AX	brainstem	72.425	7.573113626507929	2	present_gold	72.425	7.573113626507929	2	2	2
ENSECAG00000029766	H2AX	cerebellum	82.748	12.878834186369511	5	present_gold	82.748	12.878834186369511	5	5	5
ENSECAG00000029766	H2AX	chorionic villus	66.87	0.0	1	present_gold	66.87	0.0	1	1	1
ENSECAG00000029766	H2AX	embryo	90.23	0.0	1	present_gold	90.23	0.0	1	1	1
ENSECAG00000029766	H2AX	endometrium	85.07	0.0	1	present_gold	85.07	0.0	1	1	1
ENSECAG00000029766	H2AX	epithelium of bronchus	86.11500000000001	0.8131727983645236	2	present_gold	86.11500000000001	0.8131727983645236	2	2	2
ENSECAG00000029766	H2AX	gluteus medius	51.254999999999995	6.735926068477887	4	present_gold	51.254999999999995	6.735926068477887	4	4	4
ENSECAG00000029766	H2AX	inner cell mass	67.43	2.163746750430827	2	present_gold	67.43	2.163746750430827	2	2	2
ENSECAG00000029766	H2AX	leukocyte	90.6	0.0	1	present_gold	90.6	0.0	1	1	1
ENSECAG00000029766	H2AX	liver	74.28	0.0	1	present_gold	74.28	0.0	1	1	1
ENSECAG00000029766	H2AX	multicellular organism	81.18	0.0	1	present_gold	81.18	0.0	1	1	1
ENSECAG00000029766	H2AX	muscle tissue	64.99199999999999	2.0988258622382188	5	present_gold	64.99199999999999	2.0988258622382188	5	5	5
ENSECAG00000029766	H2AX	oviduct epithelium	80.95	0.0	1	present_gold	80.95	0.0	1	1	1
ENSECAG00000029766	H2AX	prefrontal cortex	76.56	0.0	1	present_gold	76.56	0.0	1	1	1
ENSECAG00000029766	H2AX	retina	76.68	0.0	1	present_gold	76.68	0.0	1	1	1
ENSECAG00000029766	H2AX	spinal cord	79.81625	5.160323737075862	8	present_gold	79.81625	5.160323737075862	8	8	8
ENSECAG00000029766	H2AX	synovial membrane of synovial joint	70.35	0.0	1	present_gold	70.35	0.0	1	1	1
ENSECAG00000029766	H2AX	testis	89.9625	4.524779000128074	4	present_gold	89.9625	4.524779000128074	4	4	4
ENSECAG00000029766	H2AX	triceps brachii	72.81	1.2869343417595116	2	present_gold	72.81	1.2869343417595116	2	2	2
ENSECAG00000029766	H2AX	trophectoderm	71.66499999999999	2.5809397513308925	2	present_gold	71.66499999999999	2.5809397513308925	2	2	2
ENSECAG00000029766	H2AX	trophoblast	93.64	4.26126741709553	3	present_gold	93.64	4.26126741709553	3	3	3
ENSECAG00000029766	H2AX	zone of skin	81.265	2.5667976157071646	2	present_gold	81.265	2.5667976157071646	2	2	2
ENSECAG00000029871	H2AB3	adult mammalian kidney	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSECAG00000029871	H2AB3	articular cartilage of joint	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSECAG00000029871	H2AB3	blood	0.0	0.0	0	observed_zero	0.0	0.0	0	6	0
ENSECAG00000029871	H2AB3	bone marrow	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSECAG00000029871	H2AB3	brainstem	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0
ENSECAG00000029871	H2AB3	cerebellum	33.3	0.0	1	present_gold	33.3	0.0	1	5	1
ENSECAG00000029871	H2AB3	chorionic villus	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSECAG00000029871	H2AB3	embryo	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSECAG00000029871	H2AB3	endometrium	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
ENSECAG00000029871	H2AB3	epithelium of bronchus	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0
ENSECAG00000029871	H2AB3	gluteus medius	0.0	0.0	0	observed_zero	0.0	0.0	0	4	0
ENSECAG00000029871	H2AB3	inner cell mass	0.0	0.0	0	observed_zero	0.0	0.0	0	2	0
ENSECAG00000029871	H2AB3	leukocyte	0.0	0.0	0	observed_zero	0.0	0.0	0	1	0
