Gene ID	Gene name	Anatomical entity ID	Anatomical entity name	Developmental stage ID	Developmental stage name	Sex	Strain	Expression	Call quality	FDR	Expression score	Expression rank	Including observed data	Self observation count	Descendant observation count	Affymetrix expression	Affymetrix call quality	Affymetrix FDR	Affymetrix expression score	Affymetrix expression rank	Affymetrix weight for expression rank and score	Including Affymetrix observed data	Self observation count Affymetrix	Descendant observation count Affymetrix	EST expression	EST call quality	EST FDR	EST expression score	EST expression rank	EST weight for expression rank and score	Including EST observed data	Self observation count EST	Descendant observation count EST	in situ hybridization expression	in situ hybridization call quality	in situ hybridization FDR	in situ hybridization expression score	in situ hybridization expression rank	in situ hybridization weight for expression rank and score	Including in situ hybridization observed data	Self observation count in situ hybridization	Descendant observation count in situ hybridization	RNA-Seq expression	RNA-Seq call quality	RNA-Seq FDR	RNA-Seq expression score	RNA-Seq expression rank	RNA-Seq weight for expression rank and score	Including RNA-Seq observed data	Self observation count RNA-Seq	Descendant observation count RNA-Seq	single-cell RNA-Seq expression	single-cell RNA-Seq call quality	single-cell RNA-Seq FDR	single-cell RNA-Seq expression score	single-cell RNA-Seq expression rank	single-cell RNA-Seq weight for expression rank and score	Including single-cell RNA-Seq observed data	Self observation count single-cell RNA-Seq	Descendant observation count single-cell RNA-Seq
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	HsapDv:0000239	fifth decade stage (human)	female	wild-type	present	gold quality	1.615837274165685E-9	80.92	8.89e3	yes	3	0	present	silver quality	0.0252302356363696	85.22	6.89e3	13828	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.07722484944379E-9	79.95	9.35e3	61087	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	HsapDv:0000239	fifth decade stage (human)	male	wild-type	present	gold quality	1.7343654469870549E-9	78.78	9.89e3	yes	5	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.7343654469870549E-9	78.78	9.89e3	157540	yes	5	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	HsapDv:0000240	sixth decade stage (human)	female	wild-type	present	gold quality	3.6636566837009653E-10	81.42	8.66e3	yes	7	0	present	silver quality	0.0164270517882281	83.08	7.89e3	27615	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	2.616897631214975E-10	81.11	8.81e3	150062	yes	5	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	HsapDv:0000240	sixth decade stage (human)	male	wild-type	present	gold quality	7.539258469845437E-10	80.07	9.29e3	yes	25	0	present	silver quality	0.0252302356363696	79.01	9.79e3	20713	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	6.634547453463984E-10	80.10	9.28e3	684103	yes	22	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	HsapDv:0000241	seventh decade stage (human)	female	wild-type	present	gold quality	1.8011627878089841E-10	81.86	8.46e3	yes	6	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.8011627878089841E-10	81.86	8.46e3	189987	yes	6	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	HsapDv:0000241	seventh decade stage (human)	male	wild-type	present	gold quality	3.3845948762080175E-10	79.55	9.53e3	yes	23	0	present	gold quality	0.00584718814849828	79.13	9.73e3	13798	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	3.0902822782768856E-10	79.56	9.53e3	645402	yes	21	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	HsapDv:0000242	eighth decade stage (human)	female	wild-type	present	silver quality	0.019673362178987252	78.79	9.89e3	yes	3	0	present	silver quality	0.019673362178987252	78.79	9.89e3	20915	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	HsapDv:0000242	eighth decade stage (human)	male	wild-type	present	gold quality	6.99338370292545E-9	79.24	9.68e3	yes	5	0	present	silver quality	0.0131155747859915	77.61	1.04e4	20968	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	2.79735348117018E-9	79.77	9.43e3	63768	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	HsapDv:0000243	ninth decade stage (human)	male	wild-type	present	silver quality	0.0131155747859915	77.58	1.05e4	yes	1	0	present	silver quality	0.0131155747859915	77.58	1.05e4	6892	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	HsapDv:0000244	tenth decade stage (human)	female	wild-type	present	silver quality	0.0131155747859915	78.43	1.01e4	yes	1	0	present	silver quality	0.0131155747859915	78.43	1.01e4	7005	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	UBERON:0000104	life cycle	any	wild-type	present	gold quality	1.145793323123541E-9	80.43	9.13e3	yes	1	89	present	silver quality	0.022733662962385267	82.76	8.04e3	270116	yes	1	25	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	8.147863631100736E-10	80.11	9.27e3	1983633	yes	0	64	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001874	putamen	UBERON:0000104	life cycle	male	wild-type	present	gold quality	9.859472030692922E-10	80.04	9.30e3	yes	3	64	present	silver quality	0.02331657739731822	82.37	8.22e3	159310	yes	3	13	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	7.504971247243865E-10	79.81	9.41e3	1582497	yes	0	51	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001875	globus pallidus	UBERON:0000104	life cycle	any	wild-type	present	silver quality	0.0389909323577025	67.80	1.50e4	yes	1	14	present	silver quality	0.0389909323577025	67.80	1.50e4	207995	yes	1	14	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000237	third decade stage (human)	female	wild-type	present	silver quality	0.0131155747859915	83.74	7.58e3	yes	1	0	present	silver quality	0.0131155747859915	83.74	7.58e3	13720	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000237	third decade stage (human)	male	wild-type	present	silver quality	0.0252302356363696	82.78	8.03e3	yes	1	0	present	silver quality	0.0252302356363696	82.78	8.03e3	13745	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000238	fourth decade stage (human)	female	wild-type	present	gold quality	0.00496277305092019	82.63	8.10e3	yes	1	0	present	gold quality	0.00496277305092019	82.63	8.10e3	13618	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000238	fourth decade stage (human)	male	wild-type	present	gold quality	1.238205290895924E-9	83.34	7.77e3	yes	4	0	present	gold quality	0.005734388529331005	85.41	6.80e3	41264	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	3.09551322723981E-10	80.57	9.06e3	30817	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000239	fifth decade stage (human)	female	wild-type	present	gold quality	8.78765779593466E-10	82.33	8.24e3	yes	1	0	present	gold quality	0.00496277305092019	83.52	7.68e3	13716	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	4.39382889796733E-10	81.83	8.47e3	32462	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000239	fifth decade stage (human)	male	wild-type	present	gold quality	4.93520826513251E-10	80.22	9.22e3	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	4.93520826513251E-10	80.22	9.22e3	94082	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000240	sixth decade stage (human)	female	wild-type	present	gold quality	1.986940679260405E-10	81.10	8.81e3	yes	5	0	present	gold quality	0.00818426308604703	82.65	8.09e3	13717	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.589552543408324E-10	80.94	8.89e3	126567	yes	4	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000240	sixth decade stage (human)	male	wild-type	present	gold quality	1.7799753505112998E-10	81.24	8.74e3	yes	15	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.7799753505112998E-10	81.24	8.74e3	461884	yes	15	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000241	seventh decade stage (human)	female	wild-type	present	gold quality	2.7233475301825203E-10	81.14	8.79e3	yes	6	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	2.7233475301825203E-10	81.14	8.79e3	191301	yes	6	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000241	seventh decade stage (human)	male	wild-type	present	gold quality	1.6754325394844897E-10	80.58	9.05e3	yes	13	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.6754325394844897E-10	80.58	9.05e3	394087	yes	13	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	HsapDv:0000242	eighth decade stage (human)	male	wild-type	present	gold quality	3.87222716532442E-10	79.34	9.63e3	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	3.87222716532442E-10	79.34	9.63e3	63411	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	UBERON:0000104	life cycle	any	wild-type	present	gold quality	4.305829093244352E-10	81.19	8.77e3	yes	1	55	present	silver quality	0.013647625890030523	84.73	7.12e3	131641	yes	1	10	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	3.460041235642783E-10	80.86	8.92e3	1394611	yes	0	45	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001876	amygdala	UBERON:0000113	post-juvenile	any	wild-type	present	gold quality	4.228939288007845E-10	81.21	8.76e3	yes	2	53	present	silver quality	0.012406932627300474	85.15	6.92e3	124195	yes	2	8	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	3.460041235642783E-10	80.86	8.92e3	1394611	yes	0	45	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000237	third decade stage (human)	female	wild-type	present	gold quality	4.89622969590872E-9	81.43	8.66e3	yes	1	0	present	gold quality	0.00818426308604703	85.96	6.55e3	13697	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	2.44811484795436E-9	79.47	9.57e3	31706	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000237	third decade stage (human)	male	wild-type	present	gold quality	0.00639609278054321	83.23	7.82e3	yes	1	0	present	gold quality	0.00639609278054321	83.23	7.82e3	13787	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000238	fourth decade stage (human)	female	wild-type	present	gold quality	0.00382292568622067	84.00	7.46e3	yes	1	0	present	gold quality	0.00382292568622067	84.00	7.46e3	13725	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000238	fourth decade stage (human)	male	wild-type	present	gold quality	2.744634013024532E-9	83.75	7.58e3	yes	4	0	present	silver quality	0.02455278925814109	85.71	6.66e3	40126	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	6.86158503256133E-10	81.31	8.71e3	32364	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000239	fifth decade stage (human)	female	wild-type	present	gold quality	5.62492564044682E-10	83.26	7.80e3	yes	4	0	present	gold quality	0.00292359407424914	82.45	8.18e3	13702	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	4.218694230335115E-10	83.38	7.75e3	93060	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000239	fifth decade stage (human)	male	wild-type	present	gold quality	1.0308192979927E-9	80.55	9.07e3	yes	5	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.0308192979927E-9	80.55	9.07e3	161972	yes	5	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000240	sixth decade stage (human)	female	wild-type	present	gold quality	4.06262293273096E-10	82.48	8.17e3	yes	8	0	present	gold quality	0.00639609278054321	84.85	7.06e3	27570	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	3.04696719954822E-10	82.13	8.33e3	186052	yes	6	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000240	sixth decade stage (human)	male	wild-type	present	gold quality	9.043818774404144E-10	81.28	8.73e3	yes	23	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	9.043818774404144E-10	81.28	8.73e3	726165	yes	23	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000241	seventh decade stage (human)	female	wild-type	present	gold quality	9.32610281140254E-10	82.95	7.95e3	yes	6	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	9.32610281140254E-10	82.95	7.95e3	196320	yes	6	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000241	seventh decade stage (human)	male	Asian	present	silver quality	0.020429854860291	79.91	9.37e3	yes	1	0	present	silver quality	0.020429854860291	79.91	9.37e3	4807	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000241	seventh decade stage (human)	male	wild-type	present	gold quality	5.820024012797712E-10	81.45	8.65e3	yes	23	1	present	silver quality	0.020429854860291	79.91	9.37e3	4807	yes	0	1	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	5.577523012264474E-10	81.46	8.64e3	711159	yes	23	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	HsapDv:0000242	eighth decade stage (human)	male	wild-type	present	gold quality	8.69630845593159E-10	82.20	8.30e3	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	8.69630845593159E-10	82.20	8.30e3	91878	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	UBERON:0000104	life cycle	any	wild-type	present	gold quality	1.2882292581345861E-9	81.84	8.47e3	yes	1	85	present	silver quality	0.012276394629070545	84.54	7.21e3	197560	yes	1	14	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.063538108459949E-9	81.60	8.58e3	2230676	yes	0	71	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001882	nucleus accumbens	UBERON:0000104	life cycle	male	wild-type	present	gold quality	1.258270438177968E-9	81.51	8.62e3	yes	4	60	present	silver quality	0.014731673554884653	84.13	7.40e3	114666	yes	4	5	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.0813261578091911E-9	81.34	8.70e3	1723538	yes	0	55	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001890	forebrain	HsapDv:0000198	fourth LMP month stage (human)	any	wild-type	present	gold quality	1.0E-14	95.70	2.00e3	yes	1	9	present	gold quality	0.00167287722066534	91.66	3.89e3	52591	yes	1	3	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.0E-14	97.40	1.21e3	125343	yes	0	6	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001890	forebrain	HsapDv:0000199	fifth LMP month stage (human)	any	wild-type	present	gold quality	1.0E-14	91.60	3.92e3	yes	3	14	present	gold quality	0.00167287722066534	86.87	6.12e3	143938	yes	3	8	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.0E-14	97.39	1.22e3	117696	yes	0	6	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001891	midbrain	HsapDv:0000237	third decade stage (human)	male	wild-type	present	gold quality	0.00818426308604703	81.93	8.42e3	yes	1	2	present	gold quality	0.00818426308604703	81.93	8.42e3	40891	yes	1	2	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001891	midbrain	HsapDv:0000238	fourth decade stage (human)	female	wild-type	present	gold quality	0.009594139170814815	83.35	7.76e3	yes	1	2	present	gold quality	0.009594139170814815	83.35	7.76e3	40948	yes	1	2	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001891	midbrain	HsapDv:0000238	fourth decade stage (human)	male	wild-type	present	gold quality	3.82525270008828E-9	83.84	7.53e3	yes	3	7	present	silver quality	0.012276394629070545	84.84	7.07e3	123039	yes	3	6	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	3.82525270008828E-10	79.71	9.46e3	29578	yes	0	1	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001891	midbrain	HsapDv:0000239	fifth decade stage (human)	female	wild-type	present	gold quality	1.743027817110172E-9	82.65	8.09e3	yes	1	3	present	gold quality	0.00818426308604703	83.26	7.80e3	41197	yes	1	2	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	4.35756954277543E-10	81.87	8.45e3	32787	yes	0	1	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001891	midbrain	HsapDv:0000240	sixth decade stage (human)	male	wild-type	present	gold quality	3.301863116171976E-9	79.73	9.45e3	yes	1	15	present	silver quality	0.014556614746875599	84.70	7.13e3	56274	yes	1	6	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.8572980028467365E-9	78.74	9.91e3	283098	yes	0	9	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001893	telencephalon	UBERON:0000113	post-juvenile	any	wild-type	present	gold quality	1.0E-14	80.67	9.01e3	yes	2	1173	present	gold quality	0.008455209513217788	79.40	9.60e3	6131276	yes	2	489	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.0E-14	81.05	8.84e3	20569173	yes	0	684	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001896	medulla oblongata	HsapDv:0000237	third decade stage (human)	female	wild-type	present	silver quality	0.020429854860291	81.93	8.42e3	yes	1	0	present	silver quality	0.020429854860291	81.93	8.42e3	13652	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001896	medulla oblongata	HsapDv:0000237	third decade stage (human)	male	wild-type	present	gold quality	0.00382292568622067	84.18	7.37e3	yes	1	0	present	gold quality	0.00382292568622067	84.18	7.37e3	13628	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001896	medulla oblongata	HsapDv:0000238	fourth decade stage (human)	female	wild-type	present	gold quality	0.00496277305092019	81.10	8.81e3	yes	1	1	present	gold quality	0.00496277305092019	81.10	8.81e3	27298	yes	1	1	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001896	medulla oblongata	HsapDv:0000238	fourth decade stage (human)	male	wild-type	present	gold quality	0.007995115975679012	82.31	8.24e3	yes	3	2	present	gold quality	0.007995115975679012	82.31	8.24e3	68741	yes	3	2	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001896	medulla oblongata	HsapDv:0000239	fifth decade stage (human)	female	wild-type	present	gold quality	0.00764585137244134	82.99	7.93e3	yes	1	1	present	gold quality	0.00764585137244134	82.99	7.93e3	27425	yes	1	1	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001896	medulla oblongata	HsapDv:0000240	sixth decade stage (human)	female	wild-type	present	silver quality	0.012276394629070545	82.68	8.08e3	yes	2	1	present	silver quality	0.012276394629070545	82.68	8.08e3	41283	yes	2	1	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001897	dorsal plus ventral thalamus	HsapDv:0000237	third decade stage (human)	female	wild-type	present	silver quality	0.0252302356363696	84.13	7.40e3	yes	1	1	present	silver quality	0.0252302356363696	84.13	7.40e3	27787	yes	1	1	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001897	dorsal plus ventral thalamus	HsapDv:0000237	third decade stage (human)	male	wild-type	present	silver quality	0.020429854860291	77.52	1.05e4	yes	1	0	present	silver quality	0.020429854860291	77.52	1.05e4	13666	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	UBERON:0001897	dorsal plus ventral thalamus	HsapDv:0000238	fourth decade stage (human)	female	wild-type	present	gold quality	0.00764585137244134	80.99	8.86e3	yes	1	1	present	gold quality	0.00764585137244134	80.99	8.86e3	27192	yes	1	1	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
