Gene ID	Gene name	Anatomical entity ID	Anatomical entity name	Developmental stage ID	Developmental stage name	Sex	Strain	Expression	Call quality	FDR	Expression score	Expression rank	Including observed data	Self observation count	Descendant observation count	Affymetrix expression	Affymetrix call quality	Affymetrix FDR	Affymetrix expression score	Affymetrix expression rank	Affymetrix weight for expression rank and score	Including Affymetrix observed data	Self observation count Affymetrix	Descendant observation count Affymetrix	EST expression	EST call quality	EST FDR	EST expression score	EST expression rank	EST weight for expression rank and score	Including EST observed data	Self observation count EST	Descendant observation count EST	in situ hybridization expression	in situ hybridization call quality	in situ hybridization FDR	in situ hybridization expression score	in situ hybridization expression rank	in situ hybridization weight for expression rank and score	Including in situ hybridization observed data	Self observation count in situ hybridization	Descendant observation count in situ hybridization	RNA-Seq expression	RNA-Seq call quality	RNA-Seq FDR	RNA-Seq expression score	RNA-Seq expression rank	RNA-Seq weight for expression rank and score	Including RNA-Seq observed data	Self observation count RNA-Seq	Descendant observation count RNA-Seq	single-cell RNA-Seq expression	single-cell RNA-Seq call quality	single-cell RNA-Seq FDR	single-cell RNA-Seq expression score	single-cell RNA-Seq expression rank	single-cell RNA-Seq weight for expression rank and score	Including single-cell RNA-Seq observed data	Self observation count single-cell RNA-Seq	Descendant observation count single-cell RNA-Seq
ENSG00000099284	MACROH2A2	CL:0000738	leukocyte	HsapDv:0000240	sixth decade stage (human)	male	White	present	gold quality	3.71170182021612E-7	80.73	8.98e3	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	3.71170182021612E-7	80.73	8.98e3	47130	yes	2	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0000842	mononuclear cell	UBERON:0000113	post-juvenile	any	wild-type	present	gold quality	1.856577333266421E-7	71.62	1.32e4	yes	4	30	absent	gold quality	0.125	70.91	1.36e4	25058	yes	4	1	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	1.5835512548448886E-7	71.64	1.32e4	777345	yes	0	29	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0000842	mononuclear cell	UBERON:0007222	late adult stage	any	wild-type	absent	gold quality	0.164032395854663	74.60	1.18e4	yes	1	0	absent	gold quality	0.164032395854663	74.60	1.18e4	7025	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002079	pancreatic ductal cell	UBERON:0000104	life cycle	any	wild-type	absent	silver quality	0.1	78.13	1.02e4	yes	3	0	absent	silver quality	0.1	78.13	1.02e4	8761	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002092	bone marrow cell	HsapDv:0000237	third decade stage (human)	female	wild-type	present	silver quality	0.0376840717740616	76.35	1.10e4	yes	5	0	present	silver quality	0.0376840717740616	76.35	1.10e4	34513	yes	5	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002092	bone marrow cell	HsapDv:0000237	third decade stage (human)	male	wild-type	present	silver quality	0.020429854860291	76.21	1.11e4	yes	1	0	present	silver quality	0.020429854860291	76.21	1.11e4	6965	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002092	bone marrow cell	HsapDv:0000238	fourth decade stage (human)	female	wild-type	present	silver quality	0.0376840717740616	76.26	1.11e4	yes	1	0	present	silver quality	0.0376840717740616	76.26	1.11e4	6908	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002092	bone marrow cell	HsapDv:0000238	fourth decade stage (human)	male	wild-type	present	silver quality	0.0376840717740616	76.77	1.08e4	yes	3	0	present	silver quality	0.0376840717740616	76.77	1.08e4	20969	yes	3	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002092	bone marrow cell	HsapDv:0000239	fifth decade stage (human)	female	wild-type	absent	gold quality	0.164032395854663	76.44	1.10e4	yes	1	0	absent	gold quality	0.164032395854663	76.44	1.10e4	6942	yes	1	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0
ENSG00000099284	MACROH2A2	CL:0002092	bone marrow cell	UBERON:0000104	life cycle	any	wild-type	present	silver quality	0.01343092151866817	75.02	1.16e4	yes	10	11	present	silver quality	0.04145247895146776	76.45	1.10e4	76297	yes	0	11	no data	NA	NA	NA	NA	NA	no	0	0	no data	NA	NA	NA	NA	NA	no	0	0	present	gold quality	0.00639567691365151	74.50	1.19e4	210097	yes	10	0	no data	NA	NA	NA	NA	NA	no	0	0
