tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
adult mammalian kidney,93.4825,98.77333333333333,,93.17,91.24,,96.835,94.13,,,95.62666666666668,90.585
liver,90.1375,92.92142857142858,,87.92,84.645,,95.57260869565218,92.65142857142855,,,93.58666666666666,91.65500000000002
prefrontal cortex,95.38,96.36,,93.91,95.38,,97.592,98.3275,,,97.49,96.26
testis,91.76333333333334,99.209,,98.2475,98.51333333333334,,98.53307692307692,98.63666666666666,,,98.64,97.92
cerebellum,94.98666666666668,97.745,,85.92,,,98.07235294117648,98.546,,,96.925,96.49666666666668
spleen,96.928,97.70333333333332,,,96.59,,98.73666666666666,97.915,,,96.86,96.28142857142858
cerebral cortex,95.795,97.38,,,,,98.171,99.1,,,97.76,96.71
colon,95.35,97.705,,,,,98.65944444444445,98.56,,,94.07,97.76
frontal cortex,96.43666666666668,97.32,,,,,97.52807692307692,97.2,,,97.695,95.65714285714286
heart,90.385,97.85666666666668,,,,,97.57625,93.706,,,93.932,88.37666666666667
lung,95.87,98.5375,,,,,98.17636363636365,96.835,,,94.87,93.8375
skeletal muscle tissue,93.6775,96.83,,,,,96.186875,95.67,,,92.47,93.99
adipose tissue,93.18166666666669,96.26,,,,,97.64,94.66,,,,92.16
blood,96.15,96.47,,95.69666666666666,,,98.18538461538462,,,,,97.88666666666666
bone marrow,94.0,97.7,,99.08,,,99.54785714285715,,,,97.68,
brain,94.69,97.465,,,95.57,,97.805,98.1675,,,,
kidney,95.09,97.29,,,,,98.24666666666668,95.61,,,,96.81
lymph node,97.16,98.24,,,,,98.35166666666667,,,,95.48,95.98
multicellular organism,94.47,,,93.64,,,98.215,98.16333333333334,,,96.645,
pituitary gland,94.33,98.13666666666668,,,,,98.4723076923077,,,,95.66,96.31
zone of skin,96.81333333333332,92.02285714285712,,97.24,94.45,,98.30571428571427,,,,,
Ammon's horn,95.12,,,,,,97.32541666666668,97.74,,,,97.19
cortex of kidney,93.47,,,,,,96.036,96.09,,,94.47,
hypothalamus,92.75,97.23,,,,,97.52111111111113,,,,,96.07
metanephros cortex,93.59,97.33,,,,,98.415,,,,,93.775
muscle tissue,89.19428571428571,,,93.862,,,96.2,,,,,87.33500000000001
ovary,97.3225,93.54,,,,,98.31727272727272,,,,,91.73333333333332
retina,96.93,97.55,,94.4,,,98.29,,,,,
thymus,98.67,99.35,,,,,99.5725,,,,98.34,
uterus,94.65333333333336,,,,93.4,,98.58,,,,,96.69666666666669
adrenal gland,98.07333333333334,96.78,,,,,97.805,,,,,
caecum,95.31333333333332,,,,,,98.78333333333336,,,,,97.635
cerebellar cortex,,,,,,,98.58,98.48333333333332,,,97.846,
dorsolateral prefrontal cortex,,,,,,,98.31166666666668,97.65,,,97.3,
duodenum,97.5175,,,,,,95.9825,,,,,97.565
embryo,,,,98.13,97.84,,99.66875,,,,,
endometrium,94.8,,,94.42,,,98.31375,,,,,
heart left ventricle,,94.98333333333332,,,,,97.1635294117647,,,,,87.45500000000001
hindlimb stylopod muscle,,,,,,,96.49,96.61,,,93.54,
ileum,97.32,,,,,,,99.38,,,,98.805
jejunum,97.3225,97.86,,,,,97.92,,,,,
leukocyte,93.78454545454548,,,96.02,,,98.77,,,,,
mammary gland,94.535,96.955,,,,,97.51,,,,,
occipital lobe,96.52,97.87,,,,,97.00166666666668,,,,,
