tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
olfactory segment of nasal mucosa,96.24,,,,,,98.76,98.52,,,,
oocyte,73.79,,,,,,81.52,,,,,86.99
oviduct epithelium,91.89,,,79.27,,,94.07666666666668,,,,,
placenta,93.425,96.92,,,,,98.008,,,,,
pons,92.885,,,,,,97.7,,,,,93.35
primary visual cortex,,,,,,,97.86333333333332,98.37,,,97.39,
renal medulla,93.13,97.55,,,,,97.35666666666668,,,,,
saliva-secreting gland,93.89,97.73,,,,,98.116,,,,,
spinal cord,,94.92,,74.39375,,,96.851,,,,,
stomach,,97.11,,,,,98.00083333333332,,,,,97.935
subcutaneous adipose tissue,90.06545454545454,,,,,,97.49789473684211,,,,,94.74
superior frontal gyrus,,,,,,,97.6476,97.7,,,98.04222222222222,
temporal lobe,,97.39,,,,,96.77,,,,96.17,
thyroid gland,92.79,98.2,,,,,97.54588235294118,,,,,
tongue,95.36,97.04,,,,,98.38,,,,,
triceps brachii,90.465,,,94.875,,,95.655,,,,,
urinary bladder,95.465,96.91,,,,,98.7425,,,,,
Brodmann (1909) area 10,,,,,,,88.93,,,,98.75,
adenohypophysis,97.33,,,,,,98.56166666666668,,,,,
adrenal cortex,,96.205,,,,,96.25,,,,,
amygdala,,,,,,,97.42846153846152,,,,,96.245
aorta,91.495,,,,,,98.4,,,,,
brainstem,,,,62.51,,,,,,,,94.74666666666668
caput epididymis,96.73,,,,,,97.74,,,,,
cardiac atrium,92.215,,,,,,97.00333333333332,,,,,
cardiac ventricle,89.16,,,,,,96.72333333333334,,,,,
cartilage tissue,,97.37,,,,,98.77,,,,,
corpus callosum,,,,,,,93.52333333333333,,,,,93.985
corpus epididymis,95.93,,,,,,97.66666666666669,,,,,
diaphragm,98.36,,,,,,94.23,,,,,
dorsal plus ventral thalamus,,,,,,,95.37714285714286,,,,,93.8
epithelium of bronchus,,,,93.765,,,97.77785714285712,,,,,
esophagus,96.04,,,,,,98.7757142857143,,,,,
fibroblast,,,,,,,,97.46,,,99.04,
forebrain,,,,,,,98.98,,,,,97.83
gall bladder,97.69,,,,,,98.43,,,,,
gluteal muscle,88.36,,,,,,94.44,,,,,
gluteus medius,87.78,,,96.2575,,,,,,,,
granulocyte,,94.8,,,,,98.4,,,,,
granulosa cell,95.89,,,,,,,,,,,99.24
hair follicle,,94.83,,,,,97.6,,,,,
heart right ventricle,,95.92,,,,,97.705,,,,,
large intestine,,97.52,,,,,98.835,,,,,
longissimus thoracis muscle,91.18,,,,,,,,,,,94.568
material anatomical entity,,,,,,,97.89,,,,,96.76
medulla oblongata,,,,,,,95.47428571428571,,,,,94.445
mesenteric lymph node,97.59,,,,,,,,,,,98.375
midbrain,94.4,,,,,,95.762,,,,,
monocyte,91.24,,,,,,98.98,,,,,
mucosa of urinary bladder,,95.83,,,,,97.73,,,,,
myometrium,95.59,,,,,,98.21090909090908,,,,,
nasal cavity mucosa,97.525,,,,,,98.87,,,,,
nasopharynx,98.82,,,,,,99.12,,,,,
occipital cortex,,98.58,,,,,,,,,,96.46
olfactory bulb,,98.19,,,,,93.61,,,,,
omental fat pad,86.1,,,,,,97.96,,,,,
pancreas,,96.75333333333332,,,,,97.845,,,,,
penis,,,,,,,99.24,,,,,97.76
prostate gland,96.12,,,,,,96.19333333333331,,,,,
right lobe of liver,,,,,,,95.47888888888887,,,,,93.655
semimembranosus muscle,93.40333333333332,,,,,,,,,,,96.17
small intestine,,98.02,,,,,98.345,,,,,
smooth muscle tissue,,95.33,,,,,98.545,,,,,
spermatid,98.86,,,,,,,98.9,,,,
spermatocyte,99.41,,,,,,,99.69,,,,
tonsil,,,,,,,99.15333333333332,,,,,98.69
trachea,88.795,,,,,,97.72333333333331,,,,,
urethra,96.135,,,,,,97.58333333333331,,,,,
uterine cervix,96.18,,,,,,98.064,,,,,
Brodmann (1909) area 23,,,,,,,98.205,,,,,
Brodmann (1909) area 46,,,,,,,97.69,,,,,
Brodmann (1909) area 9,,,,,,,98.24,,,,,
C1 segment of cervical spinal cord,,,,,,,97.57333333333332,,,,,
CA1 field of hippocampus,,,,,,,93.605,,,,,
abdominal lymph node,97.86,,,,,,,,,,,
abomasum,98.42333333333332,,,,,,,,,,,
adipose tissue of abdominal region,,,,,,,97.49333333333334,,,,,
adrenal tissue,,,,,,,97.59333333333332,,,,,
adult organism,,,,,,,99.42,,,,,
amniotic fluid,,,,,,,96.32,,,,,
ampulla of uterine tube,93.295,,,,,,,,,,,
anatomical system,,,,,,,98.16,,,,,
anterior cingulate cortex,,,,,,,98.12272727272726,,,,,
anterior segment of eyeball,98.38,,,,,,,,,,,
apex of heart,,,,,,,95.65,,,,,
artery,,,,,,,98.36,,,,,
articular cartilage of joint,,,,83.77,,,,,,,,
ascending aorta,,,,,,,98.393,,,,,
ascending colon,94.65,,,,,,,,,,,
biceps brachii,,,,,,,97.606,,,,,
biceps femoris,92.25,,,,,,,,,,,
blood vessel layer,,,,,,,97.28,,,,,
body of pancreas,,,,,,,97.454,,,,,
body of stomach,,,,,,,98.50090909090908,,,,,
body of tongue,,,,,,,98.24333333333334,,,,,
body of uterus,,,,,,,98.608,,,,,
bone element,,,,,,,99.24,,,,,
bone marrow cell,,,,,,,99.21333333333332,,,,,
bronchial epithelial cell,,,,,,,98.03714285714288,,,,,
bronchus,,,,,,,97.96,,,,,
buccal mucosa cell,,,,,,,83.83,,,,,
calcaneal tendon,,,,,,,95.398,,,,,
cardia of stomach,,,,,,,97.96333333333332,,,,,
cardiac muscle of left ventricle,,85.07,,,,,,,,,,
cardiac muscle of right atrium,,,,,,,94.50375,,,,,
cauda epididymis,,,,,,,97.66333333333334,,,,,
caudate nucleus,,,,,,,98.20947368421052,,,,,
central nervous system,,,,,,,97.84,,,,,
cerebellar hemisphere,,,,,,,98.58545454545455,,,,,
cerebellar vermis,,,,,,,97.04,,,,,
cervix epithelium,,,,,,,97.955,,,,,
cervix squamous epithelium,,,,,,,97.75,,,,,
chorionic villus,,,,94.0,,,,,,,,
choroid plexus,88.91,,,,,,,,,,,
choroid plexus epithelium,,,,,,,95.74,,,,,
cingulate cortex,,,,,,,96.35,,,,,
colonic epithelium,,,,,,,93.26,,,,,
colonic mucosa,,,,,,,98.865,,,,,
conceptus,97.77,,,,,,,,,,,
connective tissue,,,,,,,97.53,,,,,
coronary artery,,,,,,,97.64,,,,,
corpus luteum,88.91999999999999,,,,,,,,,,,
cortical plate,,,,,,,98.915,,,,,
cranial nerve II,,,,,,,94.29,,,,,
cumulus cell,96.19,,,,,,,,,,,
decidua,,,,,,,97.99,,,,,
deltoid,,,,,,,96.165,,,,,
descending colon,96.43,,,,,,,,,,,
descending thoracic aorta,,,,,,,98.74,,,,,
digestive system secreted substance,95.6,,,,,,,,,,,
dorsal motor nucleus of vagus nerve,,,,,,,87.515,,,,,
dorsal root ganglion,,,,,,,94.64714285714284,,,,,
dorsal thalamus,96.07,,,,,,,,,,,
ectocervix,,,,,,,98.52,,,,,
embryonic head,,,,,98.47,,,,,,,
endocardial endothelium,,,,,,,,,,,,96.04
endocervix,,,,,,,98.26666666666668,,,,,
endometrium epithelium,,,,,,,98.79,,,,,
endothelial cell,,,,,,,98.82,,,,,
entorhinal cortex,,,,,,,95.19761904761906,,,,,
epididymis,,,,,,,,,,,,93.51
epithelial cell of pancreas,,,,,,,95.11,,,,,
epithelium of esophagus,,,,,,,99.14,,,,,
epithelium of mammary gland,,,,,,,95.21285714285716,,,,,
epithelium of nasopharynx,,,,,,,99.13,,,,,
esophagogastric junction muscularis propria,,,,,,,98.80727272727272,,,,,
esophagus mucosa,,,,,,,98.86272727272728,,,,,
esophagus squamous epithelium,,,,,,,99.29,,,,,
eye,,,,,,,98.57666666666668,,,,,
eyeball of camera-type eye,,,,,98.23,,,,,,,
fallopian tube,,,,,,,95.835,,,,,
female reproductive system,,,,,,,98.22,,,,,
floor plate of diencephalon,97.08,,,,,,,,,,,
forelimb bud,,,,,,,,,,,,99.5
fornix of vagina,94.47,,,,,,,,,,,
frontal lobe,,,,,,,97.945,,,,,
frontal pole,,,,,,,92.235,,,,,
fundus of stomach,,,,,,,98.33857142857144,,,,,
ganglionic eminence,,,,,,,99.59,,,,,
gastrocnemius,,,,,,,97.1953846153846,,,,,
germinal epithelium of ovary,,,,,,,99.31,,,,,
gingiva,,,,,,,98.565,,,,,
gingival epithelium,,,,,,,99.39,,,,,
globus pallidus,,,,,,,95.56,,,,,
head,,99.25333333333332,,,,,,,,,,
hindlimb bud,,,,,,,,,,,,99.54
hippocampal formation,,,,,,,,,,,,97.03
ileal mucosa,,,,,,,96.63,,,,,
ileocecal valve,97.05,,,,,,,,,,,
inferior olivary complex,,,,,,,89.10000000000001,,,,,
inferior vagus X ganglion,,,,,,,93.98,,,,,
infraspinatus muscle,92.845,,,,,,,,,,,
inner cell mass,,,,99.5,,,,,,,,
intercostal muscle,91.27,,,,,,,,,,,
intestine,,,,,,,98.575,,,,,
intramuscular adipose tissue,96.235,,,,,,,,,,,
islet of Langerhans,,,,,,,98.63722222222222,,,,,
isthmus of fallopian tube,93.825,,,,,,,,,,,
jejunal mucosa,,,,,,,97.97,,,,,
keratinocyte,,98.94,,,,,,,,,,
kidney epithelium,,,,,,,96.4,,,,,
laryngeal cartilage,88.055,,,,,,,,,,,
lateral globus pallidus,,,,,,,97.045,,,,,
lateral nuclear group of thalamus,,,,,,,96.965,,,,,
layer of synovial tissue,,,,,,,95.45444444444443,,,,,
left adrenal gland,,,,,,,97.45875,,,,,
left adrenal gland cortex,,,,,,,97.43,,,,,
left cardiac atrium,,96.62,,,,,,,,,,
left coronary artery,,,,,,,98.32,,,,,
left lobe of thyroid gland,,,,,,,97.46727272727274,,,,,
left ovary,,,,,,,98.556,,,,,
left testis,,,,,,,99.03833333333334,,,,,
left uterine tube,,,,,,,98.6,,,,,
left ventricle myocardium,,,,,,,94.9575,,,,,
longissimus lumborum muscle,,,,,,,,,,,,95.87
longissimus muscle,90.81333333333332,,,,,,,,,,,
lower esophagus,,,,,,,98.625,,,,,
lower esophagus mucosa,,,,,,,98.63,,,,,
lower esophagus muscularis layer,,,,,,,98.7309090909091,,,,,
lower lobe of lung,,,,,,,97.3525,,,,,
male germ cell,,,,,,,96.73,,,,,
male germ line stem cell (sensu Vertebrata) in testis,,,,,,,97.18,,,,,
mammalian vulva,,,,,,,98.722,,,,,
mammary duct,,,,,,,96.97,,,,,
mammary gland fat,96.25,,,,,,,,,,,
medial globus pallidus,,,,,,,95.23,,,,,
metanephric glomerulus,,,,,,,94.19333333333331,,,,,
metanephros,,,,,,,99.375,,,,,
middle frontal gyrus,,,,,,,90.82,,,,,
middle temporal gyrus,,,,,,,97.426,,,,,
milk,93.96,,,,,,,,,,,
minor salivary gland,,,,,,,98.37,,,,,
mitral valve,,95.9,,,,,,,,,,
mononuclear cell,,,,,,,98.695,,,,,
mouth mucosa,,,,,,,98.4325,,,,,
mucosa of paranasal sinus,,,,,,,97.84,,,,,
mucosa of sigmoid colon,,,,,,,99.02,,,,,
mucosa of stomach,,,,,,,98.5,,,,,
mucosa of transverse colon,,,,,,,99.13,,,,,
muscle layer of sigmoid colon,,,,,,,98.9809090909091,,,,,
muscle of leg,,,,,,,96.84,,,,,
muscle organ,,,,,,,95.38,,,,,
myocardium,,,,,,,97.31375,,,,,
nasal cavity epithelium,,,,,,,98.52571428571429,,,,,
neocortex,,,,,,,99.13,,,,,
nephron tubule,,,,,,,97.00625,,,,,
nerve,,,,,,,97.42,,,,,
neurohypophysis,96.255,,,,,,,,,,,
neutrophil,84.73,,,,,,,,,,,
nipple,,,,,,,97.56333333333332,,,,,
nose,,96.95,,,,,,,,,,
nucleus accumbens,,,,,,,98.13642857142858,,,,,
omasum,97.07,,,,,,,,,,,
omentum,,,,,,,,,,,,95.245
oral cavity,,,,,,,99.095,,,,,
orbitofrontal cortex,,,,,,,97.01,,,,,
palpebral conjunctiva,,,,,,,99.44166666666666,,,,,
pancreatic ductal cell,,,,,,,84.61,,,,,
paraflocculus,,,,,,,91.1,,,,,
parenchyma of mammary gland,94.11,,,,,,,,,,,
parietal lobe,,,,,,,96.99666666666668,,,,,
parietal pleura,,,,,,,98.8675,,,,,
parotid gland,,,,,,,97.46125,,,,,
pericardium,,,,,,,97.03,,,,,
periodontal ligament,,,,,,,97.59,,,,,
peritoneum,,,,,,,97.92,,,,,
pharyngeal mucosa,,,,,,,98.77666666666666,,,,,
pharyngeal tonsil,98.88,,,,,,,,,,,
pigment epithelium of eye,92.845,,,,,,,,,,,
pigmented layer of retina,,,,,,,98.72,,,,,
pleura,,,,,,,98.77,,,,,
popliteal artery,,,,,,,98.38,,,,,
postcentral gyrus,,,,,,,97.35733333333332,,,,,
primordial germ cell in gonad,,,,,,,97.85,,,,,
psoas major muscle,,,,,,,,,,,,97.005
putamen,,,,,,,97.9375,,,,,
pylorus,,,,,,,98.87333333333332,,,,,
quadriceps femoris,,,,,,,95.147,,,,,
rectum,,,,,,,98.89,,,,,
rectus femoris,92.725,,,,,,,,,,,
renal glomerulus,,,,,,,96.4,,,,,
retropharyngeal lymph node,98.4,,,,,,,,,,,
right adrenal gland,,,,,,,97.684,,,,,
right adrenal gland cortex,,,,,,,97.76333333333332,,,,,
right atrium auricular region,,,,,,,97.50363636363636,,,,,
right cardiac atrium,,96.19,,,,,,,,,,
right coronary artery,,,,,,,97.92,,,,,
right frontal lobe,,,,,,,98.58666666666666,,,,,
right hemisphere of cerebellum,,,,,,,98.57555555555555,,,,,
right lobe of thyroid gland,,,,,,,97.23125,,,,,
right lung,,,,,,,98.64,,,,,
right ovary,,,,,,,98.604,,,,,
right testis,,,,,,,99.126,,,,,
right uterine tube,,,,,,,97.13,,,,,
rumen,94.984,,,,,,,,,,,
rumen epithelium,95.64666666666666,,,,,,,,,,,
rumen papilla,96.10666666666668,,,,,,,,,,,
ruminant reticulum,95.9,,,,,,,,,,,
saphenous vein,,,,,,,96.63666666666668,,,,,
scapular muscle,90.4,,,,,,,,,,,
secondary oocyte,,,,,,,75.75,,,,,
semen,98.31,,,,,,,,,,,
seminal vesicle,,,,,,,98.41,,,,,
semitendinosus,94.49333333333334,,,,,,,,,,,
sigmoid colon,,,,,,,98.9425,,,,,
skeletal muscle organ,,,,,,,96.795,,,,,
skeletal muscle tissue of biceps brachii,,,,,,,97.05,,,,,
skeletal muscle tissue of rectus abdominis,,,,,,,96.54,,,,,
skin of abdomen,,,,,,,98.371,,,,,
skin of hip,,,,,,,97.97,,,,,
skin of leg,,,,,,,98.19416666666666,,,,,
small intestine Peyer's patch,,,,,,,98.57090909090908,,,,,
sperm,,,,,,,97.83,,,,,
spiral colon,93.57,,,,,,,,,,,
squamous epithelium,,,,,,,98.56,,,,,
stromal cell of endometrium,,,,,,,98.84,,,,,
substantia nigra,,,,,,,96.50826086956522,,,,,
substantia nigra pars compacta,,,,,,,95.105,,,,,
substantia nigra pars reticulata,,,,,,,94.17,,,,,
subthalamic nucleus,,,,,,,94.5975,,,,,
superficial temporal artery,,,,,,,98.64,,,,,
superior surface of tongue,,,,,,,98.27333333333333,,,,,
superior vestibular nucleus,,,,,,,96.024,,,,,
supraspinatus muscle,89.57499999999999,,,,,,,,,,,
sural nerve,,,,,,,78.85666666666667,,,,,
surface of tongue,96.19,,,,,,,,,,,
synovial joint,,,,,,,98.065,,,,,
synovial membrane of synovial joint,,,,93.75,,,,,,,,
telencephalon,,,,,,,97.925,,,,,
temporal cortex,94.125,,,,,,,,,,,
tendon,,,,,,,95.238,,,,,
tendon of biceps brachii,,,,,,,95.55,,,,,
theca cell,96.28,,,,,,,,,,,
thoracic aorta,,,,,,,98.4,,,,,
thoracic mammary gland,,,,,,,97.446,,,,,
tibia,,,,,,,98.54,,,,,
tibial artery,,,,,,,98.40454545454546,,,,,
tibial nerve,,,,,,,96.1809090909091,,,,,
tibialis anterior,,,,,,,93.65,,,,,
tip of external ear,,,,,91.74,,,,,,,
tongue muscle,95.26,,,,,,,,,,,
tongue squamous epithelium,,,,,,,99.05,,,,,
trabecular bone tissue,,,,,,,99.355,,,,,
transverse colon,,,,,,,98.688,,,,,
trigeminal ganglion,,,,,,,96.02666666666666,,,,,
trophectoderm,,,,99.54,,,,,,,,
trophoblast,,,,97.40666666666668,,,,,,,,
type B pancreatic cell,,,,,,,97.42,,,,,
upper arm skin,,,,,,,97.94,,,,,
upper leg skin,,,,,,,98.3,,,,,
upper lobe of left lung,,,,,,,98.3925,,,,,
upper lobe of lung,,,,,,,97.7325,,,,,
ureter,96.31,,,,,,,,,,,
uterine horn,96.13,,,,,,,,,,,
uterine tube infundibulum,95.585,,,,,,,,,,,
vagina,,,,,,,95.50333333333332,,,,,
vas deferens,95.14,,,,,,,,,,,
vastus lateralis,,,,,,,96.09478260869564,,,,,
vena cava,,,,,,,97.73,,,,,
ventral tegmental area,,,,,,,95.11666666666667,,,,,
ventricular zone,,,,,,,99.66,,,,,
vermiform appendix,,,,,,,99.1225,,,,,
visceral pleura,,,,,,,99.055,,,,,
