tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa
adult mammalian kidney,49.72,80.08666666666666,53.74,54.325,83.38416666666667,64.68333333333334,55.379999999999995,58.32333333333333
prefrontal cortex,65.47,59.64,63.0,55.1,82.55250000000001,72.565,66.33727272727273,64.08
testis,59.833333333333336,78.12,48.739999999999995,32.73,79.30230769230769,55.38333333333333,70.97,55.303333333333335
cerebellum,74.18,82.5225,78.674,,88.37928571428571,73.71000000000001,68.9675,77.07333333333334
cerebral cortex,71.295,61.05,,,84.42333333333333,65.47,65.82,70.55
frontal cortex,68.27666666666666,64.7,,,81.82631578947368,53.02,68.20500000000001,61.730000000000004
heart,62.845,81.18666666666667,,,84.95133333333334,65.606,66.804,72.93166666666667
liver,47.188,45.949999999999996,,68.08,82.71000000000001,,56.083333333333336,52.739999999999995
skeletal muscle tissue,72.47999999999999,51.025,,,81.98125,60.66,51.91,53.69
adipose tissue,62.291666666666664,73.39,,,71.82846153846154,51.86,,60.434999999999995
brain,75.24,64.945,,63.53,82.24428571428572,69.3725,,
colon,55.64,56.510000000000005,,,82.135,54.61,52.83,
kidney,50.04,66.79,,,87.33,61.295,,64.16
lung,49.98857142857143,81.59,,,79.4875,41.2,,51.87
multicellular organism,65.59,,54.82,,79.73,55.92666666666667,61.38,
pituitary gland,79.95166666666667,65.38000000000001,,,86.28076923076924,,54.01,77.555
spleen,50.048,46.21666666666667,,39.84,71.56666666666666,,,52.495000000000005
zone of skin,64.92666666666666,48.56999999999999,65.74000000000001,30.5,78.57000000000001,,,
Ammon's horn,82.28,,,,77.00818181818182,51.52,,63.51
bone marrow,65.765,60.51,55.45,,74.945,,,
cortex of kidney,55.48,,,,84.02799999999999,60.86,60.599999999999994,
hypothalamus,63.41,65.64,,,81.58200000000001,,,70.63499999999999
muscle tissue,51.524,,44.774,,81.35,,,58.62
ovary,82.1625,54.44,,,81.77363636363636,,,61.06999999999999
uterus,79.22333333333334,,,77.44,85.525,,,70.19
adrenal gland,61.28,67.655,,,73.89500000000001,,,
blood,49.92,,40.2775,,70.8588,,,
cerebellar cortex,,,,,88.08500000000001,77.35000000000001,73.52000000000001,
dorsolateral prefrontal cortex,,,,,79.24666666666667,68.19999999999999,64.155,
embryo,,,97.31,87.5,97.28333333333335,,,
