tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes,sus_scrofa
endometrium,74.25333333333333,,71.65,,90.046875,,,
heart left ventricle,,63.59666666666667,,,86.19470588235293,,,68.28999999999999
hindlimb stylopod muscle,,,,,84.91499999999999,56.24,60.275,
jejunum,53.76,64.07,,,82.785,,,
lymph node,51.94,52.7,,,80.63166666666666,,,
mammary gland,65.6625,55.355,,,81.56,,,
metanephros cortex,55.41,54.68,,,83.965,,,
occipital lobe,64.13,69.41,,,82.8325,,,
olfactory segment of nasal mucosa,75.185,,,,79.41,64.8,,
oviduct epithelium,79.51,,49.16,,78.77333333333333,,,
placenta,47.53,89.7,,,74.975,,,
pons,67.185,,,,84.59,,,58.81999999999999
primary visual cortex,,,,,78.85000000000001,69.78,63.98,
renal medulla,56.875,53.56,,,84.38666666666667,,,
retina,77.36,58.91,68.08,,,,,
saliva-secreting gland,68.56,56.61,,,78.47,,,
spinal cord,,55.99,58.9325,,82.55428571428571,,,
stomach,,57.224999999999994,,,84.62083333333334,,,61.81
subcutaneous adipose tissue,56.42909090909091,,,,74.99153846153845,,,62.55666666666667
superior frontal gyrus,,,,,78.79217391304348,68.37,70.60888888888888,
temporal lobe,,69.94,,,81.40166666666666,,46.6,
thymus,72.1,58.64,,,86.695,,,
thyroid gland,66.91,74.49,,,81.2,,,
tongue,56.04333333333333,53.32,,,85.4,,,
urinary bladder,53.22,68.83,,,84.40875,,,
adenohypophysis,84.005,,,,86.17,,,
adrenal cortex,,59.379999999999995,,,71.43,,,
amygdala,,,,,81.30181818181818,,,63.19
aorta,55.75,,,,76.685,,,
brainstem,,,61.64,,,,,71.99333333333333
caecum,58.35666666666666,,,,88.485,,,
caput epididymis,77.54,,,,79.87,,,
cardiac atrium,68.19,,,,84.57,,,
cardiac ventricle,57.88,,,,86.91000000000001,,,
cartilage tissue,,54.64,,,78.05,,,
corpus callosum,,,,,79.18777777777778,,,52.85
corpus epididymis,79.02,,,,80.31,,,
dorsal plus ventral thalamus,,,,,80.99,,,61.315
duodenum,53.3675,,,,79.68,,,
epithelium of bronchus,,,54.39,,76.11384615384615,,,
esophagus,62.129999999999995,,,,84.90142857142857,,,
forebrain,,,,,93.65,,,83.64
gall bladder,70.79499999999999,,,,81.73,,,
gluteus medius,59.260000000000005,,53.905,,,,,
granulosa cell,76.93,,,,,,,87.74
heart right ventricle,,65.54,,,83.14166666666667,,,
large intestine,,62.53,,,82.035,,,
leukocyte,52.21875,,,,80.73,,,
longissimus thoracis muscle,51.98375,,,,,,,70.56357142857142
material anatomical entity,,,,,79.73,,,64.955
medulla oblongata,,,,,82.645,,,61.595
midbrain,70.86,,,,82.3,,,
myometrium,89.61,,,,84.0025,,,
occipital cortex,,66.81,,,,,,62.38333333333333
omental fat pad,49.985,,,,76.75454545454545,,,
pancreas,,60.05666666666667,,,82.655,,,
prostate gland,68.23,,,,84.45444444444445,,,
right lobe of liver,,,,,81.16111111111111,,,44.7
semimembranosus muscle,51.70333333333334,,,,,,,62.42
small intestine,,67.215,,,80.875,,,
smooth muscle tissue,,50.43,,,86.44,,,
spermatid,49.67,,,,,46.83,,
spermatocyte,53.07,,,,,47.92,,
trachea,54.195,,,,82.41,,,
urethra,70.28999999999999,,,,80.37333333333333,,,
uterine cervix,88.63,,,,86.732,,,
Brodmann (1909) area 10,,,,,,,55.76,
Brodmann (1909) area 23,,,,,78.598,,,
Brodmann (1909) area 46,,,,,76.52666666666667,,,
Brodmann (1909) area 9,,,,,80.7125,,,
C1 segment of cervical spinal cord,,,,,81.49888888888889,,,
abdominal lymph node,46.85,,,,,,,
abomasum,53.196666666666665,,,,,,,
adipose tissue of abdominal region,,,,,73.80833333333334,,,
adrenal tissue,,,,,81.66666666666667,,,
adult organism,,,,,76.85,,,
amniotic fluid,,,,,77.81,,,
ampulla of uterine tube,91.86,,,,,,,
anatomical system,,,,,80.0,,,
anterior cingulate cortex,,,,,80.60888888888888,,,
anterior segment of eyeball,69.46,,,,,,,
apex of heart,,,,,85.87,,,
articular cartilage of joint,,,68.32,,,,,
ascending aorta,,,,,76.401,,,
ascending colon,58.3,,,,,,,
biceps brachii,,,,,79.015,,,
biceps femoris,60.345,,,,,,,
body of pancreas,,,,,79.12100000000001,,,
body of stomach,,,,,80.75272727272727,,,
body of tongue,,,,,86.12666666666667,,,
body of uterus,,,,,85.19,,,
bronchial epithelial cell,,,,,75.03428571428572,,,
bronchus,,,,,76.405,,,
calcaneal tendon,,,,,72.614,,,
cardia of stomach,,,,,84.2,,,
cardiac muscle of left ventricle,,59.78,,,,,,
cardiac muscle of right atrium,,,,,84.8675,,,
cauda epididymis,,,,,80.24000000000001,,,
caudate nucleus,,,,,80.25176470588235,,,
cerebellar hemisphere,,,,,88.21818181818182,,,
cerebellar vermis,,,,,90.25,,,
cervix epithelium,,,,,86.26599999999999,,,
chorionic villus,,,52.05,,,,,
colonic epithelium,,,,,94.04,,,
colonic mucosa,,,,,81.97,,,
conceptus,56.06,,,,,,,
connective tissue,,,,,72.34,,,
coronary artery,,,,,79.92500000000001,,,
corpus luteum,59.11,,,,,,,
cortical plate,,,,,97.975,,,
cumulus cell,63.01,,,,,,,
decidua,,,,,77.63,,,
deltoid,,,,,78.59,,,
descending colon,52.92666666666667,,,,,,,
descending thoracic aorta,,,,,75.90333333333332,,,
diaphragm,74.85,,,,,,,
digestive system secreted substance,67.71,,,,,,,
dorsal motor nucleus of vagus nerve,,,,,80.13,,,
dorsal root ganglion,,,,,81.14,,,
dorsal thalamus,79.38,,,,,,,
ectocervix,,,,,85.598,,,
embryonic head,,,,93.82,,,,
endocardial endothelium,,,,,,,,49.5
endocervix,,,,,84.19,,,
entorhinal cortex,,,,,80.48400000000001,,,
epididymis,,,,,,,,59.03
epithelium of esophagus,,,,,88.21,,,
epithelium of mammary gland,,,,,86.66666666666667,,,
epithelium of nasopharynx,,,,,84.44,,,
esophagogastric junction muscularis propria,,,,,82.13363636363637,,,
esophagus mucosa,,,,,86.26363636363637,,,
esophagus squamous epithelium,,,,,87.94,,,
eyeball of camera-type eye,,,,70.4,,,,
fallopian tube,,,,,81.815,,,
female reproductive system,,,,,82.99,,,
fibroblast,,,,,,,49.445,
floor plate of diencephalon,85.63,,,,,,,
forelimb bud,,,,,,,,98.34
fornix of vagina,75.83,,,,,,,
fundus of stomach,,,,,81.28428571428572,,,
ganglionic eminence,,,,,97.33500000000001,,,
gastrocnemius,,,,,80.2823076923077,,,
germinal epithelium of ovary,,,,,86.19,,,
gingiva,,,,,82.395,,,
gingival epithelium,,,,,90.96,,,
gluteal muscle,52.7,,,,,,,
granulocyte,,,,,75.59,,,
hair follicle,,42.56,,,,,,
head,,95.19333333333333,,,,,,
hindlimb bud,,,,,,,,98.57
hippocampal formation,,,,,,,,55.89
ileocecal valve,53.59,,,,,,,
ileum,53.084,,,,,,,
inferior olivary complex,,,,,79.315,,,
inferior vagus X ganglion,,,,,80.22,,,
infraspinatus muscle,56.724999999999994,,,,,,,
inner cell mass,,,63.334999999999994,,,,,
intercostal muscle,55.38,,,,,,,
intestine,,,,,88.06,,,
intramuscular adipose tissue,48.32,,,,,,,
islet of Langerhans,,,,,87.50666666666666,,,
isthmus of fallopian tube,81.26,,,,,,,
jejunal mucosa,,,,,75.79,,,
keratinocyte,,39.13,,,,,,
kidney epithelium,,,,,81.61,,,
laryngeal cartilage,66.16499999999999,,,,,,,
lateral nuclear group of thalamus,,,,,83.7,,,
layer of synovial tissue,,,,,78.23,,,
left adrenal gland,,,,,70.05,,,
left adrenal gland cortex,,,,,68.86375,,,
left cardiac atrium,,64.84,,,,,,
left coronary artery,,,,,77.62555555555555,,,
left lobe of thyroid gland,,,,,80.56181818181818,,,
left ovary,,,,,84.712,,,
left testis,,,,,80.99,,,
left uterine tube,,,,,84.375,,,
longissimus lumborum muscle,,,,,,,,64.55
longissimus muscle,58.203333333333326,,,,,,,
lower esophagus,,,,,82.97,,,
lower esophagus mucosa,,,,,86.75,,,
lower esophagus muscularis layer,,,,,83.50181818181818,,,
male germ line stem cell (sensu Vertebrata) in testis,,,,,79.89,,,
mammalian vulva,,,,,82.212,,,
mammary duct,,,,,83.24,,,
mammary gland fat,73.52,,,,,,,
mesenteric lymph node,51.845,,,,,,,
metanephric glomerulus,,,,,81.88285714285715,,,
metanephros,,,,,90.25,,,
middle temporal gyrus,,,,,77.61666666666667,,,
milk,52.7,,,,,,,
minor salivary gland,,,,,79.069,,,
mitral valve,,59.03,,,,,,
monocyte,,,,,71.64,,,
mononuclear cell,,,,,71.62,,,
mouth mucosa,,,,,79.2575,,,
mucosa of sigmoid colon,,,,,83.23,,,
mucosa of stomach,,,,,74.05,,,
mucosa of transverse colon,,,,,86.79,,,
mucosa of urinary bladder,,53.06,,,,,,
muscle layer of sigmoid colon,,,,,82.58454545454545,,,
muscle of leg,,,,,81.14500000000001,,,
myocardium,,,,,84.0125,,,
nasal cavity epithelium,,,,,80.24,,,
nasal cavity mucosa,67.75,,,,,,,
nasopharynx,48.34,,,,,,,
neocortex,,,,,94.45,,,
nephron tubule,,,,,81.81666666666666,,,
neurohypophysis,84.92500000000001,,,,,,,
nipple,,,,,83.99666666666667,,,
nose,,39.9,,,,,,
nucleus accumbens,,,,,82.30230769230769,,,
olfactory bulb,,76.67,,,,,,
omasum,69.64,,,,,,,
omentum,,,,,,,,60.925
oocyte,,,,,79.61,,,
oral cavity,,,,,79.355,,,
orbitofrontal cortex,,,,,75.23,,,
palpebral conjunctiva,,,,,79.68166666666667,,,
parenchyma of mammary gland,74.37,,,,,,,
parietal lobe,,,,,79.456,,,
parietal pleura,,,,,77.5475,,,
penis,,,,,81.41,,,
peritoneum,,,,,77.02,,,
pharyngeal mucosa,,,,,85.50333333333333,,,
pharyngeal tonsil,45.7,,,,,,,
pigment epithelium of eye,75.475,,,,,,,
pigmented layer of retina,,,,,84.12333333333333,,,
pleura,,,,,77.31,,,
popliteal artery,,,,,76.68,,,
postcentral gyrus,,,,,77.78933333333333,,,
primordial germ cell in gonad,,,,,85.6,,,
psoas major muscle,,,,,,,,56.584999999999994
putamen,,,,,81.08166666666666,,,
pylorus,,,,,86.43666666666667,,,
quadriceps femoris,,,,,80.91,,,
rectum,,,,,82.81,,,
rectus femoris,53.25,,,,,,,
renal glomerulus,,,,,79.19,,,
retropharyngeal lymph node,43.91,,,,,,,
right adrenal gland,,,,,70.434,,,
right adrenal gland cortex,,,,,67.66666666666667,,,
right atrium auricular region,,,,,83.00636363636364,,,
right cardiac atrium,,64.42,,,,,,
right coronary artery,,,,,79.21000000000001,,,
right frontal lobe,,,,,80.87777777777778,,,
right hemisphere of cerebellum,,,,,87.63,,,
right lobe of thyroid gland,,,,,81.80625,,,
right lung,,,,,73.5,,,
right ovary,,,,,84.614,,,
right testis,,,,,83.152,,,
right uterine tube,,,,,85.09,,,
rumen,63.036,,,,,,,
rumen epithelium,53.56666666666666,,,,,,,
rumen papilla,62.80666666666667,,,,,,,
ruminant reticulum,63.055,,,,,,,
saphenous vein,,,,,78.85,,,
scapular muscle,53.04,,,,,,,
secondary oocyte,,,,,80.51,,,
seminal vesicle,,,,,73.99,,,
semitendinosus,50.89333333333334,,,,,,,
skin of abdomen,,,,,81.572,,,
skin of leg,,,,,78.91083333333333,,,
small intestine Peyer's patch,,,,,80.00909090909092,,,
spiral colon,47.27,,,,,,,
squamous epithelium,,,,,94.55333333333333,,,
stromal cell of endometrium,,,,,74.97,,,
substantia nigra,,,,,79.65375,,,
substantia nigra pars compacta,,,,,80.95,,,
subthalamic nucleus,,,,,84.345,,,
superior surface of tongue,,,,,84.63333333333334,,,
superior vestibular nucleus,,,,,81.93333333333334,,,
supraspinatus muscle,54.629999999999995,,,,,,,
sural nerve,,,,,78.54,,,
surface of tongue,61.205,,,,,,,
synovial joint,,,,,76.3,,,
synovial membrane of synovial joint,,,64.47,,,,,
telencephalon,,,,,80.67,,,
temporal cortex,73.86000000000001,,,,,,,
tendon,,,,,66.11,,,
theca cell,83.13,,,,,,,
thoracic aorta,,,,,76.43666666666667,,,
thoracic mammary gland,,,,,81.54866666666666,,,
tibia,,,,,81.66,,,
tibial artery,,,,,77.02818181818182,,,
tibial nerve,,,,,72.42636363636365,,,
tip of external ear,,,,28.38,,,,
tongue muscle,58.725,,,,,,,
tongue squamous epithelium,,,,,95.0,,,
tonsil,,,,,84.95333333333333,,,
transverse colon,,,,,81.09400000000001,,,
triceps brachii,,,45.18,,,,,
trigeminal ganglion,,,,,81.814,,,
trophectoderm,,,58.715,,,,,
trophoblast,,,70.3,,,,,
upper arm skin,,,,,82.07333333333334,,,
upper lobe of left lung,,,,,76.28125,,,
ureter,61.765,,,,,,,
uterine horn,78.8,,,,,,,
uterine tube infundibulum,87.98,,,,,,,
vagina,,,,,72.13,,,
vas deferens,84.59,,,,,,,
vastus lateralis,,,,,82.105,,,
ventral tegmental area,,,,,82.562,,,
ventricular zone,,,,,96.81,,,
vermiform appendix,,,,,77.6375,,,
visceral pleura,,,,,79.1325,,,
