gene_name,species_dir,species_name,ensembl_gene_id,tissue,cell_mean_score,cell_std_score,cell_n,cell_status,map_label,class,expression_score,agg_expression_score
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,fornix of vagina,75.83,0.0,2,present_gold,MACROH2A2:VGNC:55987,variant,75.83,75.83
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,frontal cortex,68.27666666666666,3.681607438787212,3,present_gold,MACROH2A2:VGNC:55987,variant,68.27666666666666,68.27666666666666
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,gall bladder,70.79499999999999,4.1224325343175705,2,present_gold,MACROH2A2:VGNC:55987,variant,70.79499999999999,70.79499999999999
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,gluteal muscle,52.7,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,52.7,52.7
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,gluteus medius,59.260000000000005,0.0282842712474612,2,present_gold,MACROH2A2:VGNC:55987,variant,59.260000000000005,59.260000000000005
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,granulosa cell,76.93,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,76.93,76.93
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,heart,62.845,4.465754882062683,4,present_gold,MACROH2A2:VGNC:55987,variant,62.845,62.845
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,hypothalamus,63.41,5.537336905047407,3,present_gold,MACROH2A2:VGNC:55987,variant,63.41,63.41
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,ileocecal valve,53.59,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,53.59,53.59
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,ileum,53.084,10.232293486799527,5,present_gold,MACROH2A2:VGNC:55987,variant,53.084,53.084
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,infraspinatus muscle,56.725,0.007071067811864,2,present_gold,MACROH2A2:VGNC:55987,variant,56.725,56.725
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,intercostal muscle,55.38,0.0,1,present_gold,MACROH2A2:VGNC:55987,variant,55.38,55.38
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,intramuscular adipose tissue,48.32,0.7778174593051983,2,present_gold,MACROH2A2:VGNC:55987,variant,48.32,48.32
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,isthmus of fallopian tube,81.26,0.0,2,present_gold,MACROH2A2:VGNC:55987,variant,81.26,81.26
MACROH2A2,bos_taurus,Bos taurus,ENSBTAG00000001163,jejunum,53.76,4.366104289485844,4,present_gold,MACROH2A2:VGNC:55987,variant,53.76,53.76
