Gene ID	Gene name	Anatomical entity name	Expression	Call quality	Expression score
ENSSSCG00000009178	H2AFZ	frontal cortex	present	gold quality	95.32
ENSSSCG00000009178	H2AFZ	frontal cortex	present	gold quality	94.5
ENSSSCG00000009178	H2AFZ	frontal cortex	present	gold quality	96.7
ENSSSCG00000009178	H2AFZ	frontal cortex	present	gold quality	96.86
ENSSSCG00000009178	H2AFZ	frontal cortex	present	gold quality	94.13
ENSSSCG00000009178	H2AFZ	amygdala	present	gold quality	97.65
ENSSSCG00000009178	H2AFZ	amygdala	present	gold quality	94.84
ENSSSCG00000009178	H2AFZ	forebrain	present	gold quality	97.83
ENSSSCG00000009178	H2AFZ	medulla oblongata	present	gold quality	93.4
ENSSSCG00000009178	H2AFZ	medulla oblongata	present	gold quality	95.49
ENSSSCG00000009178	H2AFZ	dorsal plus ventral thalamus	present	gold quality	96.1
ENSSSCG00000009178	H2AFZ	dorsal plus ventral thalamus	present	gold quality	91.5
ENSSSCG00000009178	H2AFZ	hypothalamus	present	gold quality	94.44
ENSSSCG00000009178	H2AFZ	hypothalamus	present	gold quality	97.7
ENSSSCG00000009178	H2AFZ	Ammon's horn	present	gold quality	97.19
ENSSSCG00000009178	H2AFZ	cerebellum	present	gold quality	97.18
ENSSSCG00000009178	H2AFZ	cerebellum	present	gold quality	96.79
ENSSSCG00000009178	H2AFZ	cerebellum	present	gold quality	95.52
ENSSSCG00000009178	H2AFZ	lung	present	gold quality	92.89
ENSSSCG00000009178	H2AFZ	lung	present	gold quality	96.88
ENSSSCG00000009178	H2AFZ	lung	present	gold quality	97.27
ENSSSCG00000009178	H2AFZ	lung	present	gold quality	88.31
ENSSSCG00000009178	H2AFZ	heart left ventricle	present	gold quality	88.87
ENSSSCG00000009178	H2AFZ	heart left ventricle	present	gold quality	86.04
ENSSSCG00000009178	H2AFZ	spleen	present	gold quality	99.08
ENSSSCG00000009178	H2AFZ	spleen	present	gold quality	94.61
ENSSSCG00000009178	H2AFZ	spleen	present	gold quality	97.74
ENSSSCG00000009178	H2AFZ	spleen	present	gold quality	98.36
ENSSSCG00000009178	H2AFZ	spleen	present	gold quality	88.07
ENSSSCG00000009178	H2AFZ	spleen	present	gold quality	97.96
ENSSSCG00000009178	H2AFZ	spleen	present	gold quality	98.15
ENSSSCG00000009178	H2AFZ	liver	present	gold quality	95.74
ENSSSCG00000009178	H2AFZ	liver	present	gold quality	92.05
ENSSSCG00000009178	H2AFZ	liver	present	gold quality	93.01
ENSSSCG00000009178	H2AFZ	liver	present	gold quality	92.28
ENSSSCG00000009178	H2AFZ	liver	present	gold quality	92.12
ENSSSCG00000009178	H2AFZ	liver	present	gold quality	84.73
ENSSSCG00000009178	H2AFZ	kidney	present	gold quality	96.81
ENSSSCG00000009178	H2AFZ	duodenum	present	gold quality	97.36
ENSSSCG00000009178	H2AFZ	duodenum	present	gold quality	97.77
ENSSSCG00000009178	H2AFZ	ileum	present	gold quality	98.55
ENSSSCG00000009178	H2AFZ	ileum	present	gold quality	99.06
ENSSSCG00000009178	H2AFZ	subcutaneous adipose tissue	present	gold quality	96.49
ENSSSCG00000009178	H2AFZ	subcutaneous adipose tissue	present	gold quality	92.95
ENSSSCG00000009178	H2AFZ	subcutaneous adipose tissue	present	gold quality	94.78
ENSSSCG00000009178	H2AFZ	brainstem	present	gold quality	95.72
ENSSSCG00000009178	H2AFZ	brainstem	present	gold quality	94.47
ENSSSCG00000009178	H2AFZ	brainstem	present	gold quality	94.05
ENSSSCG00000009178	H2AFZ	corpus callosum	present	gold quality	91.08
ENSSSCG00000009178	H2AFZ	corpus callosum	present	gold quality	96.89
ENSSSCG00000009178	H2AFZ	tonsil	present	gold quality	98.69
ENSSSCG00000009178	H2AFZ	muscle tissue	present	gold quality	85.17
ENSSSCG00000009178	H2AFZ	muscle tissue	present	gold quality	89.5
ENSSSCG00000009178	H2AFZ	hippocampal formation	present	gold quality	98.08
ENSSSCG00000009178	H2AFZ	hippocampal formation	present	gold quality	95.98
ENSSSCG00000009178	H2AFZ	mesenteric lymph node	present	gold quality	98.11
ENSSSCG00000009178	H2AFZ	mesenteric lymph node	present	gold quality	98.64
ENSSSCG00000009178	H2AFZ	omentum	present	gold quality	94.94
ENSSSCG00000009178	H2AFZ	omentum	present	gold quality	95.55
ENSSSCG00000009178	H2AFZ	endocardial endothelium	present	gold quality	96.04
ENSSSCG00000009178	H2AFZ	forelimb bud	present	gold quality	99.5
ENSSSCG00000009178	H2AFZ	hindlimb bud	present	gold quality	99.54
ENSSSCG00000009178	H2AFZ	metanephros cortex	present	gold quality	93.77
ENSSSCG00000009178	H2AFZ	metanephros cortex	present	gold quality	93.78
ENSSSCG00000009178	H2AFZ	longissimus lumborum muscle	present	gold quality	95.87
ENSSSCG00000009178	H2AFZ	occipital cortex	present	gold quality	96.71
ENSSSCG00000009178	H2AFZ	occipital cortex	present	gold quality	95.22
ENSSSCG00000009178	H2AFZ	occipital cortex	present	gold quality	97.45
ENSSSCG00000014307	MACROH2A1	oocyte	present	gold quality	85.94
ENSSSCG00000014307	MACROH2A1	granulosa cell	present	gold quality	96.94
ENSSSCG00000014307	MACROH2A1	pituitary gland	present	gold quality	93.32
ENSSSCG00000014307	MACROH2A1	pituitary gland	present	gold quality	92.91
ENSSSCG00000014307	MACROH2A1	lymph node	present	gold quality	96.53
ENSSSCG00000014307	MACROH2A1	adult mammalian kidney	present	gold quality	96.48
ENSSSCG00000014307	MACROH2A1	adult mammalian kidney	present	gold quality	94.63
ENSSSCG00000014307	MACROH2A1	adult mammalian kidney	present	gold quality	94.81
ENSSSCG00000014307	MACROH2A1	adult mammalian kidney	present	gold quality	89.45
ENSSSCG00000014307	MACROH2A1	blood	present	gold quality	96.23
ENSSSCG00000014307	MACROH2A1	blood	present	gold quality	96.0
ENSSSCG00000014307	MACROH2A1	blood	present	gold quality	96.56
ENSSSCG00000014307	MACROH2A1	prefrontal cortex	present	gold quality	95.18
ENSSSCG00000014307	MACROH2A1	material anatomical entity	present	gold quality	93.11
ENSSSCG00000014307	MACROH2A1	material anatomical entity	present	gold quality	93.21
ENSSSCG00000014307	MACROH2A1	testis	present	gold quality	84.25
ENSSSCG00000014307	MACROH2A1	testis	present	gold quality	82.37
ENSSSCG00000014307	MACROH2A1	testis	present	gold quality	85.2
ENSSSCG00000014307	MACROH2A1	stomach	present	gold quality	89.72
ENSSSCG00000014307	MACROH2A1	stomach	present	gold quality	89.08
ENSSSCG00000014307	MACROH2A1	heart	present	gold quality	96.51
ENSSSCG00000014307	MACROH2A1	heart	present	gold quality	97.91
ENSSSCG00000014307	MACROH2A1	heart	present	gold quality	94.72
ENSSSCG00000014307	MACROH2A1	heart	present	gold quality	93.71
ENSSSCG00000014307	MACROH2A1	heart	present	gold quality	96.25
ENSSSCG00000014307	MACROH2A1	heart	present	gold quality	96.77
ENSSSCG00000014307	MACROH2A1	cerebral cortex	present	gold quality	91.25
ENSSSCG00000014307	MACROH2A1	pons	present	gold quality	91.48
ENSSSCG00000014307	MACROH2A1	pons	present	gold quality	94.03
ENSSSCG00000014307	MACROH2A1	penis	present	gold quality	95.38
ENSSSCG00000014307	MACROH2A1	ovary	present	gold quality	96.0
ENSSSCG00000014307	MACROH2A1	ovary	present	gold quality	96.29
ENSSSCG00000014307	MACROH2A1	ovary	present	gold quality	93.29
ENSSSCG00000014307	MACROH2A1	uterus	present	gold quality	96.99
ENSSSCG00000014307	MACROH2A1	uterus	present	gold quality	97.38
ENSSSCG00000014307	MACROH2A1	uterus	present	gold quality	93.78
ENSSSCG00000014307	MACROH2A1	adipose tissue	present	gold quality	93.18
ENSSSCG00000014307	MACROH2A1	adipose tissue	present	gold quality	90.47
ENSSSCG00000014307	MACROH2A1	right lobe of liver	present	gold quality	91.33
ENSSSCG00000014307	MACROH2A1	right lobe of liver	present	gold quality	91.34
ENSSSCG00000014307	MACROH2A1	skeletal muscle tissue	present	gold quality	91.74
ENSSSCG00000014307	MACROH2A1	skeletal muscle tissue	present	gold quality	89.45
