axis	anatomical_entity_letter	anatomical_entity_name
OY	A	adipose tissue
OY	B	adult mammalian kidney
OY	C	cerebellum
OY	D	cerebral cortex
OY	E	colon
OY	F	frontal cortex
OY	G	heart
OY	H	kidney
OY	I	liver
OY	J	lung
OY	K	prefrontal cortex
OY	L	skeletal muscle tissue
OY	M	spleen
OY	N	testis
