axis	gene_number	gene_name	gene_class	canonical_label
OY	4	H2AJ	variant	H2AJ:HGNC:14456
OY	5	H2AZ1	variant	H2AZ1:HGNC:4741
OY	6	MACROH2A2	variant	MACROH2A2:HGNC:14453
