species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	selected_values_csv	n_species	mean_score	std_score	min_score	max_score	range_score	error_bar_low	error_bar_high	plot_order
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	spleen	H2AJ:spleen	variant	H2AJ:HGNC:14456	4	M	4:M	95.636667,95.172000,90.493333,90.095000,85.764286	5	91.43225714285714	4.076103248899814	85.76428571428572	95.63666666666668	9.872380952380963	87.35615389395733	95.50836039175697	13
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	testis	H2AJ:testis	variant	H2AJ:HGNC:14456	4	N	4:N	91.194615,77.035000,61.297778,99.533333,72.000000	5	80.2121452991453	15.241471694280504	61.29777777777778	99.53333333333336	38.23555555555558	64.9706736048648	95.4536169934258	14
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AZ1	adipose tissue	H2AZ1:adipose tissue	variant	H2AZ1:HGNC:4741	5	A	5:A	97.640000,93.181667,96.260000,94.660000,92.160000	5	94.78033333333332	2.2250544312942586	92.16	97.64	5.480000000000004	92.55527890203908	97.0053877646276	15
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AZ1	adult mammalian kidney	H2AZ1:adult mammalian kidney	variant	H2AZ1:HGNC:4741	5	B	5:B	96.835000,93.482500,98.773333,94.130000,90.585000	5	94.76116666666664	3.1572137197570607	90.585	98.77333333333333	8.188333333333333	91.6039529469096	97.91838038642372	16
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AZ1	cerebellum	H2AZ1:cerebellum	variant	H2AZ1:HGNC:4741	5	C	5:C	98.072353,94.986667,97.745000,98.546000,96.496667	5	97.16933725490196	1.4368856823453875	94.98666666666668	98.546	3.559333333333328	95.73245157255656	98.60622293724737	17
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AZ1	cerebral cortex	H2AZ1:cerebral cortex	variant	H2AZ1:HGNC:4741	5	D	5:D	98.171000,95.795000,97.380000,99.100000,96.710000	5	97.4312	1.2778985483988934	95.795	99.1	3.3049999999999926	96.1533014516011	98.70909854839888	18
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AZ1	colon	H2AZ1:colon	variant	H2AZ1:HGNC:4741	5	E	5:E	98.659444,95.350000,97.705000,98.560000,97.760000	5	97.60688888888888	1.3363111769825184	95.35	98.65944444444445	3.309444444444452	96.27057771190636	98.9432000658714	19
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AZ1	frontal cortex	H2AZ1:frontal cortex	variant	H2AZ1:HGNC:4741	5	F	5:F	97.528077,96.436667,97.320000,97.200000,95.657143	5	96.8283772893773	0.7737252763813899	95.65714285714286	97.52807692307692	1.8709340659340652	96.05465201299592	97.60210256575868	20
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AZ1	heart	H2AZ1:heart	variant	H2AZ1:HGNC:4741	5	G	5:G	97.576250,90.385000,97.856667,93.706000,88.376667	5	93.58011666666668	4.229611996093736	88.37666666666667	97.85666666666668	9.480000000000018	89.35050467057293	97.8097286627604	21
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AZ1	kidney	H2AZ1:kidney	variant	H2AZ1:HGNC:4741	5	H	5:H	98.246667,95.090000,97.290000,95.610000,96.810000	5	96.60933333333334	1.2739187136112349	95.09	98.24666666666668	3.1566666666666805	95.3354146197221	97.88325204694458	22
