species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	species_order	species_dir	species_name	cell_mean_score	cell_std_score	cell_n	cell_status	expression_score	plot_order
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	cerebral cortex	H2AJ:cerebral cortex	variant	H2AJ:HGNC:14456	4	D	4:D	2	bos_taurus	Bos taurus	90.62	0.1838477631085059	2	present_gold	90.62	4
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	cerebral cortex	H2AJ:cerebral cortex	variant	H2AJ:HGNC:14456	4	D	4:D	3	canis_lupus_familiaris	Canis lupus familiaris	83.14500000000001	1.053589103967952	2	present_gold	83.14500000000001	4
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	cerebral cortex	H2AJ:cerebral cortex	variant	H2AJ:HGNC:14456	4	D	4:D	4	macaca_mulatta	Macaca mulatta	67.2	0.0	1	present_gold	67.2	4
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	cerebral cortex	H2AJ:cerebral cortex	variant	H2AJ:HGNC:14456	4	D	4:D	5	sus_scrofa	Sus scrofa	72.66	0.0	1	present_gold	72.66	4
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	colon	H2AJ:colon	variant	H2AJ:HGNC:14456	4	E	4:E	1	human	Homo sapiens	94.08176470588236	5.216568837960107	17	present_gold	94.08176470588236	5
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	colon	H2AJ:colon	variant	H2AJ:HGNC:14456	4	E	4:E	2	bos_taurus	Bos taurus	93.29	0.0	1	present_gold	93.29	5
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	colon	H2AJ:colon	variant	H2AJ:HGNC:14456	4	E	4:E	3	canis_lupus_familiaris	Canis lupus familiaris	92.155	1.3930003589374975	2	present_gold	92.155	5
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	colon	H2AJ:colon	variant	H2AJ:HGNC:14456	4	E	4:E	4	macaca_mulatta	Macaca mulatta	92.38	0.0	1	present_gold	92.38	5
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	colon	H2AJ:colon	variant	H2AJ:HGNC:14456	4	E	4:E	5	sus_scrofa	Sus scrofa	92.025	1.619274528917198	2	present_gold	92.025	5
5	human,bos_taurus,canis_lupus_familiaris,macaca_mulatta,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Macaca mulatta,Sus scrofa	H2AJ	frontal cortex	H2AJ:frontal cortex	variant	H2AJ:HGNC:14456	4	F	4:F	1	human	Homo sapiens	79.24166666666666	4.694839783020853	18	present_gold	79.24166666666666	6
