gene_name,tissue,gene_class,panel_family,panel_label,panel_scope,panel_direction,panel_quantile,page,file_png,file_svg
MACROH2A1,kidney,variant,global_p10_low_panels,global p10 low panels,global,low,0.1,2,CURATED_SET/BioAnalyze/stats/ranking/plots/global_p10_low_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/global_p10_low_panels_page2.svg
MACROH2A1,metanephros cortex,variant,global_p10_low_panels,global p10 low panels,global,low,0.1,4,CURATED_SET/BioAnalyze/stats/ranking/plots/global_p10_low_panels_page4.png,CURATED_SET/BioAnalyze/stats/ranking/plots/global_p10_low_panels_page4.svg
MACROH2A1,pituitary gland,variant,global_p10_low_panels,global p10 low panels,global,low,0.1,6,CURATED_SET/BioAnalyze/stats/ranking/plots/global_p10_low_panels_page6.png,CURATED_SET/BioAnalyze/stats/ranking/plots/global_p10_low_panels_page6.svg
MACROH2A1,retina,variant,global_p10_low_panels,global p10 low panels,global,low,0.1,2,CURATED_SET/BioAnalyze/stats/ranking/plots/global_p10_low_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/global_p10_low_panels_page2.svg
MACROH2A1,uterus,variant,global_p10_low_panels,global p10 low panels,global,low,0.1,5,CURATED_SET/BioAnalyze/stats/ranking/plots/global_p10_low_panels_page5.png,CURATED_SET/BioAnalyze/stats/ranking/plots/global_p10_low_panels_page5.svg
H2AJ,metanephros cortex,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.svg
H2AJ,thymus,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.svg
H2AX,cerebellar cortex,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.svg
H2AZ1,Ammon's horn,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.svg
H2AZ1,blood,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.svg
H2AZ1,brain,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.svg
H2AZ1,cerebral cortex,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.svg
H2AZ1,cortex of kidney,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.svg
H2AZ1,frontal cortex,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.svg
H2AZ1,kidney,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.svg
H2AZ1,lymph node,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.svg
H2AZ1,retina,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.svg
H2AZ1,spleen,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.svg
H2AZ1,thymus,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,1,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page1.svg
H2AZ2,colon,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.svg
H2AZ2,uterus,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,3,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page3.svg
MACROH2A1,kidney,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.svg
MACROH2A1,retina,variant,variant_p10_low_panels,variant p10 low panels,variant,low,0.1,2,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.png,CURATED_SET/BioAnalyze/stats/ranking/plots/variant_p10_low_panels_page2.svg
H2AC14,testis,clustered,candidate_focus_panels,candidate focus panels,focus,mixed,,1,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.png,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.svg
H2AC6,prefrontal cortex,clustered,candidate_focus_panels,candidate focus panels,focus,mixed,,1,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.png,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.svg
H2AJ,pituitary gland,variant,candidate_focus_panels,candidate focus panels,focus,mixed,,1,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.png,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.svg
H2AJ,testis,variant,candidate_focus_panels,candidate focus panels,focus,mixed,,1,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.png,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.svg
H2AX,adipose tissue,variant,candidate_focus_panels,candidate focus panels,focus,mixed,,1,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.png,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.svg
MACROH2A2,zone of skin,variant,candidate_focus_panels,candidate focus panels,focus,mixed,,1,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.png,CURATED_SET/BioAnalyze/stats/ranking/plots/candidate_focus_panels.svg
