Histone type,Histone variant,NCBI gene ID,Ensembl gene ID,Expr. timing,Expr. pattern,Biotype,Bona fide canonical,PMIDs,Previous HGNC Symbol,HGNC Symbol
H2B,canonical H2B,8345,ENSG00000275713,RD,,COD,canonical,12408966 25731851,HIST1H2BH,H2BC9
H2B,canonical H2B,8346,ENSG00000273802,RD,,COD,canonical,12408966 25731851,HIST1H2BI,H2BC10
H2B,canonical H2B,8970,ENSG00000124635,RD,,COD,canonical,12408966 25731851,HIST1H2BJ,H2BC11
H2B,canonical H2B,85236,ENSG00000197903,RD,,COD,canonical,12408966 25731851,HIST1H2BK,H2BC12
H2B,canonical H2B,8340,ENSG00000185130,RD,,COD,canonical,12408966 25731851,HIST1H2BL,H2BC13
H2B,canonical H2B,8342,ENSG00000273703,RD,,COD,canonical,12408966 25731851,HIST1H2BM,H2BC14
H2B,canonical H2B,8341,ENSG00000233822,RD,,COD,canonical,12408966 25731851,HIST1H2BN,H2BC15
H2B,,10340,ENSG00000217646,,,PS,,,HIST1H2BPS2,H2BC16P
H2B,canonical H2B,8348,ENSG00000274641,RD,,COD,canonical,12408966 25731851,HIST1H2BO,H2BC17
H2B,canonical H2B,440689,ENSG00000203814,RD,,COD,canonical,12408966 25731851,HIST2H2BF,H2BC18
H2B,,337874,ENSG00000220323,,,PS,,,HIST2H2BD,H2BC19P
H2B,,337873,ENSG00000261716,,,PS,,,HIST2H2BC,H2BC20P
H2B,canonical H2B(?),8349,ENSG00000184678,RD,,COD,?,23240083 12408966 25731851,HIST2H2BE,H2BC21
H2B,H2B.S(?),54145,ENSG00000234289,RI,,COD,,?,,
H2B,canonical H2B,128312,ENSG00000196890,?,,COD,canonical,12408966,,
H2B,,337872,ENSG00000181201,,,PS,,,,
H2B,H2B.W,158983,ENSG00000123569,RI,TS,COD,,15475252 16449661 25731851,,
H2B,?,286436,ENSG00000101812,RI,,COD,,,,
H2B,,100101478,ENSG00000235946,,,PS,,,,
H2B,,767811,,,,PS,,,,
H2B,,100820735,ENSG00000226908,,,PS,,,,
H2B,,337875,ENSG00000223345,,,PS,,,HIST2H2BA,H2BP1
H2B,,338391,ENSG00000240929,,,PS,,,HIST2H2BA,H2BP1
H2B,?,114483833,ENSG00000285480,RI,,COD,,,,
H2B,,25757,,,,PS,,,,
H3,canonical H3.1,8350,ENSG00000275714,RD,,COD,canonical,12408966,,
H3,canonical H3.1,8358,ENSG00000286522,RD,,COD,canonical,12408966,HIST1H3A,H3C2
H3,canonical H3.1,8352,ENSG00000287080,RD,,COD,canonical,12408966,HIST1H3B,H3C3
H3,canonical H3.1,8351,ENSG00000197409,RD,,COD,canonical,12408966,HIST1H3C,H3C4
H3,,115482688,ENSG00000277720,,,PS,,,,
H3,canonical H3.1,8353,ENSG00000274750,RD,,COD,canonical,12408966,HIST1H3E,H3C6
H3,canonical H3.1,8968,ENSG00000277775,RD,,COD,canonical,12408966,HIST1H3F,H3C7
H3,canonical H3.1,8355,ENSG00000273983,RD,,COD,canonical,12408966,HIST1H3G,H3C8
H3,,100289545,ENSG00000220875,,,PS,,,HIST1H3PS1,H3C9P
H3,canonical H3.1,8357,ENSG00000278828,RD,,COD,canonical,12408966,HIST1H3H,H3C10
H3,canonical H3.1,8354,ENSG00000275379,RD,,COD,canonical,12408966,HIST1H3I,H3C11
H3,canonical H3.1,8356,ENSG00000197153,RD,,COD,canonical,12408966,HIST1H3J,H3C12
H3,canonical H3.1,653604,ENSG00000183598,RD,,COD,canonical,12408966,HIST2H3D,H3C13
H3,canonical H3.2,126961,ENSG00000203811,RD,,COD,canonical,12408966,HIST2H3C,H3C14
H3,canonical H3.1,333932,ENSG00000203852,RD,,COD,canonical,12408966,HIST2H3A,H3C15
H3,H3.Y.1,391769,ENSG00000269466,RI,,COD,,20819935,,
H3,H3.Y.2,340096,ENSG00000268799,RI,,COD,,20819935,,
H3,canonical H3(?),440686,ENSG00000273213,RD,,COD,,12408966,HIST2H3PS2,H3-2
H3,H3.3,3020,ENSG00000163041,RI,,COD,,19412883,H3F3A,H3-3A
H3,H3.3,3021,ENSG00000132475,RI,,COD,,19412883,H3F3B,H3-3B
H3,TS H3.4,8290,ENSG00000168148,RI,TS,COD,,8986613,,
H3,H3.5,440093,ENSG00000188375,RI,TS,COD,,21274551,H3F3C,H3-5
H3,cenH3,1058,ENSG00000115163,RI,,COD,,23324462,CENPA,CENPA
H3,,10338,ENSG00000224447,,,PS,,,,
H3,,106479023,ENSG00000213244,,,PS,,,HIST2H3DP1,H3P4
H3,,664611,ENSG00000270433,,,PS,,,H3F3AP2,H3P37
H3,,654505,ENSG00000259389,,,PS,,,H3F3AP1,H3P38
H4,canonical H4,8359,ENSG00000278637,RD,,COD,canonical,12408966,HIST1H4A,H4C1
H4,canonical H4,8366,ENSG00000278705,RD,,COD,canonical,12408966,HIST1H4B,H4C2
H4,canonical H4,8364,ENSG00000197061,RD,,COD,canonical,12408966,HIST1H4C,H4C3
H4,canonical H4,8360,ENSG00000277157,RD,,COD,canonical,12408966,HIST1H4D,H4C4
H4,canonical H4,8367,ENSG00000276966,RD,,COD,canonical,12408966,HIST1H4E,H4C5
H4,canonical H4,8361,ENSG00000274618,RD,,COD,canonical,12408966,HIST1H4F,H4C6
H4,canonical H4,8369,ENSG00000275663,RD,,COD,canonical,12408966,HIST1H4G,H4C7
H4,canonical H4,8365,ENSG00000158406,RD,,COD,canonical,12408966,HIST1H4H,H4C8
H4,canonical H4,8294,ENSG00000276180,RD,,COD,canonical,12408966,HIST1H4I,H4C9
H4,,10337,ENSG00000217862,,,PS,,,HIST1H4PS1,H4C10P
H4,canonical H4,8363,ENSG00000197238,RD,,COD,canonical,12408966,HIST1H4J,H4C11
H4,canonical H4,8362,ENSG00000273542,RD,,COD,canonical,12408966,HIST1H4K,H4C12
H4,canonical H4,8368,ENSG00000275126,RD,,COD,canonical,12408966,HIST1H4L,H4C13
H4,canonical H4,8370,ENSG00000270882,RD,,COD,canonical,12408966,HIST2H4A,H4C14
H4,canonical H4,554313,ENSG00000270276,RD,,COD,canonical,12408966,HIST2H4B,H4C15
H4,canonical H4,121504,ENSG00000197837,RD,,COD,canonical,12408966,HIST4H4,H4-16
