species	species_slug	gene_id	gene_name	anatomical_entity_name	expression	call_quality	expression_score	affymetrix_expression_score	est_expression_score	in_situ_hybridization_expression_score	rna_seq_expression_score	single_cell_rna_seq_expression_score	active_sources	active_source_count	source_class	heatmap_qualifying	overall_equals_rnaseq_score
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bronchial epithelial cell	present	gold quality	74.58	74.58					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bronchial epithelial cell	present	gold quality	75.20	75.20					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bronchial epithelial cell	present	gold quality	77.13	77.13					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bronchial epithelial cell	present	gold quality	75.80	75.80					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bronchial epithelial cell	present	gold quality	73.94	73.94					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bronchial epithelial cell	present	gold quality	75.61	75.61					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	bronchial epithelial cell	present	gold quality	75.44	75.44					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	buccal mucosa cell	present	silver quality	60.75	60.75					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	uterine cervix	present	gold quality	86.77	86.14			87.20		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	uterine cervix	present	gold quality	86.39	87.23			85.58		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	uterine cervix	present	gold quality	86.16	87.25			85.65		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	uterine cervix	present	gold quality	87.01	87.93			86.04		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	uterine cervix	present	gold quality	87.33	88.25			86.71		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	87.58				87.58		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	81.86	81.86					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	90.16				90.16		RNA-Seq	1	rna_seq_only	yes	yes
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	silver quality	81.13	81.13					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	87.10	81.13			88.17		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	83.05	83.05					Affymetrix	1	non_rna_only	yes	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	87.76	83.05			88.21		Affymetrix|RNA-Seq	2	multi_source	yes	no
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	silver quality	81.85	81.85					Affymetrix	1	non_rna_only	no	not_applicable
Homo sapiens	homo_sapiens	ENSG00000099284	MACROH2A2	islet of Langerhans	present	gold quality	87.35	81.85			87.65		Affymetrix|RNA-Seq	2	multi_source	yes	no
