tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,human,macaca_mulatta,sus_scrofa
peritoneum,,,,42.82,,
pharyngeal tonsil,48.73,,,,,
popliteal artery,,,,53.99,,
primordial germ cell in gonad,,,,75.62,,
prostate gland,,,,49.52125,,
psoas major muscle,,,,,,44.72
putamen,,,,43.94,,
rectum,,,,57.9,,
rectus femoris,47.745000000000005,,,,,
renal medulla,,43.4,,,,
retina,,42.3,,,,
retropharyngeal lymph node,45.97,,,,,
right adrenal gland,,,,49.956,,
right adrenal gland cortex,,,,52.02,,
right atrium auricular region,,,,46.98125,,
right cardiac atrium,,37.69,,,,
right coronary artery,,,,52.47,,
right frontal lobe,,,,36.12,,
right lobe of thyroid gland,,,,46.39166666666667,,
right lung,,,,51.35,,
right ovary,,,,46.585,,
right testis,,,,63.294000000000004,,
rumen,66.24249999999999,,,,,
rumen epithelium,47.06,,,,,
rumen papilla,30.34,,,,,
saliva-secreting gland,,38.29,,,,
scapular muscle,32.48,,,,,
semimembranosus muscle,,,,,,57.035
semitendinosus,28.01,,,,,
sigmoid colon,,,,46.7725,,
skin of abdomen,,,,42.45428571428572,,
skin of leg,,,,38.89,,
small intestine Peyer's patch,,,,49.809999999999995,,
spermatid,,,,,65.82,
spermatocyte,,,,,57.65,
spiral colon,90.67,,,,,
stromal cell of endometrium,,,,65.1,,
substantia nigra,,,,49.35545454545454,,
theca cell,45.9,,,,,
thoracic aorta,,,,55.745,,
thoracic mammary gland,,,,44.50714285714286,,
tibial artery,,,,55.08818181818182,,
tibial nerve,,,,36.56,,
transverse colon,,,,53.535000000000004,,
triceps brachii,,,37.004999999999995,,,
trophectoderm,,,97.75999999999999,,,
trophoblast,,,72.24,,,
upper lobe of left lung,,,,46.42166666666666,,
urinary bladder,,,,46.5025,,
uterine cervix,,,,51.93,,
vagina,,,,59.892727272727264,,
ventricular zone,,,,68.965,,
vermiform appendix,,,,50.76,,
