tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
adult mammalian kidney,67.4275,61.29,,45.89,26.035,,90.2846153846154,75.36,,,90.93333333333334,
liver,59.054375,70.53,,46.72,57.715,,90.51190476190476,88.07714285714285,,,90.055,
prefrontal cortex,41.08,60.07,,0.0,13.49,,81.88111111111112,71.87,,,74.22181818181818,
testis,62.51333333333333,44.56875,,33.83,32.96333333333333,,81.27,48.74,,,57.425,
cerebellum,43.59333333333333,55.5725,,97.8075,,,75.08500000000001,75.826,,,77.1525,
spleen,65.19,67.77333333333333,,,31.04,,90.17416666666666,82.955,,,96.45,
bone marrow,76.48,86.87,,86.04,,,94.80857142857144,,,,99.25,
brain,66.41,64.19,,,83.14,,79.80428571428573,73.44749999999999,,,,
cerebral cortex,54.985,47.475,,,,,78.676,74.09,,,79.31,
colon,59.51,71.655,,,,,88.48333333333333,85.2,,,96.37,
frontal cortex,52.89666666666667,51.97,,,,,76.0392,91.37,,,71.0,
heart,65.82499999999999,56.24,,,,,85.49266666666668,85.922,,,89.97200000000001,
lung,62.96142857142858,62.5025,,,,,85.08947368421053,87.975,,,95.96,
multicellular organism,69.36,,,56.54,,,85.35,80.92333333333333,,,83.29,
skeletal muscle tissue,83.365,83.75,,,,,81.73333333333333,83.565,,,95.24,
zone of skin,50.32,79.69142857142857,,37.89,0.0,,84.56857142857143,,,,,
adipose tissue,69.88666666666667,74.78,,,,,84.59705882352942,89.5,,,,
blood,72.475,94.34,,59.95166666666666,,,98.34589743589744,,,,,
cortex of kidney,68.72,,,,,,84.89,82.6,,,94.6,
kidney,76.86,65.85,,,,,89.57166666666666,81.455,,,,
lymph node,78.95,68.27000000000001,,,,,84.04666666666667,,,,96.78,
pituitary gland,92.02166666666666,77.50333333333333,,,,,87.45357142857144,,,,96.55,
retina,77.22,49.3,,61.66,,,73.98,,,,,
thymus,83.07,71.23,,,,,93.245,,,,99.61,
Ammon's horn,49.12,,,,,,83.75625000000001,84.36,,,,
adrenal gland,82.45333333333333,81.565,,,,,84.4875,,,,,
cerebellar cortex,,,,,,,76.26499999999999,79.01,,,80.486,
dorsolateral prefrontal cortex,,,,,,,76.8804347826087,71.775,,,79.155,
embryo,,,,33.09,18.58,,78.35714285714286,,,,,
endometrium,71.98833333333333,,,33.88,,,90.00466666666667,,,,,
hindlimb stylopod muscle,,,,,,,86.44,86.63,,,89.6,
hypothalamus,42.88333333333333,48.12,,,,,85.02600000000001,,,,,
jejunum,67.1375,65.06,,,,,83.1,,,,,
leukocyte,75.86909090909091,,,63.59,,,97.76,,,,,
mammary gland,70.365,50.315,,,,,83.35499999999999,,,,,
metanephros cortex,68.86,61.52,,,,,83.56,,,,,
