tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
adult mammalian kidney,46.67666666666667,20.54,,0.0,58.365,,50.1375,0.0,33.06666666666667,,,
liver,50.80285714285714,36.596,,0.0,76.03999999999999,,39.82,39.685,52.82272727272727,,,
testis,63.9,0.0,,32.94,19.986666666666665,,34.802499999999995,50.81,47.7425,,,
cerebellum,69.31666666666666,0.0,,79.89750000000001,,,27.325,0.0,50.623333333333335,,,
prefrontal cortex,56.86,0.0,,0.0,49.24,,34.495000000000005,38.64666666666667,,,,
spleen,60.15599999999999,37.12,,,63.65,,55.259166666666665,0.0,70.64833333333333,,,
zone of skin,57.66666666666666,42.42,,39.115,42.49,,33.55,,23.56,,,
bone marrow,55.44,40.5,,93.62,,,75.53999999999999,,85.0,,,
brain,59.05,,,,46.02,,31.9075,38.59,30.046666666666667,,,
cerebral cortex,67.745,0.0,,,,,27.58,50.89,0.0,,,
colon,54.91,0.0,,,,,60.782,48.48,59.24,,,
frontal cortex,67.79333333333334,0.0,,,,,29.8525,0.0,0.0,,,
heart,44.555,0.0,,,,,61.625,45.33,71.06125,,,
lung,57.955714285714286,32.06,,,,,67.74666666666667,0.0,60.96666666666667,,,
multicellular organism,60.14,,,40.31,,,37.63,40.903333333333336,60.04,,,
skeletal muscle tissue,53.125,0.0,,,,,0.0,0.0,49.35,,,
adipose tissue,56.45,39.81,,,,,30.805,0.0,,,,
adrenal gland,64.42333333333333,0.0,,,,,50.03,,69.42,,,
blood,67.5675,69.64,,42.5,,,73.05470588235295,,,,,
cortex of kidney,56.78,,,,,,42.92,0.0,0.0,,,
hypothalamus,51.27,0.0,,,,,42.325,,0.0,,,
kidney,52.87,,,,,,82.935,0.0,84.275,,,
muscle tissue,44.956,,,39.906666666666666,,,40.94,,42.44,,,
ovary,61.822500000000005,28.25,,,,,34.43,,0.0,,,
placenta,65.83,41.78,,,,,54.47,,89.06,,,
thymus,72.0,54.14,,,,,0.0,,78.1225,,,
urinary bladder,61.08,0.0,,,,,38.84,,55.43,,,
Ammon's horn,72.25,,,,,,32.76,,36.06666666666667,,,
cerebellar cortex,,,,,,,27.17,0.0,48.09,,,
duodenum,66.6225,,,,,,45.88,,56.64,,,
endometrium,55.174,,,27.85,,,49.83,,,,,
esophagus,72.69999999999999,,,,,,42.785,,32.62,,,
granulocyte,,0.0,,,,,58.73,,68.65,,,
hindlimb stylopod muscle,,,,,,,0.0,0.0,0.0,,,
ileum,74.10799999999999,,,,,,,0.0,62.97,,,
jejunum,71.0075,40.17,,,,,,,47.7,,,
leukocyte,64.24181818181819,,,36.3,,,69.39,,,,,
lymph node,60.25,44.8,,,,,60.045,,,,,
metanephros cortex,57.78,0.0,,,,,0.0,,,,,
olfactory segment of nasal mucosa,56.195,,,,,,38.79,29.91,,,,
pancreas,,0.0,,,,,28.37,,0.0,,,
pituitary gland,55.086666666666666,33.72,,,,,27.785,,,,,
primary visual cortex,,,,,,,0.0,0.0,32.41,,,
retina,60.67,0.0,,0.0,,,,,,,,
saliva-secreting gland,56.565,0.0,,,,,31.96,,,,,
spermatid,63.73,,,,,,,78.61,91.69,,,
spermatocyte,57.95,,,,,,,78.16,74.64,,,
spinal cord,,0.0,,53.94285714285714,,,43.87,,,,,
stomach,,49.29,,,,,65.09083333333334,,70.538,,,
superior frontal gyrus,,,,,,,0.0,34.03,0.0,,,
thyroid gland,51.045,0.0,,,,,31.367,,,,,
uterus,56.35999999999999,,,,40.58,,,,99.18,,,
adenohypophysis,60.745,,,,,,0.0,,,,,
cortical plate,,,,,,,0.0,,37.02,,,
dorsolateral prefrontal cortex,,,,,,,27.36,47.935,,,,
embryo,,,,0.0,51.28,,,,,,,
epithelium of bronchus,,,,32.2,,,0.0,,,,,
gall bladder,75.0,,,,,,47.82,,,,,
ganglionic eminence,,,,,,,46.575,,37.66,,,
gluteus medius,56.465,,,34.31,,,,,,,,
heart left ventricle,,0.0,,,,,28.846,,,,,
intestine,,,,,,,81.52000000000001,,80.6575,,,
islet of Langerhans,,,,,,,35.3675,,49.54,,,
mammary gland,52.9825,0.0,,,,,,,,,,
midbrain,76.31,,,,,,,,82.93166666666667,,,
monocyte,47.88,,,,,,79.08,,,,,
myometrium,48.18,,,,,,33.455,,,,,
occipital lobe,53.04,0.0,,,,,,,,,,
olfactory bulb,,0.0,,,,,,,34.22,,,
omental fat pad,60.335,,,,,,39.3,,,,,
oviduct epithelium,44.53,,,91.98,,,,,,,,
prostate gland,57.78,,,,,,37.83142857142857,,,,,
quadriceps femoris,,,,,,,0.0,,0.0,,,
renal medulla,56.745,0.0,,,,,,,,,,
small intestine,,31.935,,,,,45.705,,,,,
smooth muscle tissue,,0.0,,,,,33.95,,,,,
subcutaneous adipose tissue,60.205,,,,,,55.09166666666667,,,,,
temporal lobe,,0.0,,,,,0.0,,,,,
tongue,61.27333333333333,0.0,,,,,,,,,,
triceps brachii,56.29,,,29.37,,,,,,,,
uterine cervix,60.215,,,,,,45.08,,,,,
ventricular zone,,,,,,,62.650000000000006,,56.27,,,
Brodmann (1909) area 10,,,,,,,0.0,,,,,
Brodmann (1909) area 9,,,,,,,0.0,,,,,
C1 segment of cervical spinal cord,,,,,,,50.00375,,,,,
abdominal lymph node,57.96,,,,,,,,,,,
abomasum,64.84666666666666,,,,,,,,,,,
adrenal cortex,,33.88,,,,,,,,,,
adrenal tissue,,,,,,,90.16,,,,,
ampulla of uterine tube,57.935,,,,,,,,,,,
amygdala,,,,,,,0.0,,,,,
animal zygote,,,,,,,,,67.74,,,
anterior cingulate cortex,,,,,,,26.858,,,,,
anterior segment of eyeball,68.61,,,,,,,,,,,
aorta,62.075,,,,,,,,,,,
apex of heart,,,,,,,0.0,,,,,
articular cartilage of joint,,,,33.68,,,,,,,,
ascending aorta,,,,,,,36.23375,,,,,
ascending colon,70.755,,,,,,,,,,,
biceps femoris,0.0,,,,,,,,,,,
blastoderm cell in morula,,,,,,,,,73.84,,,
body of pancreas,,,,,,,0.0,,,,,
body of stomach,,,,,,,38.40875,,,,,
body of uterus,,,,,,,0.0,,,,,
