tissue,canis_lupus_familiaris,equus_caballus,felis_catus,human,macaca_mulatta,mus_musculus,pan_troglodytes,sus_scrofa
occipital lobe,97.38,,,88.55666666666667,,,,
olfactory bulb,75.95,,,,,88.85071428571428,,
olfactory segment of nasal mucosa,,,,87.95,87.91,,,
oviduct epithelium,,80.95,,77.61,,,,
parotid gland,,,,78.7825,,71.42,,
penis,,,,84.15,,,,84.14
prostate gland,,,,81.69222222222223,,75.87,,
renal medulla,69.37,,,77.925,,,,
right lobe of liver,,,,82.52,,,,76.11
right lung,,,,77.66499999999999,,75.779,,
saliva-secreting gland,44.29,,,79.03399999999999,,,,
secondary oocyte,,,,88.25,,84.26333333333334,,
seminal vesicle,,,,71.0,,84.74,,
skin of abdomen,,,,82.782,,91.20333333333333,,
small intestine Peyer's patch,,,,83.71181818181817,,92.79,,
smooth muscle tissue,83.98,,,82.24,,,,
spermatid,,,,,90.29,93.47,,
spermatocyte,,,,,94.45,98.36,,
substantia nigra,,,,90.3221052631579,,77.41,,
telencephalon,,,,87.14,,88.88428571428572,,
thoracic mammary gland,,,,75.09357142857142,,88.98,,
thyroid gland,69.44,,,78.63529411764705,,,,
tongue,87.08,,,87.25,,,,
tonsil,,,,87.16166666666668,,,,95.75
trachea,,,,82.625,,84.17,,
triceps brachii,,72.81,,,,83.95,,
uterine cervix,,,,83.508,,84.985,,
ventral tegmental area,,,,90.60833333333333,,75.43,,
ventricular zone,,,,98.905,,98.5,,
1st arch mandibular component,,,,,,99.11,,
1st arch maxillary component,,,,,,98.94,,
Brodmann (1909) area 23,,,,73.87,,,,
Brodmann (1909) area 46,,,,83.194,,,,
Brodmann (1909) area 9,,,,89.19999999999999,,,,
C1 segment of cervical spinal cord,,,,92.4588888888889,,,,
CA3 field of hippocampus,,,,,,85.51666666666667,,
abdominal wall,,,,,,99.06,,
adenohypophysis,,,,89.33166666666666,,,,
adipose tissue of abdominal region,,,,80.37,,,,
adrenal tissue,,,,75.03333333333333,,,,
adult organism,,,,79.67,,,,
amniotic fluid,,,,80.21,,,,
anatomical system,,,,81.92,,,,
animal zygote,,,,,,87.195,,
ankle joint,,,,,,84.48,,
anterior amygdaloid area,,,,,,81.05,,
anterior cingulate cortex,,,,88.10363636363637,,,,
aortic valve,,,,,,80.05,,
apex of heart,,,,82.25,,,,
arcuate nucleus of hypothalamus,,,,,,82.18,,
articular cartilage of joint,,59.4,,,,,,
associated mesenchyme of midgut,,,,,,98.36,,
atrioventricular valve,,,,,,86.94,,
bed nucleus of stria terminalis,,,,,,81.595,,
biceps brachii,,,,76.62,,,,
blastocyst,,,,,,87.855,,
blastoderm cell in morula,,,,,,83.36,,
blood vessel,,,,,,66.65,,
body of pancreas,,,,78.31800000000001,,,,
body of stomach,,,,83.7990909090909,,,,
body of tongue,,,,86.59333333333332,,,,
body of uterus,,,,79.762,,,,
bone element,,,,,,89.38499999999999,,
bone fossa,,,,,,82.01,,
bone marrow cell,,,,93.29,,,,
brain blood vessel,,,,,,83.99666666666667,,
bronchial epithelial cell,,,,74.5895238095238,,,,
bronchus,,,,77.61500000000001,,,,
brown adipose tissue,,,,,,74.42125,,
calcaneal tendon,,,,60.83,,,,
camera-type eye,,,,,,77.49571428571429,,
caput epididymis,,,,73.08,,,,
cardia of stomach,,,,82.195,,,,
cardiac muscle of left ventricle,46.92,,,,,,,
carotid body,,,,,,64.35333333333334,,
cauda epididymis,,,,72.83,,,,
caudate nucleus,,,,84.1370588235294,,,,
caudate-putamen,,,,,,86.1,,
central gray substance of midbrain,,,,,,81.16571428571429,,
cerebellar hemisphere,,,,86.95,,,,
cerebellar nuclear complex,,,,,,79.73,,
cerebellum external granule cell layer,,,,,,71.42,,
cerebellum lobe,,,,,,77.08,,
cerebral cortex subventricular zone,,,,,,69.99,,
cerebral hemisphere,,,,,,86.025,,
cervix epithelium,,,,91.58999999999999,,,,
chorionic villus,,66.87,,,,,,
choroid plexus epithelium,,,,,,71.49,,
choroid plexus of fourth ventricle,,,,,,79.68,,
cingulate cortex,,,,,,81.08,,
cleaving embryo,,,,,,90.612,,
cochlea,,,,,,82.01,,
colonic mucosa,,,,83.76666666666667,,,,
condyle,,,,,,84.58,,
conjunctival fornix,,,,,,83.0,,
connective tissue,,,,75.23,,,,
cornea,,,,,,90.21333333333332,,
coronary artery,,,,82.39,,,,
corpus epididymis,,,,70.94333333333333,,,,
crypt of Lieberkuhn of small intestine,,,,,,91.37,,
cumulus cell,,,,,,86.86,,
dentate gyrus of hippocampal formation,,,,,,84.33,,
dentate gyrus of hippocampal formation granule cell,,,,,,77.44,,
dermis,,,,,,97.57,,
descending thoracic aorta,,,,80.73333333333333,,,,
diaphragm,,,,,,77.8,,
diaphysis of femur,,,,,,90.51499999999999,,
digastric muscle group,,,,,,77.32,,
dorsal motor nucleus of vagus nerve,,,,86.275,,,,
dorsal pancreas,,,,,,96.712,,
dorsal striatum,,,,,,85.595,,
dorsal tegmental nucleus,,,,,,78.95,,
dorsomedial nucleus of hypothalamus,,,,,,78.26,,
ear,,,,,,83.8625,,
ear vesicle,,,,,,90.34599999999999,,
ectocervix,,,,81.512,,,,
ectoplacental cone,,,,,,92.71,,
efferent duct,,,,,,97.59666666666668,,
embryonic brain,,,,,,92.05,,
embryonic cell in blastocyst,,,,,,84.95,,
embryonic facial prominence,,,,,,98.6425,,
embryonic head,,,75.81,,,,,
embryonic post-anal tail,,,,,,98.62,,
endocardial cushion,,,,,,95.13,,
endocardial endothelium,,,,,,,,85.55
endocervix,,,,79.31333333333333,,,,
endoderm of midgut,,,,,,98.49,,
endometrium epithelium,,,,98.57,,,,
endothelial cell of lymphatic vessel,,,,,,91.65,,
epiblast (generic),,,,,,98.56,,
epiblast cell in embryo,,,,,,97.5,,
epididymal fat pad,,,,,,76.42750000000001,,
epithelium of cochlear duct,,,,,,84.05,,
epithelium of esophagus,,,,80.05,,,,
epithelium of lens,,,,,,82.01,,
epithelium of mammary gland,,,,79.03,,,,
epithelium of small intestine,,,,,,91.25,,
epithelium of stomach,,,,,,89.32,,
esophagogastric junction muscularis propria,,,,81.34,,,,
esophagus mucosa,,,,90.68636363636364,,,,
esophagus squamous epithelium,,,,77.6,,,,
external carotid artery,,,,,,97.75,,
extra-ocular muscle,,,,,,77.05,,
facial nucleus,,,,,,80.23,,
fallopian tube,,,,73.23500000000001,,,,
female reproductive system,,,,80.21,,,,
femorotibial joint,,,,,,98.58,,
femur,,,,,,95.92,,
fetal liver hematopoietic progenitor cell,,,,,,98.24,,
floor plate of midbrain,,,,,,97.52,,
frontonasal prominence,,,,,,98.8175,,
fundus of stomach,,,,79.97142857142856,,,,
gall bladder,,,,69.85,,,,
