gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,lymph node,53.39,H2AX:VGNC:83734,variant,46.83
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,head,67.02,H2AX:VGNC:83734,variant,64.80666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,head,67.4,H2AX:VGNC:83734,variant,64.80666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,head,60.0,H2AX:VGNC:83734,variant,64.80666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,large intestine,93.52,H2AX:VGNC:83734,variant,93.52
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adult mammalian kidney,75.24,H2AX:VGNC:83734,variant,68.99666666666666
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adult mammalian kidney,70.27,H2AX:VGNC:83734,variant,68.99666666666666
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,adult mammalian kidney,61.48,H2AX:VGNC:83734,variant,68.99666666666666
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,blood,96.53,H2AX:VGNC:83734,variant,96.53
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,renal medulla,69.37,H2AX:VGNC:83734,variant,69.37
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,prefrontal cortex,77.05,H2AX:VGNC:83734,variant,77.05
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,testis,79.67,H2AX:VGNC:83734,variant,63.28666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,testis,67.38,H2AX:VGNC:83734,variant,63.28666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,testis,51.97,H2AX:VGNC:83734,variant,63.28666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,testis,56.18,H2AX:VGNC:83734,variant,63.28666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,testis,54.92,H2AX:VGNC:83734,variant,63.28666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,testis,66.14,H2AX:VGNC:83734,variant,63.28666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,testis,57.17,H2AX:VGNC:83734,variant,63.28666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,testis,70.51,H2AX:VGNC:83734,variant,63.28666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,testis,65.64,H2AX:VGNC:83734,variant,63.28666666666667
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,stomach,78.97,H2AX:VGNC:83734,variant,67.775
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,stomach,56.58,H2AX:VGNC:83734,variant,67.775
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,heart,58.79,H2AX:VGNC:83734,variant,57.14333333333334
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,heart,51.11,H2AX:VGNC:83734,variant,57.14333333333334
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,heart,61.53,H2AX:VGNC:83734,variant,57.14333333333334
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,brain,75.3,H2AX:VGNC:83734,variant,73.38499999999999
H2AX,canis_lupus_familiaris,Canis lupus familiaris,ENSCAFG00000012332,brain,71.47,H2AX:VGNC:83734,variant,73.38499999999999
