Gene ID	Gene name	Anatomical entity name	cell_mean_score	cell_std_score	cell_n	cell_status	Expression score	Expression std	Expression n	raw_row_count	qualifying_row_count	merged_gene_name	class
ENSG00000099284	MACROH2A2	adult mammalian kidney	83.38416666666667	2.0850352442337696	12	present_gold	83.38416666666667	2.0850352442337696	12	12	12	MACROH2A2	variant
ENSG00000099284	MACROH2A2	bone marrow	74.945	0.4454772721475317	2	present_gold	74.945	0.4454772721475317	2	14	2	MACROH2A2	variant
ENSG00000099284	MACROH2A2	cerebellar cortex	88.08500000000001	0.2050609665441032	2	present_gold	88.08500000000001	0.2050609665441032	2	2	2	MACROH2A2	variant
ENSG00000099284	MACROH2A2	cerebellum	88.37928571428571	2.666453894899813	14	present_gold	88.37928571428571	2.666453894899813	14	14	14	MACROH2A2	variant
ENSG00000099284	MACROH2A2	cerebral cortex	84.42333333333333	6.916563453045162	9	present_gold	84.42333333333333	6.916563453045162	9	9	9	MACROH2A2	variant
ENSG00000099284	MACROH2A2	colon	82.135	2.9820369074924384	18	present_gold	82.135	2.9820369074924384	18	18	18	MACROH2A2	variant
ENSG00000099284	MACROH2A2	cortex of kidney	84.02799999999999	2.58382855468392	5	present_gold	84.02799999999999	2.58382855468392	5	5	5	MACROH2A2	variant
ENSG00000099284	MACROH2A2	dorsolateral prefrontal cortex	79.24666666666667	1.7131793056575633	21	present_gold	79.24666666666667	1.7131793056575633	21	22	21	MACROH2A2	variant
ENSG00000099284	MACROH2A2	frontal cortex	81.82631578947368	3.2362619220437305	19	present_gold	81.82631578947368	3.2362619220437305	19	19	19	MACROH2A2	variant
ENSG00000099284	MACROH2A2	heart	84.95133333333334	2.5407447352152115	15	present_gold	84.95133333333334	2.5407447352152115	15	15	15	MACROH2A2	variant
ENSG00000099284	MACROH2A2	hindlimb stylopod muscle	84.91499999999999	2.255670631985095	2	present_gold	84.91499999999999	2.255670631985095	2	2	2	MACROH2A2	variant
ENSG00000099284	MACROH2A2	liver	82.71000000000001	3.52806939900713	20	present_gold	82.71000000000001	3.52806939900713	20	23	20	MACROH2A2	variant
ENSG00000099284	MACROH2A2	lung	79.4875	6.822806362976065	16	present_gold	79.4875	6.822806362976065	16	22	16	MACROH2A2	variant
ENSG00000099284	MACROH2A2	lymph node	80.63166666666666	2.969467404546928	6	present_gold	80.63166666666666	2.969467404546928	6	6	6	MACROH2A2	variant
