tissue,bos_taurus,equus_caballus,felis_catus,human,macaca_mulatta,pan_troglodytes
left coronary artery,,,,64.53888888888889,,
left lobe of thyroid gland,,,,69.99545454545455,,
left ovary,,,,66.182,,
left testis,,,,63.833333333333336,,
left uterine tube,,,,49.92,,
longissimus muscle,75.06333333333333,,,,,
longissimus thoracis muscle,38.78142857142858,,,,,
lower esophagus,,,,61.82,,
lower esophagus mucosa,,,,87.2,,
lower esophagus muscularis layer,,,,60.5390909090909,,
male germ line stem cell (sensu Vertebrata) in testis,,,,92.19,,
material anatomical entity,,,,62.29,,
medial globus pallidus,,,,72.71333333333332,,
mesenteric lymph node,47.16,,,,,
midbrain,,,,53.68333333333334,,
milk,48.004999999999995,,,,,
minor salivary gland,,,,71.134,,
monocyte,,,,90.1,,
mononuclear cell,,,,89.16,,
mouth mucosa,,,,69.39,,
mucosa of stomach,,,,60.01,,
mucosa of transverse colon,,,,82.35,,
muscle layer of sigmoid colon,,,,66.72818181818182,,
muscle of leg,,,,49.205,,
myometrium,,,,53.58875,,
nasopharynx,50.52,,,,,
neocortex,,,,58.46,,
neurohypophysis,46.965,,,,,
neutrophil,79.38,,,,,
nucleus accumbens,,,,57.64545454545455,,
occipital lobe,39.46,,,,,
pancreas,,,,51.075,,
penis,,,,61.97,,
peritoneum,,,,59.48,,
pharyngeal tonsil,53.53,,,,,
popliteal artery,,,,59.37,,
primordial germ cell in gonad,,,,88.19,,
prostate gland,,,,81.388125,,
putamen,,,,58.475,,
pylorus,,,,73.84,,
rectum,,,,64.0,,
renal medulla,49.915,,,,,
retropharyngeal lymph node,57.14,,,,,
right adrenal gland,,,,71.646,,
right adrenal gland cortex,,,,69.58,,
right atrium auricular region,,,,67.32272727272726,,
right coronary artery,,,,60.879999999999995,,
right frontal lobe,,,,56.89375,,
right hemisphere of cerebellum,,,,57.91555555555556,,
right lobe of liver,,,,67.58777777777777,,
right lobe of thyroid gland,,,,69.48625,,
right lung,,,,67.995,,
right ovary,,,,60.604,,
right testis,,,,64.33,,
right uterine tube,,,,84.28,,
rumen,88.09,,,,,
rumen epithelium,60.78666666666666,,,,,
scapular muscle,60.06,,,,,
semimembranosus muscle,46.12,,,,,
semitendinosus,31.655,,,,,
sigmoid colon,,,,65.6375,,
skin of abdomen,,,,75.929,,
skin of leg,,,,71.69333333333334,,
small intestine,,,,69.31,,
small intestine Peyer's patch,,,,70.60454545454546,,
smooth muscle tissue,,,,48.45,,
spermatid,,,,,73.05,
spermatocyte,,,,,59.42,
spiral colon,97.29,,,,,
stomach,,,,80.13666666666667,,
stromal cell of endometrium,,,,64.05,,
substantia nigra,,,,62.596000000000004,,
supraspinatus muscle,55.325,,,,,
sural nerve,,,,69.89,,
surface of tongue,54.36,,,,,
telencephalon,,,,55.41,,
theca cell,43.53,,,,,
thoracic aorta,,,,62.78666666666667,,
thoracic mammary gland,,,,58.552307692307686,,
tibial artery,,,,61.474545454545456,,
tibial nerve,,,,57.83272727272727,,
tip of external ear,,,64.01,,,
tongue,38.74,,,,,
tonsil,,,,61.837500000000006,,
transverse colon,,,,70.314,,
trophectoderm,,63.790000000000006,,,,
trophoblast,,48.93333333333334,,,,
upper lobe of left lung,,,,62.60875,,
urethra,62.55,,,,,
uterine cervix,,,,62.782,,
uterine horn,42.41,,,,,
uterine tube infundibulum,48.71,,,,,
vagina,,,,72.46916666666667,,
ventricular zone,,,,71.995,,
vermiform appendix,,,,62.59,,
