tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
lens of camera-type eye,,,,,,,,,0.0,,,
limb,,,,,,,,,0.0,,,
lip,,,,,,,,,0.0,,,
lower esophagus,,,,,,,42.41,,,,,
lower esophagus mucosa,,,,,,,0.0,,,,,
lower esophagus muscularis layer,,,,,,,41.671,,,,,
mammary gland,,0.0,,,,,,,,,,
midbrain,,,,,,,,,59.77,,,
minor salivary gland,,,,,,,40.152,,,,,
mitral valve,,0.0,,,,,,,,,,
monocyte,,,,,,,0.0,,,,,
mucosa of stomach,,,,,,,45.86,,,,,
mucosa of transverse colon,,,,,,,0.0,,,,,
mucosa of urinary bladder,,0.0,,,,,,,,,,
muscle layer of sigmoid colon,,,,,,,43.07,,,,,
muscle of leg,,,,,,,44.760000000000005,,,,,
myometrium,,,,,,,40.554,,,,,
neural tube,,,,,,,,,0.0,,,
nose,,0.0,,,,,,,,,,
nucleus accumbens,,,,,,,30.948,,,,,
occipital cortex,,0.0,,,,,,,,,,
occipital lobe,,0.0,,,,,,,,,,
olfactory segment of nasal mucosa,,,,,,,0.0,,,,,
omental fat pad,,,,,,,41.23636363636364,,,,,
oviduct epithelium,,,,0.0,,,,,,,,
popliteal artery,,,,,,,41.42,,,,,
primary oocyte,,,,,,,,,0.0,,,
primordial germ cell in gonad,,,,,,,84.74,,,,,
prostate gland,,,,,,,39.435,,,,,
proximal tubule,,,,,,,,,0.0,,,
putamen,,,,,,,37.1525,,,,,
quadriceps femoris,,,,,,,,,0.0,,,
rectum,,,,,,,0.0,,,,,
renal medulla,,0.0,,,,,,,,,,
retinal neural layer,,,,,,,,,0.0,,,
right adrenal gland,,,,,,,42.74,,,,,
right adrenal gland cortex,,,,,,,43.86,,,,,
right atrium auricular region,,,,,,,40.488,,,,,
right cardiac atrium,,0.0,,,,,,,,,,
right coronary artery,,,,,,,53.39,,,,,
right frontal lobe,,,,,,,39.43,,,,,
right hemisphere of cerebellum,,,,,,,41.845,,,,,
right kidney,,,,,,,,,0.0,,,
right lobe of liver,,,,,,,53.175,,,,,
right lobe of thyroid gland,,,,,,,40.886,,,,,
right lung,,,,,,,60.81,,,,,
right ovary,,,,,,,51.164,,,,,
right testis,,,,,,,60.6825,,,,,
right uterine tube,,,,,,,0.0,,,,,
secondary oocyte,,,,,,,,,0.0,,,
skin of abdomen,,,,,,,36.724,,,,,
skin of leg,,,,,,,35.46909090909091,,,,,
small intestine Peyer's patch,,,,,,,41.803,,,,,
spermatid,,,,,,,,,67.77,,,
spermatocyte,,,,,,,,,0.0,,,
striatum,,,,,,,,,57.725,,,
stromal cell of endometrium,,,,,,,0.0,,,,,
subcutaneous adipose tissue,,,,,,,40.381,,,,,
substantia nigra,,,,,,,39.92333333333333,,,,,
sural nerve,,,,,,,0.0,,,,,
synovial membrane of synovial joint,,,,0.0,,,,,,,,
thoracic aorta,,,,,,,40.5,,,,,
thoracic mammary gland,,,,,,,37.98125,,,,,
tibial artery,,,,,,,41.332,,,,,
tibial nerve,,,,,,,40.20111111111111,,,,,
tip of external ear,,,,,31.39,,,,,,,
tongue,,0.0,,,,,,,,,,
tonsil,,,,,,,0.0,,,,,
transverse colon,,,,,,,37.872,,,,,
triceps brachii,,,,0.0,,,,,,,,
trophectoderm,,,,0.0,,,,,,,,
trophoblast,,,,0.0,,,,,,,,
undifferentiated genital tubercle,,,,,,,,,0.0,,,
upper lobe of left lung,,,,,,,36.86,,,,,
uterine cervix,,,,,,,40.12,,,,,
vagina,,,,,,,39.472,,,,,
vermiform appendix,,,,,,,0.0,,,,,
white adipose tissue,,,,,,,,,0.0,,,
yolk sac,,,,,,,,,0.0,,,
