tissue,bos_taurus,canis_lupus_familiaris,equus_caballus,felis_catus,human
anterior cingulate cortex,,,,,29.63
anterior segment of eyeball,60.94,,,,
aorta,45.97,,,,
ascending aorta,,,,,34.964
body of pancreas,,,,,34.50333333333333
body of stomach,,,,,37.561
body of uterus,,,,,38.24
bone marrow cell,,,,,97.24
brainstem,,,57.71,,
caecum,68.17333333333333,,,,
calcaneal tendon,,,,,85.762
caput epididymis,53.01,,,,
cardiac muscle of left ventricle,,43.77,,,
cardiac ventricle,45.57,,,,
caudate nucleus,,,,,34.019999999999996
cerebellum,,,80.2925,,
colonic epithelium,,,,,73.21
conceptus,97.99,,,,
corpus callosum,,,,,86.745
corpus epididymis,72.82,,,,
cumulus cell,56.34,,,,
descending colon,64.10333333333334,,,,
descending thoracic aorta,,,,,44.26
diaphragm,57.705,,,,
digestive system secreted substance,48.42,,,,
dorsal thalamus,42.67,,,,
dorsolateral prefrontal cortex,,,,,34.123333333333335
ectocervix,,,,,71.45
endocervix,,,,,56.665
esophagogastric junction muscularis propria,,,,,32.982
esophagus,,,,,44.975
esophagus mucosa,,,,,54.6109090909091
eyeball of camera-type eye,,,,31.53,
fallopian tube,,,,,26.66
fundus of stomach,,,,,50.01
ganglionic eminence,,,,,57.155
gastrocnemius,,,,,29.52
gluteal muscle,45.96,,,,
gluteus medius,,,26.08,,
granulocyte,,,,,66.43
granulosa cell,52.25,,,,
hindlimb stylopod muscle,,,,,49.01
hypothalamus,,,,,36.92
ileocecal valve,63.52,,,,
ileum,70.896,,,,
inner cell mass,,,71.985,,
intercostal muscle,66.76,,,,
intestine,,,,,81.9225
intramuscular adipose tissue,42.269999999999996,,,,
islet of Langerhans,,,,,37.207499999999996
isthmus of fallopian tube,50.485,,,,
large intestine,,33.12,,,
laryngeal cartilage,60.34,,,,
left adrenal gland,,,,,41.9525
left adrenal gland cortex,,,,,52.345
left coronary artery,,,,,47.49666666666667
left lobe of thyroid gland,,,,,34.3725
left ovary,,,,,44.362
left testis,,,,,27.444
longissimus muscle,75.68666666666667,,,,
longissimus thoracis muscle,42.68125,,,,
lower esophagus,,,,,31.48
lower esophagus mucosa,,,,,73.05
lower esophagus muscularis layer,,,,,32.107777777777784
male germ line stem cell (sensu Vertebrata) in testis,,,,,88.5
mammary gland,43.70333333333334,,,,
mammary gland fat,54.44,,,,
mesenteric lymph node,63.695,,,,
midbrain,39.59,,,,
milk,48.55,,,,
minor salivary gland,,,,,49.06
mitral valve,,68.25,,,
mucosa of transverse colon,,,,,54.22
muscle layer of sigmoid colon,,,,,39.06777777777778
muscle of leg,,,,,33.61
myometrium,,,,,38.7125
nasal cavity mucosa,71.69999999999999,,,,
nasopharynx,53.88,,,,
neurohypophysis,50.825,,,,
neutrophil,78.03,,,,
nucleus accumbens,,,,,28.763333333333335
occipital lobe,,35.56,,,
omasum,44.49,,,,
oocyte,69.29,,,,
pharyngeal tonsil,55.84,,,,
pons,55.974999999999994,,,,
popliteal artery,,,,,30.59
prefrontal cortex,,,,,38.86
primary visual cortex,,,,,49.75
primordial germ cell in gonad,,,,,85.55
prostate gland,,,,,50.80125
putamen,,,,,37.53666666666666
rectum,,,,,33.32
renal medulla,58.34,,,,
retina,48.14,,,,
retropharyngeal lymph node,54.76,,,,
right adrenal gland,,,,,50.010000000000005
right adrenal gland cortex,,,,,42.445
right atrium auricular region,,,,,43.2575
right frontal lobe,,,,,29.9
right hemisphere of cerebellum,,,,,23.74
right lobe of liver,,,,,49.27285714285714
right lobe of thyroid gland,,,,,34.53
right lung,,,,,68.98
right ovary,,,,,45.06
right testis,,,,,37.489999999999995
right uterine tube,,,,,47.46
rumen,74.15,,,,
rumen epithelium,62.343333333333334,,,,
rumen papilla,45.56,,,,
scapular muscle,34.2,,,,
semitendinosus,50.826666666666675,,,,
skeletal muscle tissue,46.4475,,,,
skin of abdomen,,,,,47.63666666666667
skin of leg,,,,,40.94555555555556
small intestine Peyer's patch,,,,,42.03333333333333
