gene_class,genes,rows,mean_range,median_range,p05_range,p10_range,p90_range,p95_range,min_range,max_range,global_p90_hits,global_p95_hits,global_p05_hits,global_p10_hits
clustered,15,271,52.592741408610685,53.120000000000005,15.784090909090908,25.56,80.2925,88.06,0.0,99.63,39,20,9,9
variant,7,188,18.55458599227952,10.955054347826092,2.9035000000000073,4.018499999999996,42.105500000000006,66.28822000000008,1.2325000000000017,86.695,7,3,14,37
