gene_name,gene_class,tissue,candidate_level,species_n,combo_range,max_species,max_species_name,min_species,min_species_name,species_high,species_high_name,high_score,species_low,species_low_name,low_score,abs_diff
H2AC6,clustered,cerebellum,high_confidence,6,54.21416666666667,equus_caballus,Equus caballus,bos_taurus,Bos taurus,macaca_mulatta,Macaca mulatta,75.826,bos_taurus,Bos taurus,43.593333333333334,32.23266666666666
H2AC11,clustered,testis,high_confidence,6,54.6725,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,macaca_mulatta,Macaca mulatta,63.32666666666666,canis_lupus_familiaris,Canis lupus familiaris,31.3475,31.97916666666666
H2AC25,clustered,colon,conservative,4,51.99000000000001,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,72.10499999999999,canis_lupus_familiaris,Canis lupus familiaris,40.16,31.944999999999993
H2AC1,clustered,testis,high_confidence,7,58.35499999999999,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,mus_musculus,Mus musculus,67.905,felis_catus,Felis catus,35.96333333333333,31.94166666666667
H2AC20,clustered,testis,high_confidence,5,54.83666666666667,macaca_mulatta,Macaca mulatta,equus_caballus,Equus caballus,felis_catus,Felis catus,79.07000000000001,human,Homo sapiens,47.2325,31.837500000000006
H2AC19,clustered,testis,conservative,4,50.38666666666666,human,Homo sapiens,bos_taurus,Bos taurus,equus_caballus,Equus caballus,77.53,bos_taurus,Bos taurus,45.86333333333334,31.666666666666664
H2AC6,clustered,cerebellum,high_confidence,6,54.21416666666667,equus_caballus,Equus caballus,bos_taurus,Bos taurus,human,Homo sapiens,75.08500000000001,bos_taurus,Bos taurus,43.593333333333334,31.491666666666674
H2AC6,clustered,spleen,high_confidence,6,65.41,pan_troglodytes,Pan troglodytes,felis_catus,Felis catus,pan_troglodytes,Pan troglodytes,96.45,bos_taurus,Bos taurus,65.19,31.260000000000005
H2AC6,clustered,prefrontal cortex,high_confidence,6,68.39111111111113,human,Homo sapiens,felis_catus,Felis catus,macaca_mulatta,Macaca mulatta,71.87,bos_taurus,Bos taurus,41.08,30.790000000000006
H2AC19,clustered,bone marrow,high_confidence,4,68.0,pan_troglodytes,Pan troglodytes,equus_caballus,Equus caballus,pan_troglodytes,Pan troglodytes,99.75,bos_taurus,Bos taurus,69.07,30.680000000000007
H2AC20,clustered,testis,high_confidence,5,54.83666666666667,macaca_mulatta,Macaca mulatta,equus_caballus,Equus caballus,felis_catus,Felis catus,79.07000000000001,bos_taurus,Bos taurus,48.7625,30.307500000000005
H2AX,variant,adipose tissue,conservative,5,48.96000000000001,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,macaca_mulatta,Macaca mulatta,70.81,canis_lupus_familiaris,Canis lupus familiaris,40.66,30.150000000000006
H2AC21,clustered,colon,high_confidence,5,64.365,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,pan_troglodytes,Pan troglodytes,61.73,macaca_mulatta,Macaca mulatta,31.62,30.109999999999996
