gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level,low_variability_level,is_low_variability_p05,is_low_variability_p10
H2AC1,frontal cortex,clustered,7,6,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True
H2AC1,skeletal muscle tissue,clustered,7,6,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True
H2AC1,cerebral cortex,clustered,7,5,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True
H2AC1,adipose tissue,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True
H2AC1,hypothalamus,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True
H2AC1,lymph node,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True
H2AC1,ovary,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True
H2AC1,pituitary gland,clustered,7,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True
H2AC11,metanephros cortex,clustered,6,4,0.0,0.0,0.0,0.0,0.0,0.0,bos_taurus,Bos taurus,0.0,bos_taurus,Bos taurus,0.0,True,False,False,background,p10,True,True
H2AZ1,thymus,variant,8,4,98.983125,99.00999999999999,0.575504760333629,98.34,99.5725,1.2325000000000017,human,Homo sapiens,99.5725,pan_troglodytes,Pan troglodytes,98.34,True,False,False,background,p10,True,True
