gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level,low_variability_level,is_low_variability_p05,is_low_variability_p10
H2AC6,cerebellum,clustered,7,6,70.83947222222223,75.4555,18.896832181734318,43.593333333333334,97.8075,54.21416666666667,equus_caballus,Equus caballus,97.8075,bos_taurus,Bos taurus,43.593333333333334,True,True,True,high_confidence,background,False,False
H2AC8,brain,clustered,6,4,56.58207236842105,48.3066447368421,24.517257886723524,37.85,91.86500000000001,54.01500000000001,felis_catus,Felis catus,91.86500000000001,bos_taurus,Bos taurus,37.85,True,True,False,conservative,background,False,False
H2AC14,colon,clustered,7,4,59.64194444444444,49.733888888888885,25.22034070931293,42.62,96.47999999999999,53.85999999999999,sus_scrofa,Sus scrofa,96.47999999999999,macaca_mulatta,Macaca mulatta,42.62,True,True,False,conservative,background,False,False
H2AC21,testis,clustered,6,4,58.05833333333334,55.528333333333336,22.74009975873098,33.68666666666667,87.49,53.80333333333333,sus_scrofa,Sus scrofa,87.49,equus_caballus,Equus caballus,33.68666666666667,True,True,False,conservative,background,False,False
H2AC13,bone marrow,clustered,7,5,70.02000000000001,75.53999999999999,21.770608627229507,40.5,93.62,53.120000000000005,equus_caballus,Equus caballus,93.62,canis_lupus_familiaris,Canis lupus familiaris,40.5,True,True,False,conservative,background,False,False
H2AC25,ovary,clustered,6,4,66.09833333333333,63.91,24.304154765983718,41.75,94.82333333333334,53.07333333333334,sus_scrofa,Sus scrofa,94.82333333333334,canis_lupus_familiaris,Canis lupus familiaris,41.75,True,True,False,conservative,background,False,False
H2AC25,hypothalamus,clustered,6,4,48.2078125,41.565,22.957854737336085,28.35,81.35125,53.00124999999999,human,Homo sapiens,81.35125,canis_lupus_familiaris,Canis lupus familiaris,28.35,True,True,False,conservative,background,False,False
H2AC13,cerebellum,clustered,7,4,56.790625000000006,59.97,23.072985179231114,27.325,79.89750000000001,52.572500000000005,equus_caballus,Equus caballus,79.89750000000001,human,Homo sapiens,27.325,True,True,False,conservative,background,False,False
H2AC25,colon,clustered,6,4,62.91375,59.6725,23.82321674858372,40.16,92.15,51.99000000000001,sus_scrofa,Sus scrofa,92.15,canis_lupus_familiaris,Canis lupus familiaris,40.16,True,True,False,conservative,background,False,False
H2AC25,cerebral cortex,clustered,6,5,69.308,80.33,23.19453992861251,42.875,94.01,51.135000000000005,sus_scrofa,Sus scrofa,94.01,canis_lupus_familiaris,Canis lupus familiaris,42.875,True,True,False,conservative,background,False,False
H2AC7,bone marrow,clustered,5,4,63.933749999999996,64.3475,20.581271978427377,38.32,88.72,50.4,equus_caballus,Equus caballus,88.72,canis_lupus_familiaris,Canis lupus familiaris,38.32,True,True,False,conservative,background,False,False
H2AC19,testis,clustered,4,4,78.86583333333334,86.675,23.66856195462664,45.86333333333334,96.25,50.38666666666666,human,Homo sapiens,96.25,bos_taurus,Bos taurus,45.86333333333334,True,True,False,conservative,background,False,False
H2AX,adipose tissue,variant,8,5,70.53299999999999,74.88,18.12217619382396,40.66,89.62,48.96000000000001,sus_scrofa,Sus scrofa,89.62,canis_lupus_familiaris,Canis lupus familiaris,40.66,True,True,False,conservative,background,False,False
H2AC20,liver,clustered,5,4,70.76676948051949,74.17068181818182,21.387605297455416,42.92,91.80571428571429,48.885714285714286,macaca_mulatta,Macaca mulatta,91.80571428571429,equus_caballus,Equus caballus,42.92,True,True,False,conservative,background,False,False
H2AC6,testis,clustered,7,7,51.61577380952381,48.74,17.098025952138066,32.96333333333333,81.27,48.306666666666665,human,Homo sapiens,81.27,felis_catus,Felis catus,32.96333333333333,True,True,False,conservative,background,False,False
MACROH2A2,zone of skin,variant,8,5,57.66133333333333,64.92666666666666,18.544626145837746,30.5,78.57000000000001,48.07000000000001,human,Homo sapiens,78.57000000000001,felis_catus,Felis catus,30.5,True,True,False,conservative,background,False,False
