gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,oocyte,90.05,H2AC21:VGNC:83604,clustered,90.05
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,theca cell,48.76,H2AC21:VGNC:83604,clustered,48.76
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,monocyte,54.13,H2AC21:VGNC:83604,clustered,54.13
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,cumulus cell,69.24,H2AC21:VGNC:83604,clustered,69.24
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,82.45,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,45.2,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,81.27,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,55.15,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,56.26,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,57.7,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,55.6,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,44.98,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,81.97,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,77.62,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,leukocyte,54.22,H2AC21:VGNC:83604,clustered,62.947272727272725
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,neutrophil,88.75,H2AC21:VGNC:83604,clustered,88.75
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,uterine cervix,60.02,H2AC21:VGNC:83604,clustered,60.05500000000001
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,uterine cervix,60.09,H2AC21:VGNC:83604,clustered,60.05500000000001
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,pituitary gland,41.71,H2AC21:VGNC:83604,clustered,50.605
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,pituitary gland,47.33,H2AC21:VGNC:83604,clustered,50.605
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,pituitary gland,45.95,H2AC21:VGNC:83604,clustered,50.605
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,pituitary gland,55.94,H2AC21:VGNC:83604,clustered,50.605
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,pituitary gland,58.51,H2AC21:VGNC:83604,clustered,50.605
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,pituitary gland,54.19,H2AC21:VGNC:83604,clustered,50.605
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,zone of skin,49.74,H2AC21:VGNC:83604,clustered,46.25
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,zone of skin,50.93,H2AC21:VGNC:83604,clustered,46.25
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,zone of skin,38.08,H2AC21:VGNC:83604,clustered,46.25
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,lymph node,52.62,H2AC21:VGNC:83604,clustered,54.965
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,lymph node,57.31,H2AC21:VGNC:83604,clustered,54.965
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,ureter,47.96,H2AC21:VGNC:83604,clustered,47.980000000000004
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,ureter,48.0,H2AC21:VGNC:83604,clustered,47.980000000000004
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,urethra,47.57,H2AC21:VGNC:83604,clustered,47.54
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,urethra,47.51,H2AC21:VGNC:83604,clustered,47.54
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,adult mammalian kidney,43.3,H2AC21:VGNC:83604,clustered,43.98
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,adult mammalian kidney,44.98,H2AC21:VGNC:83604,clustered,43.98
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,adult mammalian kidney,43.66,H2AC21:VGNC:83604,clustered,43.98
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,blood,53.59,H2AC21:VGNC:83604,clustered,53.462500000000006
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,blood,54.46,H2AC21:VGNC:83604,clustered,53.462500000000006
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,blood,52.28,H2AC21:VGNC:83604,clustered,53.462500000000006
H2AC21,bos_taurus,Bos taurus,ENSBTAG00000032456,blood,53.52,H2AC21:VGNC:83604,clustered,53.462500000000006
