gene_name,gene_class,tissue,candidate_level,species_n,combo_range,max_species,max_species_name,min_species,min_species_name,species_high,species_high_name,high_score,species_low,species_low_name,low_score,abs_diff
H2AC8,clustered,bone marrow,high_confidence,4,99.38,pan_troglodytes,Pan troglodytes,bos_taurus,Bos taurus,equus_caballus,Equus caballus,85.07,bos_taurus,Bos taurus,0.0,85.07
H2AC6,clustered,zone of skin,high_confidence,5,84.56857142857143,human,Homo sapiens,felis_catus,Felis catus,human,Homo sapiens,84.56857142857143,felis_catus,Felis catus,0.0,84.56857142857143
H2AC13,clustered,kidney,high_confidence,4,84.275,mus_musculus,Mus musculus,macaca_mulatta,Macaca mulatta,mus_musculus,Mus musculus,84.275,macaca_mulatta,Macaca mulatta,0.0,84.275
MACROH2A2,variant,metanephros cortex,high_confidence,4,83.965,human,Homo sapiens,sus_scrofa,Sus scrofa,human,Homo sapiens,83.965,sus_scrofa,Sus scrofa,0.0,83.965
H2AC13,clustered,kidney,high_confidence,4,84.275,mus_musculus,Mus musculus,macaca_mulatta,Macaca mulatta,human,Homo sapiens,82.935,macaca_mulatta,Macaca mulatta,0.0,82.935
H2AC17,clustered,kidney,high_confidence,4,82.89,human,Homo sapiens,macaca_mulatta,Macaca mulatta,human,Homo sapiens,82.89,macaca_mulatta,Macaca mulatta,0.0,82.89
H2AC17,clustered,kidney,high_confidence,4,82.89,human,Homo sapiens,macaca_mulatta,Macaca mulatta,human,Homo sapiens,82.89,sus_scrofa,Sus scrofa,0.0,82.89
MACROH2A2,variant,liver,high_confidence,8,82.71000000000001,human,Homo sapiens,equus_caballus,Equus caballus,human,Homo sapiens,82.71000000000001,equus_caballus,Equus caballus,0.0,82.71000000000001
MACROH2A2,variant,liver,high_confidence,8,82.71000000000001,human,Homo sapiens,equus_caballus,Equus caballus,human,Homo sapiens,82.71000000000001,macaca_mulatta,Macaca mulatta,0.0,82.71000000000001
H2AC20,clustered,cerebellum,conservative,4,82.508,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,82.508,bos_taurus,Bos taurus,0.0,82.508
H2AC14,clustered,cerebral cortex,conservative,6,82.47,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,82.47,canis_lupus_familiaris,Canis lupus familiaris,0.0,82.47
H2AC14,clustered,cerebral cortex,conservative,6,82.47,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,82.47,macaca_mulatta,Macaca mulatta,0.0,82.47
H2AC20,clustered,liver,high_confidence,5,91.80571428571427,macaca_mulatta,Macaca mulatta,bos_taurus,Bos taurus,felis_catus,Felis catus,82.265,bos_taurus,Bos taurus,0.0,82.265
MACROH2A2,variant,colon,conservative,6,82.135,human,Homo sapiens,sus_scrofa,Sus scrofa,human,Homo sapiens,82.135,sus_scrofa,Sus scrofa,0.0,82.135
H2AC25,clustered,zone of skin,conservative,4,81.97,human,Homo sapiens,felis_catus,Felis catus,human,Homo sapiens,81.97,felis_catus,Felis catus,0.0,81.97
H2AC6,clustered,prefrontal cortex,conservative,7,81.88111111111112,human,Homo sapiens,equus_caballus,Equus caballus,human,Homo sapiens,81.88111111111112,equus_caballus,Equus caballus,0.0,81.88111111111112
MACROH2A2,variant,lung,conservative,6,81.59,canis_lupus_familiaris,Canis lupus familiaris,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,81.59,pan_troglodytes,Pan troglodytes,0.0,81.59
H2AC14,clustered,testis,high_confidence,7,94.05,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,94.05,felis_catus,Felis catus,12.78,81.27
H2AC14,clustered,kidney,conservative,4,81.15,human,Homo sapiens,macaca_mulatta,Macaca mulatta,human,Homo sapiens,81.15,macaca_mulatta,Macaca mulatta,0.0,81.15
H2AC14,clustered,kidney,conservative,4,81.15,human,Homo sapiens,macaca_mulatta,Macaca mulatta,human,Homo sapiens,81.15,sus_scrofa,Sus scrofa,0.0,81.15
H2AC20,clustered,spleen,conservative,4,80.99000000000001,macaca_mulatta,Macaca mulatta,bos_taurus,Bos taurus,macaca_mulatta,Macaca mulatta,80.99000000000001,bos_taurus,Bos taurus,0.0,80.99000000000001
MACROH2A2,variant,lymph node,conservative,5,80.63166666666666,human,Homo sapiens,pan_troglodytes,Pan troglodytes,human,Homo sapiens,80.63166666666666,pan_troglodytes,Pan troglodytes,0.0,80.63166666666666
MACROH2A2,variant,lymph node,conservative,5,80.63166666666666,human,Homo sapiens,pan_troglodytes,Pan troglodytes,human,Homo sapiens,80.63166666666666,sus_scrofa,Sus scrofa,0.0,80.63166666666666
H2AC21,clustered,lymph node,conservative,4,80.35,pan_troglodytes,Pan troglodytes,sus_scrofa,Sus scrofa,pan_troglodytes,Pan troglodytes,80.35,sus_scrofa,Sus scrofa,0.0,80.35
H2AC7,clustered,cerebellum,conservative,4,80.2925,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,80.2925,bos_taurus,Bos taurus,0.0,80.2925
H2AC7,clustered,cerebellum,conservative,4,80.2925,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,80.2925,canis_lupus_familiaris,Canis lupus familiaris,0.0,80.2925
H2AC7,clustered,cerebellum,conservative,4,80.2925,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,80.2925,human,Homo sapiens,0.0,80.2925
H2AC11,clustered,cerebellum,conservative,6,79.93,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,79.93,bos_taurus,Bos taurus,0.0,79.93
H2AC11,clustered,cerebellum,conservative,6,79.93,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,79.93,human,Homo sapiens,0.0,79.93
H2AC11,clustered,cerebellum,conservative,6,79.93,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,79.93,macaca_mulatta,Macaca mulatta,0.0,79.93
H2AC11,clustered,cerebellum,conservative,6,79.93,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,79.93,sus_scrofa,Sus scrofa,0.0,79.93
H2AC13,clustered,cerebellum,conservative,6,79.89750000000001,equus_caballus,Equus caballus,canis_lupus_familiaris,Canis lupus familiaris,equus_caballus,Equus caballus,79.89750000000001,canis_lupus_familiaris,Canis lupus familiaris,0.0,79.89750000000001
H2AC13,clustered,cerebellum,conservative,6,79.89750000000001,equus_caballus,Equus caballus,canis_lupus_familiaris,Canis lupus familiaris,equus_caballus,Equus caballus,79.89750000000001,macaca_mulatta,Macaca mulatta,0.0,79.89750000000001
H2AC6,clustered,zone of skin,high_confidence,5,84.56857142857143,human,Homo sapiens,felis_catus,Felis catus,canis_lupus_familiaris,Canis lupus familiaris,79.69142857142857,felis_catus,Felis catus,0.0,79.69142857142857
H2AC21,clustered,lung,conservative,5,79.635,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,sus_scrofa,Sus scrofa,79.635,macaca_mulatta,Macaca mulatta,0.0,79.635
MACROH2A2,variant,lung,conservative,6,81.59,canis_lupus_familiaris,Canis lupus familiaris,pan_troglodytes,Pan troglodytes,human,Homo sapiens,79.4875,pan_troglodytes,Pan troglodytes,0.0,79.4875
H2AC12,clustered,kidney,conservative,5,79.3925,human,Homo sapiens,macaca_mulatta,Macaca mulatta,human,Homo sapiens,79.3925,macaca_mulatta,Macaca mulatta,0.0,79.3925
H2AC12,clustered,kidney,conservative,5,79.3925,human,Homo sapiens,macaca_mulatta,Macaca mulatta,human,Homo sapiens,79.3925,sus_scrofa,Sus scrofa,0.0,79.3925
H2AC14,clustered,skeletal muscle tissue,conservative,6,78.27000000000001,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,78.27000000000001,canis_lupus_familiaris,Canis lupus familiaris,0.0,78.27000000000001
H2AC14,clustered,skeletal muscle tissue,conservative,6,78.27000000000001,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,78.27000000000001,human,Homo sapiens,0.0,78.27000000000001
H2AC14,clustered,skeletal muscle tissue,conservative,6,78.27000000000001,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,78.27000000000001,macaca_mulatta,Macaca mulatta,0.0,78.27000000000001
H2AC25,clustered,bone marrow,conservative,4,78.26,human,Homo sapiens,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,78.26,canis_lupus_familiaris,Canis lupus familiaris,0.0,78.26
H2AC13,clustered,thymus,conservative,4,78.1225,mus_musculus,Mus musculus,human,Homo sapiens,mus_musculus,Mus musculus,78.1225,human,Homo sapiens,0.0,78.1225
H2AC14,clustered,spleen,conservative,7,77.968,sus_scrofa,Sus scrofa,felis_catus,Felis catus,sus_scrofa,Sus scrofa,77.968,felis_catus,Felis catus,0.0,77.968
H2AC14,clustered,spleen,conservative,7,77.968,sus_scrofa,Sus scrofa,felis_catus,Felis catus,sus_scrofa,Sus scrofa,77.968,macaca_mulatta,Macaca mulatta,0.0,77.968
H2AC12,clustered,bone marrow,conservative,4,77.07,human,Homo sapiens,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,77.07,canis_lupus_familiaris,Canis lupus familiaris,0.0,77.07
H2AB3,variant,testis,conservative,5,76.43928571428572,mus_musculus,Mus musculus,canis_lupus_familiaris,Canis lupus familiaris,mus_musculus,Mus musculus,76.43928571428572,canis_lupus_familiaris,Canis lupus familiaris,0.0,76.43928571428572
H2AC13,clustered,liver,conservative,7,76.03999999999999,felis_catus,Felis catus,equus_caballus,Equus caballus,felis_catus,Felis catus,76.03999999999999,equus_caballus,Equus caballus,0.0,76.03999999999999
H2AC14,clustered,bone marrow,high_confidence,4,99.63,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,75.65,canis_lupus_familiaris,Canis lupus familiaris,0.0,75.65
H2AC25,clustered,metanephros cortex,conservative,4,75.5,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,75.5,canis_lupus_familiaris,Canis lupus familiaris,0.0,75.5
H2AB3,variant,testis,conservative,5,76.43928571428572,mus_musculus,Mus musculus,canis_lupus_familiaris,Canis lupus familiaris,equus_caballus,Equus caballus,75.44,canis_lupus_familiaris,Canis lupus familiaris,0.0,75.44
H2AC6,clustered,prefrontal cortex,conservative,7,81.88111111111112,human,Homo sapiens,equus_caballus,Equus caballus,pan_troglodytes,Pan troglodytes,74.22181818181818,equus_caballus,Equus caballus,0.0,74.22181818181818
H2AC8,clustered,bone marrow,high_confidence,4,99.38,pan_troglodytes,Pan troglodytes,bos_taurus,Bos taurus,human,Homo sapiens,74.065,bos_taurus,Bos taurus,0.0,74.065
H2AC25,clustered,colon,high_confidence,5,92.15,sus_scrofa,Sus scrofa,pan_troglodytes,Pan troglodytes,human,Homo sapiens,72.10499999999999,pan_troglodytes,Pan troglodytes,0.0,72.10499999999999
MACROH2A2,variant,thymus,high_confidence,4,86.695,human,Homo sapiens,pan_troglodytes,Pan troglodytes,bos_taurus,Bos taurus,72.1,pan_troglodytes,Pan troglodytes,0.0,72.1
H2AC13,clustered,thymus,conservative,4,78.1225,mus_musculus,Mus musculus,human,Homo sapiens,bos_taurus,Bos taurus,72.0,human,Homo sapiens,0.0,72.0
H2AC6,clustered,prefrontal cortex,conservative,7,81.88111111111112,human,Homo sapiens,equus_caballus,Equus caballus,macaca_mulatta,Macaca mulatta,71.87,equus_caballus,Equus caballus,0.0,71.87
H2AC13,clustered,cerebellum,conservative,6,79.89750000000001,equus_caballus,Equus caballus,canis_lupus_familiaris,Canis lupus familiaris,bos_taurus,Bos taurus,69.31666666666666,canis_lupus_familiaris,Canis lupus familiaris,0.0,69.31666666666666
H2AC13,clustered,cerebellum,conservative,6,79.89750000000001,equus_caballus,Equus caballus,canis_lupus_familiaris,Canis lupus familiaris,bos_taurus,Bos taurus,69.31666666666666,macaca_mulatta,Macaca mulatta,0.0,69.31666666666666
H2AC25,clustered,bone marrow,conservative,4,78.26,human,Homo sapiens,canis_lupus_familiaris,Canis lupus familiaris,pan_troglodytes,Pan troglodytes,69.23,canis_lupus_familiaris,Canis lupus familiaris,0.0,69.23
H2AC20,clustered,spleen,conservative,4,80.99000000000001,macaca_mulatta,Macaca mulatta,bos_taurus,Bos taurus,human,Homo sapiens,68.82090909090908,bos_taurus,Bos taurus,0.0,68.82090909090908
H2AC6,clustered,prefrontal cortex,conservative,7,81.88111111111112,human,Homo sapiens,equus_caballus,Equus caballus,human,Homo sapiens,81.88111111111112,felis_catus,Felis catus,13.49,68.39111111111113
MACROH2A2,variant,liver,high_confidence,8,82.71000000000001,human,Homo sapiens,equus_caballus,Equus caballus,felis_catus,Felis catus,68.08,equus_caballus,Equus caballus,0.0,68.08
MACROH2A2,variant,liver,high_confidence,8,82.71000000000001,human,Homo sapiens,equus_caballus,Equus caballus,felis_catus,Felis catus,68.08,macaca_mulatta,Macaca mulatta,0.0,68.08
H2AC14,clustered,ovary,high_confidence,4,91.06666666666666,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,91.06666666666666,human,Homo sapiens,23.1,67.96666666666667
H2AC20,clustered,brain,high_confidence,4,93.995,felis_catus,Felis catus,bos_taurus,Bos taurus,macaca_mulatta,Macaca mulatta,67.4925,bos_taurus,Bos taurus,0.0,67.4925
H2AC20,clustered,cerebellum,conservative,4,82.508,equus_caballus,Equus caballus,bos_taurus,Bos taurus,macaca_mulatta,Macaca mulatta,66.94800000000001,bos_taurus,Bos taurus,0.0,66.94800000000001
H2AC11,clustered,bone marrow,high_confidence,4,94.42,equus_caballus,Equus caballus,bos_taurus,Bos taurus,canis_lupus_familiaris,Canis lupus familiaris,66.63,bos_taurus,Bos taurus,0.0,66.63
H2AC20,clustered,adult mammalian kidney,high_confidence,5,86.03666666666668,macaca_mulatta,Macaca mulatta,bos_taurus,Bos taurus,human,Homo sapiens,66.4709090909091,bos_taurus,Bos taurus,0.0,66.4709090909091
H2AC20,clustered,liver,high_confidence,5,91.80571428571427,macaca_mulatta,Macaca mulatta,bos_taurus,Bos taurus,human,Homo sapiens,66.07636363636364,bos_taurus,Bos taurus,0.0,66.07636363636364
H2AC7,clustered,brain,high_confidence,4,96.09,felis_catus,Felis catus,canis_lupus_familiaris,Canis lupus familiaris,felis_catus,Felis catus,96.09,human,Homo sapiens,30.096666666666664,65.99333333333334
H2AC21,clustered,lung,conservative,5,79.635,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,pan_troglodytes,Pan troglodytes,64.92,macaca_mulatta,Macaca mulatta,0.0,64.92
H2AC14,clustered,spleen,conservative,7,77.968,sus_scrofa,Sus scrofa,felis_catus,Felis catus,pan_troglodytes,Pan troglodytes,64.72,felis_catus,Felis catus,0.0,64.72
H2AC14,clustered,spleen,conservative,7,77.968,sus_scrofa,Sus scrofa,felis_catus,Felis catus,pan_troglodytes,Pan troglodytes,64.72,macaca_mulatta,Macaca mulatta,0.0,64.72
H2AC21,clustered,lung,conservative,5,79.635,sus_scrofa,Sus scrofa,macaca_mulatta,Macaca mulatta,human,Homo sapiens,63.71428571428572,macaca_mulatta,Macaca mulatta,0.0,63.71428571428572
H2AC11,clustered,bone marrow,high_confidence,4,94.42,equus_caballus,Equus caballus,bos_taurus,Bos taurus,human,Homo sapiens,63.36,bos_taurus,Bos taurus,0.0,63.36
H2AC14,clustered,testis,high_confidence,7,94.05,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,94.05,human,Homo sapiens,31.56,62.489999999999995
H2AC21,clustered,testis,high_confidence,6,87.49,sus_scrofa,Sus scrofa,human,Homo sapiens,macaca_mulatta,Macaca mulatta,61.78666666666667,human,Homo sapiens,0.0,61.78666666666667
H2AC21,clustered,testis,high_confidence,6,87.49,sus_scrofa,Sus scrofa,human,Homo sapiens,macaca_mulatta,Macaca mulatta,61.78666666666667,pan_troglodytes,Pan troglodytes,0.0,61.78666666666667
H2AC25,clustered,metanephros cortex,conservative,4,75.5,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,human,Homo sapiens,61.645,canis_lupus_familiaris,Canis lupus familiaris,0.0,61.645
H2AC12,clustered,bone marrow,conservative,4,77.07,human,Homo sapiens,canis_lupus_familiaris,Canis lupus familiaris,equus_caballus,Equus caballus,61.6,canis_lupus_familiaris,Canis lupus familiaris,0.0,61.6
H2AC12,clustered,kidney,conservative,5,79.3925,human,Homo sapiens,macaca_mulatta,Macaca mulatta,human,Homo sapiens,79.3925,canis_lupus_familiaris,Canis lupus familiaris,18.66,60.7325
H2AC6,clustered,prefrontal cortex,conservative,7,81.88111111111112,human,Homo sapiens,equus_caballus,Equus caballus,pan_troglodytes,Pan troglodytes,74.22181818181818,felis_catus,Felis catus,13.49,60.73181818181818
H2AC14,clustered,testis,high_confidence,7,94.05,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,macaca_mulatta,Macaca mulatta,60.586666666666666,canis_lupus_familiaris,Canis lupus familiaris,0.0,60.586666666666666
H2AC14,clustered,testis,high_confidence,7,94.05,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,macaca_mulatta,Macaca mulatta,60.586666666666666,pan_troglodytes,Pan troglodytes,0.0,60.586666666666666
H2AC25,clustered,metanephros cortex,conservative,4,75.5,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,bos_taurus,Bos taurus,60.41,canis_lupus_familiaris,Canis lupus familiaris,0.0,60.41
H2AC6,clustered,prefrontal cortex,conservative,7,81.88111111111112,human,Homo sapiens,equus_caballus,Equus caballus,canis_lupus_familiaris,Canis lupus familiaris,60.07,equus_caballus,Equus caballus,0.0,60.07
H2AC25,clustered,bone marrow,conservative,4,78.26,human,Homo sapiens,canis_lupus_familiaris,Canis lupus familiaris,bos_taurus,Bos taurus,59.58,canis_lupus_familiaris,Canis lupus familiaris,0.0,59.58
H2AC14,clustered,cerebral cortex,conservative,6,82.47,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,82.47,human,Homo sapiens,23.27,59.2
H2AC17,clustered,testis,high_confidence,6,85.96,sus_scrofa,Sus scrofa,equus_caballus,Equus caballus,sus_scrofa,Sus scrofa,85.96,felis_catus,Felis catus,27.166666666666668,58.79333333333332
H2AC21,clustered,cerebellum,high_confidence,6,93.465,equus_caballus,Equus caballus,bos_taurus,Bos taurus,equus_caballus,Equus caballus,93.465,human,Homo sapiens,34.765,58.7
MACROH2A2,variant,thymus,high_confidence,4,86.695,human,Homo sapiens,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,58.64,pan_troglodytes,Pan troglodytes,0.0,58.64
H2AC14,clustered,testis,high_confidence,7,94.05,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,bos_taurus,Bos taurus,58.612,canis_lupus_familiaris,Canis lupus familiaris,0.0,58.612
H2AC14,clustered,testis,high_confidence,7,94.05,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,bos_taurus,Bos taurus,58.612,pan_troglodytes,Pan troglodytes,0.0,58.612
H2AC6,clustered,prefrontal cortex,conservative,7,81.88111111111112,human,Homo sapiens,equus_caballus,Equus caballus,macaca_mulatta,Macaca mulatta,71.87,felis_catus,Felis catus,13.49,58.38
H2AC21,clustered,cerebellum,high_confidence,6,93.465,equus_caballus,Equus caballus,bos_taurus,Bos taurus,sus_scrofa,Sus scrofa,92.675,human,Homo sapiens,34.765,57.91
H2AC8,clustered,cerebellum,high_confidence,5,94.955,equus_caballus,Equus caballus,bos_taurus,Bos taurus,human,Homo sapiens,57.72166666666666,bos_taurus,Bos taurus,0.0,57.72166666666666
H2AC14,clustered,cerebral cortex,conservative,6,82.47,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,sus_scrofa,Sus scrofa,82.47,pan_troglodytes,Pan troglodytes,25.39,57.08
H2AC19,clustered,adult mammalian kidney,high_confidence,4,92.61,pan_troglodytes,Pan troglodytes,equus_caballus,Equus caballus,pan_troglodytes,Pan troglodytes,92.61,bos_taurus,Bos taurus,35.64,56.97
MACROH2A2,variant,colon,conservative,6,82.135,human,Homo sapiens,sus_scrofa,Sus scrofa,canis_lupus_familiaris,Canis lupus familiaris,56.510000000000005,sus_scrofa,Sus scrofa,0.0,56.510000000000005
H2AC14,clustered,bone marrow,high_confidence,4,99.63,pan_troglodytes,Pan troglodytes,canis_lupus_familiaris,Canis lupus familiaris,bos_taurus,Bos taurus,56.21,canis_lupus_familiaris,Canis lupus familiaris,0.0,56.21
MACROH2A2,variant,liver,high_confidence,8,82.71000000000001,human,Homo sapiens,equus_caballus,Equus caballus,pan_troglodytes,Pan troglodytes,56.083333333333336,equus_caballus,Equus caballus,0.0,56.083333333333336
MACROH2A2,variant,liver,high_confidence,8,82.71000000000001,human,Homo sapiens,equus_caballus,Equus caballus,pan_troglodytes,Pan troglodytes,56.083333333333336,macaca_mulatta,Macaca mulatta,0.0,56.083333333333336
H2AC20,clustered,cerebellum,conservative,4,82.508,equus_caballus,Equus caballus,bos_taurus,Bos taurus,human,Homo sapiens,56.04,bos_taurus,Bos taurus,0.0,56.04
MACROH2A2,variant,colon,conservative,6,82.135,human,Homo sapiens,sus_scrofa,Sus scrofa,bos_taurus,Bos taurus,55.64,sus_scrofa,Sus scrofa,0.0,55.64
