species_dir,overall_rows,overall_min_hits,overall_max_hits,overall_min_share,overall_max_share,high_p90_rows,high_p90_min_hits,high_p90_max_hits,high_p90_min_share,high_p90_max_share,high_p95_rows,high_p95_min_hits,high_p95_max_hits,high_p95_min_share,high_p95_max_share,low_p05_rows,low_p05_min_hits,low_p05_max_hits,low_p05_min_share,low_p05_max_share,low_p10_rows,low_p10_min_hits,low_p10_max_hits,low_p10_min_share,low_p10_max_share
bos_taurus,459,130,67,0.28322440087145967,0.14596949891067537,46,11,0,0.2391304347826087,0.0,23,7,0,0.30434782608695654,0.0,23,15,11,0.6521739130434783,0.4782608695652174,46,23,13,0.5,0.2826086956521739
canis_lupus_familiaris,459,112,26,0.2440087145969499,0.05664488017429194,46,13,1,0.2826086956521739,0.021739130434782608,23,6,0,0.2608695652173913,0.0,23,0,0,0.0,0.0,46,3,2,0.06521739130434782,0.043478260869565216
equus_caballus,459,41,22,0.08932461873638345,0.04793028322440087,46,5,7,0.10869565217391304,0.15217391304347827,23,3,3,0.13043478260869565,0.13043478260869565,23,1,0,0.043478260869565216,0.0,46,3,0,0.06521739130434782,0.0
macaca_mulatta,459,40,29,0.08714596949891068,0.06318082788671024,46,5,3,0.10869565217391304,0.06521739130434782,23,2,2,0.08695652173913043,0.08695652173913043,23,0,3,0.0,0.13043478260869565,46,1,7,0.021739130434782608,0.15217391304347827
pan_troglodytes,459,39,39,0.08496732026143791,0.08496732026143791,46,4,4,0.08695652173913043,0.08695652173913043,23,2,3,0.08695652173913043,0.13043478260869565,23,3,2,0.13043478260869565,0.08695652173913043,46,6,4,0.13043478260869565,0.08695652173913043
sus_scrofa,459,34,55,0.07407407407407407,0.11982570806100218,46,3,12,0.06521739130434782,0.2608695652173913,23,1,7,0.043478260869565216,0.30434782608695654,23,3,0,0.13043478260869565,0.0,46,7,0,0.15217391304347827,0.0
felis_catus,459,33,16,0.0718954248366013,0.034858387799564274,46,3,3,0.06521739130434782,0.06521739130434782,23,1,2,0.043478260869565216,0.08695652173913043,23,0,0,0.0,0.0,46,0,1,0.0,0.021739130434782608
human,459,25,164,0.054466230936819175,0.3572984749455338,46,2,13,0.043478260869565216,0.2826086956521739,23,1,5,0.043478260869565216,0.21739130434782608,23,0,7,0.0,0.30434782608695654,46,1,19,0.021739130434782608,0.41304347826086957
mus_musculus,459,5,41,0.010893246187363835,0.08932461873638345,46,0,3,0.0,0.06521739130434782,23,0,1,0.0,0.043478260869565216,23,1,0,0.043478260869565216,0.0,46,2,0,0.043478260869565216,0.0
