gene_name,tissue,gene_class,gene_species_count,species_n,mean_score,median_score,std_score,min_score,max_score,range,max_species,max_species_name,_max_score_check,min_species,min_species_name,_min_score_check,passes_conservative_species_filter,is_conservative_candidate,is_high_confidence_candidate,candidate_level,low_variability_level,is_low_variability_p05,is_low_variability_p10,class_specific_low_level,class_specific_low_threshold
H2AC7,spleen,clustered,5,4,41.272045454545456,41.965,7.867059445008329,32.75,48.408181818181816,15.658181818181816,human,Homo sapiens,48.408181818181816,felis_catus,Felis catus,32.75,True,False,False,background,background,False,False,p10,25.56
H2AC1,prefrontal cortex,clustered,7,6,2.651666666666667,0.0,6.49523030128006,0.0,15.91,15.91,felis_catus,Felis catus,15.91,bos_taurus,Bos taurus,0.0,True,False,False,background,background,False,False,p10,25.56
H2AC15,liver,clustered,5,5,43.77916666666667,41.50833333333333,6.174754999638087,36.92,53.1625,16.2425,human,Homo sapiens,53.1625,felis_catus,Felis catus,36.92,True,False,False,background,background,False,False,p10,25.56
H2AC21,cortex of kidney,clustered,6,4,45.2925,44.485,7.765236098578503,36.66,55.54,18.880000000000003,macaca_mulatta,Macaca mulatta,55.54,pan_troglodytes,Pan troglodytes,36.66,True,False,False,background,background,False,False,p10,25.56
H2AC6,brain,clustered,7,5,73.39835714285714,73.44749999999999,8.20927704285381,64.19,83.14,18.950000000000003,felis_catus,Felis catus,83.14,canis_lupus_familiaris,Canis lupus familiaris,64.19,True,False,False,background,background,False,False,p10,25.56
H2AC11,muscle tissue,clustered,6,4,40.463541666666664,41.098749999999995,7.84112911060433,30.346666666666664,49.31,18.96333333333334,human,Homo sapiens,49.31,bos_taurus,Bos taurus,30.346666666666664,True,False,False,background,background,False,False,p10,25.56
H2AC6,pituitary gland,clustered,7,4,88.38214285714285,89.73761904761905,8.14802154758035,77.50333333333333,96.55,19.046666666666667,pan_troglodytes,Pan troglodytes,96.55,canis_lupus_familiaris,Canis lupus familiaris,77.50333333333333,True,False,False,background,background,False,False,p10,25.56
H2AC6,adipose tissue,clustered,7,4,79.69093137254902,79.6885294117647,8.95411948532076,69.88666666666667,89.5,19.61333333333333,macaca_mulatta,Macaca mulatta,89.5,bos_taurus,Bos taurus,69.88666666666667,True,False,False,background,background,False,False,p10,25.56
H2AC1,cortex of kidney,clustered,7,5,37.338,37.52,9.148962782742098,26.08,47.43,21.35,mus_musculus,Mus musculus,47.43,pan_troglodytes,Pan troglodytes,26.08,True,False,False,background,background,False,False,p10,25.56
H2AC25,liver,clustered,6,6,45.72311111111111,47.31,8.647423011553254,32.056666666666665,53.722,21.665333333333336,human,Homo sapiens,53.722,canis_lupus_familiaris,Canis lupus familiaris,32.056666666666665,True,False,False,background,background,False,False,p10,25.56
H2AC6,bone marrow,clustered,7,5,88.68971428571429,86.87,8.780226590446953,76.48,99.25,22.769999999999996,pan_troglodytes,Pan troglodytes,99.25,bos_taurus,Bos taurus,76.48,True,False,False,background,background,False,False,p10,25.56
H2AC6,kidney,clustered,7,4,78.43416666666667,79.1575,9.899639583787327,65.85,89.57166666666666,23.721666666666664,human,Homo sapiens,89.57166666666666,canis_lupus_familiaris,Canis lupus familiaris,65.85,True,False,False,background,background,False,False,p10,25.56
H2AC25,blood,clustered,6,4,68.07901041666666,67.47333333333333,10.187552492728598,56.3625,81.006875,24.644374999999997,human,Homo sapiens,81.006875,bos_taurus,Bos taurus,56.3625,True,False,False,background,background,False,False,p10,25.56
H2AC11,blood,clustered,6,5,56.42268571428572,58.120000000000005,10.079602036199807,44.25,69.79942857142858,25.549428571428578,human,Homo sapiens,69.79942857142858,bos_taurus,Bos taurus,44.25,True,False,False,background,background,False,False,p10,25.56
