tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
apex of heart,,,,,,,0.0,,,,,
articular cartilage of joint,,,,32.66,,,,,,,,
ascending aorta,,,,,,,32.61,,,,,
ascending colon,59.215,,,,,,,,,,,
biceps femoris,0.0,,,,,,,,,,,
body of pancreas,,,,,,,37.98,,,,,
body of stomach,,,,,,,33.175,,,,,
body of uterus,,,,,,,32.23,,,,,
bone marrow cell,,,,,,,98.6,,,,,
calcaneal tendon,,,,,,,83.856,,,,,
caput epididymis,48.59,,,,,,,,,,,
cardiac atrium,0.0,,,,,,,,,,,
cardiac muscle of left ventricle,,0.0,,,,,,,,,,
cardiac ventricle,0.0,,,,,,,,,,,
cartilage tissue,,36.54,,,,,,,,,,
caudate nucleus,,,,,,,28.57,,,,,
cerebellar hemisphere,,,,,,,0.0,,,,,
chorionic villus,,,,0.0,,,,,,,,
choroid plexus,0.0,,,,,,,,,,,
colonic epithelium,,,,,,,82.27,,,,,
conceptus,98.47,,,,,,,,,,,
corpus epididymis,67.55,,,,,,,,,,,
corpus luteum,56.38,,,,,,,,,,,
cortical plate,,,,,,,45.26,,,,,
cumulus cell,75.15,,,,,,,,,,,
descending colon,63.303333333333335,,,,,,,,,,,
descending thoracic aorta,,,,,,,0.0,,,,,
diaphragm,65.735,,,,,,,,,,,
digestive system secreted substance,67.47,,,,,,,,,,,
dorsal plus ventral thalamus,,,,,,,,,,,,0.0
dorsal thalamus,58.6,,,,,,,,,,,
ectocervix,,,,,,,49.105,,,,,
embryo,,,,0.0,,,,,,,,
endocardial endothelium,,,,,,,,,,,,0.0
endocervix,,,,,,,43.305,,,,,
epididymis,,,,,,,,,,,,0.0
epithelium of bronchus,,,,28.685,,,,,,,,
esophagogastric junction muscularis propria,,,,,,,35.564,,,,,
esophagus mucosa,,,,,,,37.46727272727273,,,,,
fallopian tube,,,,,,,29.0,,,,,
fibroblast,,,,,,,,45.19,,,,
floor plate of diencephalon,68.14,,,,,,,,,,,
forebrain,,,,,,,,,,,,25.55
forelimb bud,,,,,,,,,,,,0.0
fornix of vagina,66.145,,,,,,,,,,,
fundus of stomach,,,,,,,49.7775,,,,,
ganglionic eminence,,,,,,,54.645,,,,,
gastrocnemius,,,,,,,31.776666666666667,,,,,
gluteal muscle,64.13,,,,,,,,,,,
hair follicle,,0.0,,,,,,,,,,
head,,17.02,,,,,,,,,,
heart right ventricle,,0.0,,,,,,,,,,
hindlimb bud,,,,,,,,,,,,0.0
hippocampal formation,,,,,,,,,,,,0.0
ileocecal valve,65.86,,,,,,,,,,,
infraspinatus muscle,0.0,,,,,,,,,,,
inner cell mass,,,,58.95,,,,,,,,
intercostal muscle,53.83,,,,,,,,,,,
intestine,,,,,,,80.1,,,,,
intramuscular adipose tissue,57.375,,,,,,,,,,,
islet of Langerhans,,,,,,,36.395,,,,,
isthmus of fallopian tube,60.865,,,,,,,,,,,
keratinocyte,,0.0,,,,,,,,,,
large intestine,,38.13,,,,,,,,,,
laryngeal cartilage,56.375,,,,,,,,,,,
left adrenal gland,,,,,,,38.906666666666666,,,,,
left adrenal gland cortex,,,,,,,41.602,,,,,
left cardiac atrium,,0.0,,,,,,,,,,
left coronary artery,,,,,,,40.0825,,,,,
left lobe of thyroid gland,,,,,,,35.45,,,,,
left ovary,,,,,,,30.59,,,,,
left testis,,,,,,,52.96833333333333,,,,,
left uterine tube,,,,,,,27.6,,,,,
longissimus lumborum muscle,,,,,,,,,,,,0.0
longissimus muscle,72.35,,,,,,,,,,,
lower esophagus,,,,,,,34.34,,,,,
lower esophagus mucosa,,,,,,,0.0,,,,,
lower esophagus muscularis layer,,,,,,,34.40833333333333,,,,,
mammary gland fat,49.37,,,,,,,,,,,
material anatomical entity,,,,,,,,,,,,0.0
medulla oblongata,,,,,,,,,,,,0.0
midbrain,59.85,,,,,,,,,,,
milk,59.42,,,,,,,,,,,
minor salivary gland,,,,,,,36.6475,,,,,
mitral valve,,31.83,,,,,,,,,,
mucosa of stomach,,,,,,,0.0,,,,,
mucosa of transverse colon,,,,,,,58.4,,,,,
mucosa of urinary bladder,,0.0,,,,,,,,,,
muscle layer of sigmoid colon,,,,,,,36.45333333333333,,,,,
muscle of leg,,,,,,,33.19,,,,,
nasal cavity mucosa,70.16,,,,,,,,,,,
nasopharynx,63.4,,,,,,,,,,,
neurohypophysis,51.725,,,,,,,,,,,
neutrophil,69.43,,,,,,,,,,,
nose,,37.42,,,,,,,,,,
nucleus accumbens,,,,,,,0.0,,,,,
olfactory bulb,,0.0,,,,,,,,,,
omasum,59.175,,,,,,,,,,,
omentum,,,,,,,,,,,,0.0
parenchyma of mammary gland,54.44,,,,,,,,,,,
penis,,,,,,,,,,,,0.0
pharyngeal tonsil,63.4,,,,,,,,,,,
pigment epithelium of eye,52.035,,,,,,,,,,,
popliteal artery,,,,,,,37.31,,,,,
psoas major muscle,,,,,,,,,,,,0.0
putamen,,,,,,,27.48,,,,,
rectum,,,,,,,40.27,,,,,
rectus femoris,47.66,,,,,,,,,,,
retropharyngeal lymph node,61.7,,,,,,,,,,,
right adrenal gland,,,,,,,0.0,,,,,
right adrenal gland cortex,,,,,,,44.99,,,,,
right atrium auricular region,,,,,,,33.19,,,,,
right cardiac atrium,,0.0,,,,,,,,,,
right coronary artery,,,,,,,0.0,,,,,
right frontal lobe,,,,,,,0.0,,,,,
right hemisphere of cerebellum,,,,,,,0.0,,,,,
right lobe of thyroid gland,,,,,,,35.05,,,,,
right lung,,,,,,,0.0,,,,,
right ovary,,,,,,,33.85,,,,,
right testis,,,,,,,55.112,,,,,
right uterine tube,,,,,,,50.83,,,,,
rumen,70.128,,,,,,,,,,,
rumen epithelium,69.77333333333333,,,,,,,,,,,
rumen papilla,58.546666666666674,,,,,,,,,,,
ruminant reticulum,65.28999999999999,,,,,,,,,,,
scapular muscle,34.83,,,,,,,,,,,
semen,0.0,,,,,,,,,,,
semitendinosus,51.28,,,,,,,,,,,
skin of abdomen,,,,,,,33.5,,,,,
skin of leg,,,,,,,29.28,,,,,
small intestine Peyer's patch,,,,,,,45.11555555555555,,,,,
spiral colon,96.4,,,,,,,,,,,
stromal cell of endometrium,,,,,,,0.0,,,,,
substantia nigra,,,,,,,36.97,,,,,
supraspinatus muscle,0.0,,,,,,,,,,,
sural nerve,,,,,,,76.89500000000001,,,,,
surface of tongue,53.515,,,,,,,,,,,
synovial membrane of synovial joint,,,,0.0,,,,,,,,
temporal cortex,52.07,,,,,,,,,,,
theca cell,50.38,,,,,,,,,,,
thoracic aorta,,,,,,,31.883333333333336,,,,,
thoracic mammary gland,,,,,,,42.17,,,,,
tibial artery,,,,,,,33.61142857142857,,,,,
tibial nerve,,,,,,,36.64857142857142,,,,,
tongue muscle,50.97,,,,,,,,,,,
trachea,55.57,,,,,,,,,,,
transverse colon,,,,,,,45.436,,,,,
trophectoderm,,,,60.565,,,,,,,,
trophoblast,,,,49.45,,,,,,,,
upper lobe of left lung,,,,,,,40.292,,,,,
ureter,57.535,,,,,,,,,,,
urethra,50.67,,,,,,,,,,,
uterine horn,43.07,,,,,,,,,,,
uterine tube infundibulum,52.205,,,,,,,,,,,
vagina,,,,,,,35.95333333333333,,,,,
vas deferens,62.49,,,,,,,,,,,
ventricular zone,,,,,,,58.61,,,,,
vermiform appendix,,,,,,,30.88,,,,,
