tissue,bos_taurus,canis_lupus_familiaris,cavia_porcellus,equus_caballus,felis_catus,heterocephalus_glaber,human,macaca_mulatta,mus_musculus,oryctolagus_cuniculus,pan_troglodytes,sus_scrofa
adult mammalian kidney,40.86666666666667,31.75,,0.0,,,46.03666666666667,0.0,,,,0.0
cerebellum,59.53333333333333,0.0,,45.6,,,0.0,0.0,,,,0.0
liver,43.20416666666667,38.55,,0.0,,,36.705,45.21666666666667,,,,0.0
prefrontal cortex,39.51,40.6,,0.0,,,37.154,0.0,,,,0.0
testis,65.735,17.73,,33.06,,,53.8325,0.0,,,,0.0
adipose tissue,51.00666666666667,0.0,,,,,34.585,0.0,,,,0.0
blood,57.1825,0.0,,23.67,,,53.89666666666667,,,,,0.0
colon,49.32,0.0,,,,,62.0488888888889,42.3,,,,0.0
frontal cortex,54.96666666666667,0.0,,,,,28.43,0.0,,,,0.0
heart,33.44333333333333,24.24,,,,,60.04571428571428,46.77,,,,0.0
kidney,44.4,18.66,,,,,79.3925,0.0,,,,0.0
lung,46.19142857142857,29.44,,,,,63.09666666666666,0.0,,,,0.0
skeletal muscle tissue,47.295,49.755,,,,,45.35,0.0,,,,0.0
spleen,49.332,38.18,,,,,47.16375,0.0,,,,0.0
Ammon's horn,59.45,,,,,,48.785,0.0,,,,0.0
bone marrow,50.455,0.0,,61.6,,,77.07,,,,,
brain,50.8,29.965,,,,,24.10333333333333,0.0,,,,
cerebral cortex,55.42,17.84,,,,,24.97,0.0,,,,
hypothalamus,45.73333333333333,0.0,,,,,36.465,,,,,0.0
lymph node,55.58,0.0,,,,,54.265,,,,,0.0
metanephros cortex,43.62,0.0,,,,,0.0,,,,,0.0
multicellular organism,54.06,,,23.53,,,35.6,29.636666666666667,,,,
muscle tissue,42.7225,,,23.39,,,45.52,,,,,0.0
ovary,50.0825,0.0,,,,,31.425,,,,,0.0
pituitary gland,51.50333333333333,0.0,,,,,48.86,,,,,0.0
zone of skin,52.49,63.635000000000005,,0.0,,,30.66,,,,,
adrenal gland,51.31,0.0,,,,,43.06,,,,,
cortex of kidney,43.54,,,,,,0.0,0.0,,,,
duodenum,57.9725,,,,,,41.8,,,,,0.0
endometrium,53.144000000000005,,,19.43,,,0.0,,,,,
heart left ventricle,,48.29,,,,,32.195,,,,,0.0
ileum,69.012,,,,,,,0.0,,,,0.0
leukocyte,61.67,,,0.0,,,0.0,,,,,
olfactory segment of nasal mucosa,50.36,,,,,,30.53,0.0,,,,
placenta,50.955,0.0,,,,,52.92,,,,,
retina,55.52,0.0,,0.0,,,,,,,,
saliva-secreting gland,53.435,46.41,,,,,0.0,,,,,
stomach,,35.795,,,,,62.51916666666667,,,,,0.0
subcutaneous adipose tissue,49.70454545454545,,,,,,34.7525,,,,,0.0
thyroid gland,46.48,0.0,,,,,30.406666666666663,,,,,
urinary bladder,59.98,0.0,,,,,49.11666666666667,,,,,
adenohypophysis,50.415,,,,,,0.0,,,,,
amygdala,,,,,,,0.0,,,,,0.0
brainstem,,,,30.73,,,,,,,,0.0
caecum,70.17666666666666,,,,,,,,,,,0.0
cerebellar cortex,,,,,,,0.0,0.0,,,,
corpus callosum,,,,,,,73.10249999999999,,,,,0.0
dorsolateral prefrontal cortex,,,,,,,36.31,0.0,,,,
esophagus,68.175,,,,,,36.89,,,,,
gall bladder,66.905,,,,,,34.95,,,,,
gluteus medius,50.86,,,0.0,,,,,,,,
granulocyte,,0.0,,,,,61.78,,,,,
granulosa cell,44.28,,,,,,,,,,,0.0
hindlimb stylopod muscle,,,,,,,40.26,0.0,,,,
jejunum,63.855,0.0,,,,,,,,,,
longissimus thoracis muscle,47.58571428571429,,,,,,,,,,,0.0
mammary gland,59.175,0.0,,,,,,,,,,
mesenteric lymph node,48.345,,,,,,,,,,,0.0
monocyte,42.73,,,,,,43.08,,,,,
myometrium,44.015,,,,,,38.98333333333333,,,,,
occipital cortex,,0.0,,,,,,,,,,0.0
occipital lobe,47.06,32.5,,,,,,,,,,
omental fat pad,51.205,,,,,,38.4,,,,,
oocyte,96.97,,,,,,,,,,,0.0
oviduct epithelium,51.73,,,35.56,,,,,,,,
pancreas,,57.1,,,,,28.975,,,,,
pons,62.99,,,,,,,,,,,0.0
primary visual cortex,,,,,,,0.0,0.0,,,,
prostate gland,0.0,,,,,,31.65,,,,,
renal medulla,51.27,42.04,,,,,,,,,,
right lobe of liver,,,,,,,41.36,,,,,0.0
semimembranosus muscle,0.0,,,,,,,,,,,0.0
small intestine,,38.5,,,,,43.370000000000005,,,,,
smooth muscle tissue,,54.17,,,,,40.45,,,,,
spermatid,51.7,,,,,,,49.68,,,,
spermatocyte,41.7,,,,,,,46.56,,,,
spinal cord,,0.0,,39.495000000000005,,,,,,,,
superior frontal gyrus,,,,,,,37.61,0.0,,,,
temporal lobe,,28.87,,,,,60.41,,,,,
thymus,61.17,49.27,,,,,,,,,,
tongue,56.55,0.0,,,,,,,,,,
tonsil,,,,,,,58.89000000000001,,,,,0.0
triceps brachii,0.0,,,0.0,,,,,,,,
uterine cervix,58.775000000000006,,,,,,45.39,,,,,
uterus,50.63333333333333,,,,,,,,,,,0.0
Brodmann (1909) area 9,,,,,,,0.0,,,,,
C1 segment of cervical spinal cord,,,,,,,47.47428571428571,,,,,
abdominal lymph node,50.31,,,,,,,,,,,
abomasum,56.98,,,,,,,,,,,
adrenal cortex,,0.0,,,,,,,,,,
adrenal tissue,,,,,,,90.05,,,,,
ampulla of uterine tube,53.075,,,,,,,,,,,
anterior cingulate cortex,,,,,,,27.67,,,,,
anterior segment of eyeball,61.27,,,,,,,,,,,
aorta,55.56,,,,,,,,,,,
