gene_name,species_dir,species_name,ensembl_gene_id,tissue,expression_score,map_label,class,agg_expression_score
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,spermatid,50.05,H2AC14:VGNC:83584,clustered,50.05
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,oocyte,69.3,H2AC14:VGNC:83584,clustered,69.3
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,granulosa cell,62.96,H2AC14:VGNC:83584,clustered,62.96
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,theca cell,62.2,H2AC14:VGNC:83584,clustered,62.2
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,monocyte,45.01,H2AC14:VGNC:83584,clustered,45.01
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,cumulus cell,60.52,H2AC14:VGNC:83584,clustered,60.52
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,58.27,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,37.16,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,61.45,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,49.95,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,44.82,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,52.84,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,49.88,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,37.01,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,51.19,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,50.91,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,leukocyte,50.03,H2AC14:VGNC:83584,clustered,49.41
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,neutrophil,72.14,H2AC14:VGNC:83584,clustered,72.14
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,pituitary gland,47.03,H2AC14:VGNC:83584,clustered,44.94
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,pituitary gland,42.85,H2AC14:VGNC:83584,clustered,44.94
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,lymph node,46.36,H2AC14:VGNC:83584,clustered,47.5
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,lymph node,48.64,H2AC14:VGNC:83584,clustered,47.5
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,ureter,50.87,H2AC14:VGNC:83584,clustered,50.915
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,ureter,50.96,H2AC14:VGNC:83584,clustered,50.915
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,urethra,41.4,H2AC14:VGNC:83584,clustered,41.379999999999995
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,urethra,41.36,H2AC14:VGNC:83584,clustered,41.379999999999995
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,blood,43.74,H2AC14:VGNC:83584,clustered,43.405
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,blood,43.07,H2AC14:VGNC:83584,clustered,43.405
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,longissimus muscle,97.35,H2AC14:VGNC:83584,clustered,70.75666666666666
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,longissimus muscle,71.86,H2AC14:VGNC:83584,clustered,70.75666666666666
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,longissimus muscle,43.06,H2AC14:VGNC:83584,clustered,70.75666666666666
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,multicellular organism,42.77,H2AC14:VGNC:83584,clustered,42.77
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,testis,63.32,H2AC14:VGNC:83584,clustered,58.612
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,testis,73.9,H2AC14:VGNC:83584,clustered,58.612
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,testis,50.1,H2AC14:VGNC:83584,clustered,58.612
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,testis,48.99,H2AC14:VGNC:83584,clustered,58.612
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,testis,56.75,H2AC14:VGNC:83584,clustered,58.612
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,ileocecal valve,58.45,H2AC14:VGNC:83584,clustered,58.45
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,aorta,42.68,H2AC14:VGNC:83584,clustered,42.68
H2AC14,bos_taurus,Bos taurus,ENSBTAG00000051969,brain,33.66,H2AC14:VGNC:83584,clustered,33.66
