gene_order	gene_number	canonical_gene_name	ensembl_gene_id	hpa_gene_label	bgee_gene_label	tissue_order	tissue_letter	compare_tissue_key	hpa_tissue_label	bgee_tissue_label	match_type	is_underlined	nTPM	cell_mean_score	log_hpa	log_bgee	signed_diff_log	abs_diff_log	signed_diff_raw	abs_diff_raw	dominance_label	pair_status
1	1	H2AC1	ENSG00000164508	H2AC1	H2AC1	35	AI	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	1	A	adipose tissue	adipose tissue	adipose tissue	exact	False	0.2	30.45	0.07918124604762482	1.4976206497812876	-1.4184394037336627	1.4184394037336627	-30.25	30.25	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	2	B	adrenal gland	adrenal gland	adrenal gland	exact	False	0.0	33.97	0.0	1.5436956323092448	-1.5436956323092448	1.5436956323092448	-33.97	33.97	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	3	C	amygdala	amygdala	amygdala	exact	False	0.1	25.64	0.04139268515822508	1.4255342204982635	-1.3841415353400384	1.3841415353400384	-25.54	25.54	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	4	D	cerebellum	cerebellum	cerebellum	exact	False	0.1	34.3	0.04139268515822508	1.5477747053878226	-1.5063820202295974	1.5063820202295974	-34.199999999999996	34.199999999999996	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	5	E	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	0.0	37.44	0.0	1.5847833789965078	-1.5847833789965078	1.5847833789965078	-37.44	37.44	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	6	F	colon	colon	colon	exact	False	0.2	56.26875	0.07918124604762482	1.7579177039090879	-1.678736457861463	1.678736457861463	-56.068749999999994	56.068749999999994	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	7	G	endometrium	endometrium	endometrium	exact	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	8	H	esophagus	esophagus	esophagus	exact	False	0.1	27.5	0.04139268515822508	1.4548448600085102	-1.413452174850285	1.413452174850285	-27.4	27.4	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	10	J	hypothalamus	hypothalamus	hypothalamus	exact	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	11	K	kidney	kidney	kidney	exact	False	0.0	64.16333333333334	0.0	1.8140032918925528	-1.8140032918925528	1.8140032918925528	-64.16333333333334	64.16333333333334	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	12	L	liver	liver	liver	exact	False	0.1	39.51714285714286	0.04139268515822508	1.6076388126723007	-1.5662461275140755	1.5662461275140755	-39.417142857142856	39.417142857142856	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	13	M	lung	lung	lung	exact	False	0.1	52.93285714285714	0.04139268515822508	1.7318534280483873	-1.6904607428901621	1.6904607428901621	-52.83285714285714	52.83285714285714	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	14	N	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	15	O	ovary	ovary	ovary	exact	False	0.0	59.99	0.0	1.785258633357701	-1.785258633357701	1.785258633357701	-59.99	59.99	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	16	P	pancreas	pancreas	pancreas	exact	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	17	Q	pituitary gland	pituitary gland	pituitary gland	exact	False	0.0	29.57	0.0	1.4852954387260888	-1.4852954387260888	1.4852954387260888	-29.57	29.57	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	18	R	putamen	putamen	putamen	exact	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	20	T	small intestine	small intestine	small intestine	exact	False	0.2	28.695	0.07918124604762482	1.4726833296130404	-1.3935020835654155	1.3935020835654155	-28.495	28.495	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	21	U	spinal cord	spinal cord	spinal cord	exact	False	0.2	29.6	0.07918124604762482	1.4857214264815801	-1.4065401804339552	1.4065401804339552	-29.400000000000002	29.400000000000002	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	22	V	spleen	spleen	spleen	exact	False	0.3	40.47571428571428	0.11394335230683679	1.6177938740857416	-1.5038505217789049	1.5038505217789049	-40.175714285714285	40.175714285714285	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	23	W	stomach	stomach	stomach	exact	False	0.1	58.10583333333333	0.04139268515822508	1.7716303448315087	-1.7302376596732836	1.7302376596732836	-58.00583333333333	58.00583333333333	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	24	X	substantia nigra	substantia nigra	substantia nigra	exact	False	0.0	30.4275	0.0	1.497309835061876	-1.497309835061876	1.497309835061876	-30.4275	30.4275	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	25	Y	testis	testis	testis	exact	False	0.7	46.26222222222222	0.2304489213782739	1.6745141378667974	-1.4440652164885235	1.4440652164885235	-45.56222222222222	45.56222222222222	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	26	Z	thyroid gland	thyroid gland	thyroid gland	exact	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	27	AA	urinary bladder	urinary bladder	urinary bladder	exact	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	28	AB	vagina	vagina	vagina	exact	False	0.1	51.72	0.04139268515822508	1.7219754015859534	-1.6805827164277283	1.6805827164277283	-51.62	51.62	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	30	AD	caudate nucleus	caudate	caudate nucleus	safe_synonym	True	0.0	29.42	0.0	1.4831592097169797	-1.4831592097169797	1.4831592097169797	-29.42	29.42	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	31	AE	uterine cervix	cervix	uterine cervix	safe_synonym	True	0.2	39.11	0.07918124604762482	1.6032526619816467	-1.5240714159340218	1.5240714159340218	-38.91	38.91	bgee_higher	nonzero_any
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	32	AF	myocardium	heart muscle	myocardium	safe_synonym	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	33	AG	prostate gland	prostate	prostate gland	safe_synonym	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	34	AH	saliva-secreting gland	salivary gland	saliva-secreting gland	safe_synonym	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
2	2	H2AC4	ENSG00000278463	H2AC4	H2AC4	35	AI	skeletal muscle tissue	skeletal muscle	skeletal muscle tissue	safe_synonym	True	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	equal	both_zero
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	1	A	adipose tissue	adipose tissue	adipose tissue	exact	False	13.6	84.59705882352942	1.1643528557844371	1.9324588422629438	-0.7681059864785067	0.7681059864785067	-70.99705882352943	70.99705882352943	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	2	B	adrenal gland	adrenal gland	adrenal gland	exact	False	12.3	84.4875	1.1238516409670858	1.9319026167410862	-0.8080509757740004	0.8080509757740004	-72.1875	72.1875	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	3	C	amygdala	amygdala	amygdala	exact	False	11.1	82.92090909090909	1.08278537031645	1.923870179797357	-0.8410848094809069	0.8410848094809069	-71.8209090909091	71.8209090909091	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	4	D	cerebellum	cerebellum	cerebellum	exact	False	6.1	75.08500000000001	0.8512583487190752	1.8812990449527243	-1.030040696233649	1.030040696233649	-68.98500000000001	68.98500000000001	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	5	E	cerebral cortex	cerebral cortex	cerebral cortex	exact	False	7.4	78.676	0.9242792860618817	1.9013275229365643	-0.9770482368746826	0.9770482368746826	-71.276	71.276	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	6	F	colon	colon	colon	exact	False	12.8	88.48333333333333	1.1398790864012365	1.9517421535795942	-0.8118630671783578	0.8118630671783578	-75.68333333333334	75.68333333333334	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	7	G	endometrium	endometrium	endometrium	exact	False	4.6	90.00466666666667	0.7481880270062004	1.9590636632619411	-1.2108756362557407	1.2108756362557407	-85.40466666666667	85.40466666666667	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	8	H	esophagus	esophagus	esophagus	exact	False	27.3	87.89285714285714	1.4517864355242902	1.9488668652663739	-0.49708042974208366	0.49708042974208366	-60.59285714285714	60.59285714285714	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	9	I	fallopian tube	fallopian tube	fallopian tube	exact	False	6.9	87.38499999999999	0.8976270912904415	1.9463785662575883	-1.0487514749671467	1.0487514749671467	-80.48499999999999	80.48499999999999	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	10	J	hypothalamus	hypothalamus	hypothalamus	exact	False	10.4	85.02600000000001	1.0569048513364727	1.934629729731883	-0.8777248783954104	0.8777248783954104	-74.626	74.626	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	11	K	kidney	kidney	kidney	exact	False	20.9	89.57166666666666	1.3404441148401183	1.9569923595444239	-0.6165482447043056	0.6165482447043056	-68.67166666666665	68.67166666666665	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	12	L	liver	liver	liver	exact	False	29.5	90.51190476190476	1.4842998393467859	1.9614775950073857	-0.47717775566059983	0.47717775566059983	-61.01190476190476	61.01190476190476	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	13	M	lung	lung	lung	exact	False	22.2	85.08947368421053	1.3654879848908996	1.9349500527273502	-0.5694620678364506	0.5694620678364506	-62.88947368421053	62.88947368421053	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	14	N	nucleus accumbens	nucleus accumbens	nucleus accumbens	exact	False	9.7	82.89461538461539	1.0293837776852097	1.9237340873627473	-0.8943503096775376	0.8943503096775376	-73.19461538461539	73.19461538461539	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	15	O	ovary	ovary	ovary	exact	False	12.3	86.89	1.1238516409670858	1.9439394644722163	-0.8200878235051305	0.8200878235051305	-74.59	74.59	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	16	P	pancreas	pancreas	pancreas	exact	False	7.0	83.45500000000001	0.9030899869919435	1.9266253662590616	-1.023535379267118	1.023535379267118	-76.45500000000001	76.45500000000001	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	17	Q	pituitary gland	pituitary gland	pituitary gland	exact	False	10.2	87.45357142857144	1.0492180226701815	1.9467153728071642	-0.8974973501369827	0.8974973501369827	-77.25357142857143	77.25357142857143	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	18	R	putamen	putamen	putamen	exact	False	13.1	84.70928571428571	1.14921911265538	1.9330278757856765	-0.7838087631302966	0.7838087631302966	-71.60928571428572	71.60928571428572	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	19	S	retina	retina	retina	exact	False	3.8	73.98	0.6812412373755872	1.874945436085532	-1.1937041987099448	1.1937041987099448	-70.18	70.18	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	20	T	small intestine	small intestine	small intestine	exact	False	11.2	86.075	1.0863598306747482	1.9398934831302739	-0.8535336524555257	0.8535336524555257	-74.875	74.875	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	21	U	spinal cord	spinal cord	spinal cord	exact	False	21.1	88.273	1.3443922736851108	1.9507201293919176	-0.6063278557068068	0.6063278557068068	-67.173	67.173	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	22	V	spleen	spleen	spleen	exact	False	20.7	90.17416666666666	1.3364597338485296	1.9598718025454878	-0.6234120686969582	0.6234120686969582	-69.47416666666666	69.47416666666666	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	23	W	stomach	stomach	stomach	exact	False	9.2	88.92	1.0086001717619175	1.9538562982249859	-0.9452561264630683	0.9452561264630683	-79.72	79.72	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	24	X	substantia nigra	substantia nigra	substantia nigra	exact	False	15.3	87.208	1.212187604403958	1.9455079751351938	-0.7333203707312359	0.7333203707312359	-71.908	71.908	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	25	Y	testis	testis	testis	exact	False	4.6	81.27	0.7481880270062004	1.9152414973061944	-1.1670534702999942	1.1670534702999942	-76.67	76.67	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	26	Z	thyroid gland	thyroid gland	thyroid gland	exact	False	12.4	86.93235294117646	1.1271047983648077	1.9441486943988258	-0.8170438960340181	0.8170438960340181	-74.53235294117646	74.53235294117646	bgee_higher	nonzero_any
3	3	H2AC6	ENSG00000180573	H2AC6	H2AC6	27	AA	urinary bladder	urinary bladder	urinary bladder	exact	False	11.6	81.1525	1.100370545117563	1.9146207840788645	-0.8142502389613016	0.8142502389613016	-69.55250000000001	69.55250000000001	bgee_higher	nonzero_any
