species_count	selected_species_dirs	selected_species_names	gene_name	anatomical_entity	gene_tissue_label	gene_class	canonical_label	gene_number	anatomical_entity_letter	plot_label	species_order	species_dir	species_name	cell_mean_score	cell_std_score	cell_n	cell_status	expression_score	plot_order
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC11	spleen	H2AC11:spleen	clustered	H2AC11:HGNC:4737	1	S	1:S	1	human	Homo sapiens	54.814166666666665	2.099612337955978	12	present_gold	54.814166666666665	19
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC11	spleen	H2AC11:spleen	clustered	H2AC11:HGNC:4737	1	S	1:S	2	bos_taurus	Bos taurus	0.0	0.0	0	observed_zero	0.0	19
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC11	spleen	H2AC11:spleen	clustered	H2AC11:HGNC:4737	1	S	1:S	3	canis_lupus_familiaris	Canis lupus familiaris	48.22	5.81241774135342	2	present_gold	48.22	19
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC11	spleen	H2AC11:spleen	clustered	H2AC11:HGNC:4737	1	S	1:S	4	sus_scrofa	Sus scrofa	58.080000000000005	15.64187328934741	6	present_gold	58.080000000000005	19
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC11	testis	H2AC11:testis	clustered	H2AC11:HGNC:4737	1	T	1:T	1	human	Homo sapiens	66.72461538461538	7.676446243091717	13	present_gold	66.72461538461538	20
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC11	testis	H2AC11:testis	clustered	H2AC11:HGNC:4737	1	T	1:T	2	bos_taurus	Bos taurus	49.2425	10.250760540889962	4	present_gold	49.2425	20
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC11	testis	H2AC11:testis	clustered	H2AC11:HGNC:4737	1	T	1:T	3	canis_lupus_familiaris	Canis lupus familiaris	31.3475	9.781487190947328	4	present_gold	31.3475	20
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC11	testis	H2AC11:testis	clustered	H2AC11:HGNC:4737	1	T	1:T	4	sus_scrofa	Sus scrofa	86.02	0.0	1	present_gold	86.02	20
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	adipose tissue	H2AC12:adipose tissue	clustered	H2AC12:HGNC:13671	2	A	2:A	1	human	Homo sapiens	34.585	0.4313351365237935	2	present_gold	34.585	21
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	adipose tissue	H2AC12:adipose tissue	clustered	H2AC12:HGNC:13671	2	A	2:A	2	bos_taurus	Bos taurus	51.00666666666667	5.140597889999437	6	present_gold	51.00666666666667	21
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	adipose tissue	H2AC12:adipose tissue	clustered	H2AC12:HGNC:13671	2	A	2:A	3	canis_lupus_familiaris	Canis lupus familiaris	0.0	0.0	0	observed_zero	0.0	21
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	adipose tissue	H2AC12:adipose tissue	clustered	H2AC12:HGNC:13671	2	A	2:A	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	21
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	adult mammalian kidney	H2AC12:adult mammalian kidney	clustered	H2AC12:HGNC:13671	2	B	2:B	1	human	Homo sapiens	46.03666666666667	16.87923675209674	3	present_gold	46.03666666666667	22
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	adult mammalian kidney	H2AC12:adult mammalian kidney	clustered	H2AC12:HGNC:13671	2	B	2:B	2	bos_taurus	Bos taurus	40.86666666666667	1.6961525088662686	3	present_gold	40.86666666666667	22
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	adult mammalian kidney	H2AC12:adult mammalian kidney	clustered	H2AC12:HGNC:13671	2	B	2:B	3	canis_lupus_familiaris	Canis lupus familiaris	31.75	0.0	1	present_gold	31.75	22
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	adult mammalian kidney	H2AC12:adult mammalian kidney	clustered	H2AC12:HGNC:13671	2	B	2:B	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	22
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	blood	H2AC12:blood	clustered	H2AC12:HGNC:13671	2	C	2:C	1	human	Homo sapiens	53.89666666666667	5.13464516323971	15	present_gold	53.89666666666667	23
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	blood	H2AC12:blood	clustered	H2AC12:HGNC:13671	2	C	2:C	2	bos_taurus	Bos taurus	57.1825	5.454645573576101	4	present_gold	57.1825	23
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	blood	H2AC12:blood	clustered	H2AC12:HGNC:13671	2	C	2:C	3	canis_lupus_familiaris	Canis lupus familiaris	0.0	0.0	0	observed_zero	0.0	23
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	blood	H2AC12:blood	clustered	H2AC12:HGNC:13671	2	C	2:C	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	23
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	cerebellum	H2AC12:cerebellum	clustered	H2AC12:HGNC:13671	2	D	2:D	1	human	Homo sapiens	0.0	0.0	0	observed_zero	0.0	24
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	cerebellum	H2AC12:cerebellum	clustered	H2AC12:HGNC:13671	2	D	2:D	2	bos_taurus	Bos taurus	59.53333333333333	15.298857255799645	3	present_gold	59.53333333333333	24
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	cerebellum	H2AC12:cerebellum	clustered	H2AC12:HGNC:13671	2	D	2:D	3	canis_lupus_familiaris	Canis lupus familiaris	0.0	0.0	0	observed_zero	0.0	24
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	cerebellum	H2AC12:cerebellum	clustered	H2AC12:HGNC:13671	2	D	2:D	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	24
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	colon	H2AC12:colon	clustered	H2AC12:HGNC:13671	2	F	2:F	1	human	Homo sapiens	62.0488888888889	27.472064649587423	9	present_gold	62.0488888888889	25
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	colon	H2AC12:colon	clustered	H2AC12:HGNC:13671	2	F	2:F	2	bos_taurus	Bos taurus	49.32	0.0	1	present_gold	49.32	25
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	colon	H2AC12:colon	clustered	H2AC12:HGNC:13671	2	F	2:F	3	canis_lupus_familiaris	Canis lupus familiaris	0.0	0.0	0	observed_zero	0.0	25
4	human,bos_taurus,canis_lupus_familiaris,sus_scrofa	Homo sapiens,Bos taurus,Canis lupus familiaris,Sus scrofa	H2AC12	colon	H2AC12:colon	clustered	H2AC12:HGNC:13671	2	F	2:F	4	sus_scrofa	Sus scrofa	0.0	0.0	0	observed_zero	0.0	25
