axis	anatomical_entity_letter	anatomical_entity_name
OY	A	adipose tissue
OY	B	adult mammalian kidney
OY	C	blood
OY	D	cerebellum
OY	E	cerebral cortex
OY	F	colon
OY	G	frontal cortex
OY	H	heart
OY	I	hypothalamus
OY	J	kidney
OY	K	liver
OY	L	lung
OY	M	lymph node
OY	N	metanephros cortex
OY	O	ovary
OY	P	pituitary gland
OY	Q	prefrontal cortex
OY	R	skeletal muscle tissue
OY	S	spleen
OY	T	testis
