tissue,bos_taurus,canis_lupus_familiaris,felis_catus,human,pan_troglodytes,sus_scrofa
left ovary,,,,77.384,,
left testis,,,,66.67666666666666,,
left uterine tube,,,,69.17500000000001,,
longissimus lumborum muscle,,,,,,59.57
longissimus muscle,61.98333333333334,,,,,
lower esophagus,,,,70.31,,
lower esophagus mucosa,,,,81.65,,
lower esophagus muscularis layer,,,,69.27636363636363,,
male germ line stem cell (sensu Vertebrata) in testis,,,,92.27,,
mammary gland,48.169999999999995,,,,,
mammary gland fat,55.63,,,,,
material anatomical entity,,,,,,66.38
medulla oblongata,,,,,,88.15
midbrain,43.66,,,,,
milk,56.61,,,,,
minor salivary gland,,,,76.551,,
mitral valve,,49.05,,,,
mucosa of stomach,,,,78.28,,
mucosa of transverse colon,,,,76.51,,
mucosa of urinary bladder,,39.695,,,,
muscle layer of sigmoid colon,,,,70.88909090909091,,
muscle of leg,,,,55.075,,
nasopharynx,52.82,,,,,
neurohypophysis,50.010000000000005,,,,,
neutrophil,64.6,,,,,
nose,,34.99,,,,
nucleus accumbens,,,,85.35333333333334,,
olfactory bulb,,57.88,,,,
omasum,51.39,,,,,
omentum,,,,,,84.5
oocyte,69.48,,,,,
oviduct epithelium,44.17,,,,,
penis,,,,,,91.89
pharyngeal tonsil,55.68,,,,,
pigment epithelium of eye,40.43,,,,,
popliteal artery,,,,67.8,,
primordial germ cell in gonad,,,,87.57,,
prostate gland,,,,76.13555555555556,,
psoas major muscle,,,,,,54.475
putamen,,,,84.64375,,
rectum,,,,65.8,,
rectus femoris,53.290000000000006,,,,,
retina,80.4,,,,,
retropharyngeal lymph node,57.96,,,,,
right adrenal gland,,,,90.36,,
right adrenal gland cortex,,,,88.76333333333334,,
right atrium auricular region,,,,78.41090909090909,,
right cardiac atrium,,39.68,,,,
right coronary artery,,,,69.66999999999999,,
right frontal lobe,,,,82.72111111111111,,
right hemisphere of cerebellum,,,,93.55222222222223,,
right lobe of thyroid gland,,,,59.1375,,
right lung,,,,65.35,,
right ovary,,,,80.92,,
right testis,,,,67.02799999999999,,
right uterine tube,,,,75.31,,
rumen,53.63333333333333,,,,,
rumen epithelium,48.873333333333335,,,,,
ruminant reticulum,48.96,,,,,
scapular muscle,54.28,,,,,
semitendinosus,48.79666666666666,,,,,
skin of abdomen,,,,82.726,,
skin of leg,,,,81.7625,,
small intestine Peyer's patch,,,,70.89636363636363,,
smooth muscle tissue,,,,60.84,,
spinal cord,,36.17,,,,
spiral colon,63.42,,,,,
stromal cell of endometrium,,,,73.74,,
substantia nigra,,,,77.14444444444445,,
supraspinatus muscle,52.295,,,,,
temporal cortex,44.095,,,,,
theca cell,50.38,,,,,
thoracic aorta,,,,67.15333333333334,,
thoracic mammary gland,,,,72.41166666666666,,
tibial artery,,,,70.47090909090909,,
tibial nerve,,,,73.72545454545455,,
tip of external ear,,,24.18,,,
tongue muscle,46.17,,,,,
trachea,54.17,,,,,
transverse colon,,,,72.975,,
triceps brachii,51.795,,,,,
upper lobe of left lung,,,,67.32000000000001,,
ureter,45.285,,,,,
urethra,67.525,,,,,
uterine horn,47.64,,,,,
uterine tube infundibulum,45.78,,,,,
vagina,,,,83.386,,
vas deferens,50.05,,,,,
ventricular zone,,,,85.96000000000001,,
vermiform appendix,,,,64.69,,
