display_order	presentation_number	ensembl_gene_id	gene_name	label	class	tissue	cell_mean_score	cell_std_score	cell_n	cell_status
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	ganglionic eminence	50.605	7.360981592151963	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	gastrocnemius	36.31699999999999	5.0115046531844	10	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	granulocyte	0.0	0.0	0	observed_zero
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	heart	37.2	9.309403847723011	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	heart left ventricle	41.470000000000006	10.929338192833695	7	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	hindlimb stylopod muscle	48.87	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	hypothalamus	27.456666666666667	1.2764142483274523	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	intestine	29.81	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	islet of Langerhans	31.16	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	kidney	33.45	0.0	1	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	left adrenal gland	24.843333333333334	2.393790578420204	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	left adrenal gland cortex	41.48	14.546576916924474	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	left coronary artery	30.675	0.3747665940288709	2	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	left lobe of thyroid gland	24.416666666666668	2.5230404937957958	3	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	left ovary	30.73	3.893387556700034	4	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	left testis	54.545	6.468006648110373	6	present_gold
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	left uterine tube	35.85	0.0	1	present_gold
