display_order	presentation_number	ensembl_gene_id	gene_name	label	class	n_tissues	mean	std	min	q1	median	q3	max	iqr	lower_whisker	upper_whisker	outlier_count
1	18	ENSG00000274183	H2AB1	H2AB1:HGNC:22516	variant	132	30.83460000300626	16.754840612234773	0.0	28.2015	31.305	38.38525	96.98	10.18375	24.416666666666668	53.105	28
2	19	ENSG00000277858	H2AB2	H2AB2:HGNC:18298	variant	131	35.25226026623927	19.120190474982948	0.0	34.698750000000004	40.4025	44.745000000000005	82.64	10.04625	28.96	57.78	31
3	20	ENSG00000277745	H2AB3	H2AB3:HGNC:14455	variant	132	31.447408231394025	18.897536264785373	0.0	30.1535	39.178333333333335	41.974999999999994	84.74	11.821499999999993	27.77	53.39	35
4	1	ENSG00000164508	H2AC1	H2AC1:HGNC:18729	clustered	132	5.553278499278499	17.21626363151223	0.0	0.0	0.0	0.0	92.96	0.0	0.0	0.0	15
5	6	ENSG00000196787	H2AC11	H2AC11:HGNC:4737	clustered	292	25.767235085064456	27.605655678514466	0.0	0.0	0.0	49.88399999999999	83.9	49.88399999999999	0.0	83.9	0
6	7	ENSG00000274997	H2AC12	H2AC12:HGNC:13671	clustered	131	36.3501384262472	21.650084909246242	0.0	29.843333333333334	36.64857142857142	46.600208333333335	98.6	16.756875	24.10333333333333	63.09666666666666	32
7	8	ENSG00000196747	H2AC13	H2AC13:HGNC:4725	clustered	146	35.969598456941924	22.91294185440136	0.0	27.642500000000002	35.21875	49.7375	98.73	22.094999999999995	0.0	81.52000000000001	4
8	9	ENSG00000276368	H2AC14	H2AC14:HGNC:4727	clustered	133	27.60023311254326	24.603758643199253	0.0	0.0	29.46	41.165	98.35	41.165	0.0	98.35	0
9	10	ENSG00000275221	H2AC15	H2AC15:HGNC:4726	clustered	151	50.598197867459554	19.35386430687246	0.0	43.120000000000005	50.43666666666667	55.74666666666667	94.34166666666664	12.626666666666665	31.256	72.77	27
10	11	ENSG00000276903	H2AC16	H2AC16:HGNC:4730	clustered	151	28.74216053629961	24.754567370048807	0.0	0.0	30.915	42.2175	98.29	42.2175	0.0	98.29	0
